 -འི  ཡོན་ཏན 	༄༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 		-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	bstod tshogs ka_.txt	༄༅།_།  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ   -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ  བསྟོད་པ  །_༄༅༅།_། 
 -འི  ཡོན་ཏན 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 			-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ 	ལ 	བསྟོད་པ 	bstod tshogs ka_.txt	ཆོས་ཀྱི  སྐུ་ལ  གནས་པ    -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ  ལ  བསྟོད་པ 
ཆེན་པོ  -འི  རྣམ་པ་ཀུན 	འཚལ་ལོ 	།_། 	བྱང 	ཆུབ 	ཆེན་པོ 	-འི 	རྣམ་པ་ཀུན 	།_། 	སྐུ་གསུམ 	དག་གིས 	བརྙེས 	bstod tshogs ka_.txt	འཚལ་ལོ  །_།  བྱང  ཆུབ  ཆེན་པོ  -འི  རྣམ་པ་ཀུན  །_།  སྐུ་གསུམ  དག་གིས  བརྙེས 
གནས་པ  -འི  ཡོན་ཏན 	-ར་ཤོག 	_། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	བསྟོད་པ 	།_ 	bstod tshogs ka_.txt	-ར་ཤོག  _།  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ  བསྟོད་པ  །_ 
འཁོར་བ  -འི  རྒྱུ 	ཕྱག 	འཚལ་འདུད 	།_། 	གང་ཞིག 	འཁོར་བ 	-འི 	རྒྱུ 	-ར 	གྱུར་པ 	།_། 	དེ 	bstod tshogs ka_.txt	ཕྱག  འཚལ་འདུད  །_།  གང་ཞིག  འཁོར་བ  -འི  རྒྱུ  -ར  གྱུར་པ  །_།  དེ 
མེད་པ  -འི  འཁོར་བ་ལས 	-ར 	བྱེད་པ་ལྟར 	།_། 	སྙིང་པོ 	མེད་པ 	-འི 	འཁོར་བ་ལས 	།_། 	ཉོན་མོངས 	གཟེབ་དང 	བྲལ 	bstod tshogs ka_.txt	-ར  བྱེད་པ་ལྟར  །_།  སྙིང་པོ  མེད་པ  -འི  འཁོར་བ་ལས  །_།  ཉོན་མོངས  གཟེབ་དང  བྲལ 
འདྲ་བ  -འི  འབྲས་བུ་འབྱུང 	ས་བོན 	ཐམས་ཅད་ལས 	།_། 	རྒྱུ་དང 	འདྲ་བ 	-འི 	འབྲས་བུ་འབྱུང 	_།_། 	ས་བོན 	མེད་པ 	-ར 	bstod tshogs ka_.txt	ས་བོན  ཐམས་ཅད་ལས  །_།  རྒྱུ་དང  འདྲ་བ  -འི  འབྲས་བུ་འབྱུང  _།_།  ས་བོན  མེད་པ  -ར 
དག་པ  -འི ་གོས 	།_། 	ཇི 	ལྟར 	མེ་ཡིས 	དག་པ 	-འི	་གོས 	།_། 	སྣ 	ཚོགས 	དྲི་མ 	bstod tshogs ka_.txt	།_།  ཇི  ལྟར  མེ་ཡིས  དག་པ  -འི ་གོས  །_།  སྣ  ཚོགས  དྲི་མ 
སྟོན་པ  -འི ་མདོ 	མ་ཡིན་ནོ 	།_། 	སྟོང་པ 	ཉིད་ནི 	སྟོན་པ 	-འི	་མདོ 	།_། 	རྒྱལ 	བས 	ཇི་སྙེད 	bstod tshogs ka_.txt	མ་ཡིན་ནོ  །_།  སྟོང་པ  ཉིད་ནི  སྟོན་པ  -འི ་མདོ  །_།  རྒྱལ  བས  ཇི་སྙེད 
ཡོད་པ  -འི ་ཆུ 	མ 	ཡིན 	།_།_ 	-ས་ཡི་དཀྱིལ་ན 	ཡོད་པ 	-འི	་ཆུ 	།_། 	དྲི 	མ 	མེད་པ 	bstod tshogs ka_.txt	མ  ཡིན  །_།_  -ས་ཡི་དཀྱིལ་ན  ཡོད་པ  -འི ་ཆུ  །_།  དྲི  མ  མེད་པ 
