 དུ ལ 						དུ	ལ 	མཛད་པ 	།_། 	ཉོན་མོངས 	སེལ་བ 	bstod tshogs ka_.txt	     དུ ལ  མཛད་པ  །_།  ཉོན་མོངས  སེལ་བ 
 དུ  ཞུ་དང 						དུ 	ཞུ་དང 	དེ་དག་གི 	།_། 	ཚིག་དང 	སྤྱོད 	bstod tshogs ka_.txt	     དུ  ཞུ་དང  དེ་དག་གི  །_།  ཚིག་དང  སྤྱོད 
 དུ ད 						དུ	ད 	འཇོམས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     དུ ད  འཇོམས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 དུ  ཚར 						དུ 	ཚར 	བཅད 	གསུང 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	     དུ  ཚར  བཅད  གསུང  མཛད་པ  །_། 
 དུ  རྟག་པ 						དུ 	རྟག་པ 	-ར་ཡང 	།_། 	ཀུན 	མཁྱེན 	bstod tshogs ka_.txt	     དུ  རྟག་པ  -ར་ཡང  །_།  ཀུན  མཁྱེན 
 དུ ་ན 						དུ	་ན 	།_། 	ཀུན 	མཁྱེན 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     དུ ་ན  །_།  ཀུན  མཁྱེན  ཁྱོད་ལ 
ཁྱོན་ནི  དུ ས་ལས 	ཀུན་གྱི 	དོན 	མཛད་པ 	།_། 	ཁྱོན་ནི 	དུ	ས་ལས 	ཡོང 	མི་འདའ 	།_། 	རྟག་ཏུ 	bstod tshogs ka_.txt	ཀུན་གྱི  དོན  མཛད་པ  །_།  ཁྱོན་ནི  དུ ས་ལས  ཡོང  མི་འདའ  །_།  རྟག་ཏུ 
 དུ གས 						དུ	གས 	ཞག་གཅིག 	_། 	ལན་དྲུག་ཏུ་ནི 	གཟིགས 	bstod tshogs ka_.txt	     དུ གས  ཞག་གཅིག  _།  ལན་དྲུག་ཏུ་ནི  གཟིགས 
 དུ  སེམས་ཅན 						དུ 	སེམས་ཅན 	ཐམས་ཅད་ཀྱི 	།_། 	དོགས 	གཅོད 	bstod tshogs ka_.txt	     དུ  སེམས་ཅན  ཐམས་ཅད་ཀྱི  །_།  དོགས  གཅོད 
 དུ  རྟོགས་པ 						དུ 	རྟོགས་པ 	-ར་ཤོག 	_། 	ཆོས་ཀྱི 	སྐུ་ལ 	bstod tshogs ka_.txt	     དུ  རྟོགས་པ  -ར་ཤོག  _།  ཆོས་ཀྱི  སྐུ་ལ 
 དུ  །_ 						དུ 	།_ 	དྷརྨ་དྷཱ་ཏུ་སྟ་བཾ 	།_ 	བོད 	སྐད་དུ 	bstod tshogs ka_.txt	     དུ  །_  དྷརྨ་དྷཱ་ཏུ་སྟ་བཾ  །_  བོད  སྐད་དུ 
ཀུན  དུ ་མ 	ཕྱག 	འཚལ་ལོ 	།_། 	གང་ཞིག 	ཀུན 	དུ	་མ 	ཤེས་ན 	།_། 	སྲིད་པ་གསུམ་དུ་རྣམ 	འཁོར་བ 	bstod tshogs ka_.txt	ཕྱག  འཚལ་ལོ  །_།  གང་ཞིག  ཀུན  དུ ་མ  ཤེས་ན  །_།  སྲིད་པ་གསུམ་དུ་རྣམ  འཁོར་བ 
 དུ ད 						དུ	ད 	།_། 	གང་ཞིག 	འཁོར་བ 	-འི 	bstod tshogs ka_.txt	     དུ ད  །_།  གང་ཞིག  འཁོར་བ  -འི 
 དུ  སྣང་བ 						དུ 	སྣང་བ 	-ར་བྱེད 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ནི 	bstod tshogs ka_.txt	     དུ  སྣང་བ  -ར་བྱེད  །_།  ཆོས་ཀྱི  དབྱིངས་ནི 
།_།  དུ ས 	ནམ་ཡང 	འགག་པ 	-ར 	འགྱུར་བ་མེད 	།_། 	དུ	ས 	རྣམས 	ཀུན་དུ 	ཉོན་མོངས་མེད 	།_། 	bstod tshogs ka_.txt	ནམ་ཡང  འགག་པ  -ར  འགྱུར་བ་མེད  །_།  དུ ས  རྣམས  ཀུན་དུ  ཉོན་མོངས་མེད  །_། 
།_།  དུ ས 	།_། 	ཇི 	ལྟར 	རིན་ཆེན་བཻཌཱུརྱ 	།_། 	དུ	ས 	རྣམས 	ཀུན་དུ 	འོད་གསལ་ཡང 	_།_། 	bstod tshogs ka_.txt	།_།  ཇི  ལྟར  རིན་ཆེན་བཻཌཱུརྱ  །_།  དུ ས  རྣམས  ཀུན་དུ  འོད་གསལ་ཡང  _།_། 
 དུ ད་རྩི 						དུ	ད་རྩི 	-ར་འགྱུར 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     དུ ད་རྩི  -ར་འགྱུར  །_།  དེ  བཞིན 
 དུ ་འདོད 						དུ	་འདོད 	།_། 	རིམ་གྱིས 	སྦྱངས་པ 	-ར 	bstod tshogs ka_.txt	     དུ ་འདོད  །_།  རིམ་གྱིས  སྦྱངས་པ  -ར 
ཁུག་རྣ  དུ ་བ་དང 	ཉི་མ 	ཟླ་བ་ཡང 	_།_། 	སྤྲིན་དང 	ཁུག་རྣ 	དུ	་བ་དང 	_།_། 	སྒྲ་གཅན 	གདོང་དང 	རྡུལ་ལ་སོགས 	bstod tshogs ka_.txt	ཉི་མ  ཟླ་བ་ཡང  _།_།  སྤྲིན་དང  ཁུག་རྣ  དུ ་བ་དང  _།_།  སྒྲ་གཅན  གདོང་དང  རྡུལ་ལ་སོགས 
 དུ ལ་བྱ 						དུ	ལ་བྱ 	-འི་ཕྱིར 	།_། 	བུད 	མེད 	bstod tshogs ka_.txt	     དུ ལ་བྱ  -འི་ཕྱིར  །_།  བུད  མེད 
 དུ ་ཤེས 						དུ	་ཤེས 	རྒྱུ་མཚན་གྱིས 	།_། 	རྣམ 	རྟོག 	bstod tshogs ka_.txt	     དུ ་ཤེས  རྒྱུ་མཚན་གྱིས  །_།  རྣམ  རྟོག 
 དུ  སྒྲུབ་པ 						དུ 	སྒྲུབ་པ 	-ར་བྱེད 	།_། 	ཇི 	ལྟར 	bstod tshogs ka_.txt	     དུ  སྒྲུབ་པ  -ར་བྱེད  །_།  ཇི  ལྟར 
 དུ  །_། 						དུ 	།_། 	གཟུགས 	བརྙན 	མཐོང་བ 	-ར 	bstod tshogs ka_.txt	     དུ  །_།  གཟུགས  བརྙན  མཐོང་བ  -ར 
