 ན ས་པ 						ན	ས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ན ས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
 ན ས་པ 						ན	ས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ 	bstod tshogs ka_.txt	     ན ས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ 
 ན  གཤེགས་པ 						ན 	གཤེགས་པ 	ཐམས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     ན  གཤེགས་པ  ཐམས་ཅད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 ན  རྣམས་ལ 						ན 	རྣམས་ལ 	ཐུགས 	བརྩེ་བ 	།_། 	ཕྲད་དང 	bstod tshogs ka_.txt	     ན  རྣམས་ལ  ཐུགས  བརྩེ་བ  །_།  ཕྲད་དང 
 ན  །_། 						ན 	།_། 	མི 	འབྲལ 	དགོངས་ཤིང 	བདེ་བ་ཅན 	bstod tshogs ka_.txt	     ན  །_།  མི  འབྲལ  དགོངས་ཤིང  བདེ་བ་ཅན 
 ན ་ལས 						ན	་ལས 	ངེས་པ 	-ར་གྲོལ 	།_། 	ཐུབ་པ 	bstod tshogs ka_.txt	     ན ་ལས  ངེས་པ  -ར་གྲོལ  །_།  ཐུབ་པ 
 ན  ཀུན 						ན 	ཀུན 	ཟིལ་མནན 	།_། 	ཁྱོད་ཀྱི 	མཁྱེན་པ 	bstod tshogs ka_.txt	     ན  ཀུན  ཟིལ་མནན  །_།  ཁྱོད་ཀྱི  མཁྱེན་པ 
 ན  ཀུན་གྱི 						ན 	ཀུན་གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལུས་པ 	bstod tshogs ka_.txt	     ན  ཀུན་གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལུས་པ 
 ན ་མོངས 						ན	་མོངས 	སེལ་བ 	ཉོན་མོངས་པ 	།_། 	བརྩེར 	bstod tshogs ka_.txt	     ན ་མོངས  སེལ་བ  ཉོན་མོངས་པ  །_།  བརྩེར 
 ན ་གྱིས 						ན	་གྱིས 	གྲུབ་ཅིང 	ཆགས 	མི་མངའ 	།_། 	bstod tshogs ka_.txt	     ན ་གྱིས  གྲུབ་ཅིང  ཆགས  མི་མངའ  །_། 
 ན ་གྱི 						ན	་གྱི 	།_། 	ལན་ལྡོན 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ན ་གྱི  །_།  ལན་ལྡོན  ཁྱོད་ལ  ཕྱག 
 ན ས་དང 						ན	ས་དང 	གནས་པ 	བཤད 	བྱ་དང 	།_། 	bstod tshogs ka_.txt	     ན ས་དང  གནས་པ  བཤད  བྱ་དང  །_། 
 ན ་པ་ལ 						ན	་པ་ལ 	།_། 	རྟག་ཏུ 	བློ་གྲོས 	མི 	bstod tshogs ka_.txt	     ན ་པ་ལ  །_།  རྟག་ཏུ  བློ་གྲོས  མི 
 ན  མཆོག 						ན 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     ན  མཆོག  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 ན  འོངས་པ་དང 						ན 	འོངས་པ་དང 	།_། 	འགྲོ་དང 	ངེས་འབྱུང 	སེམས་ཅན་ལ 	bstod tshogs ka_.txt	     ན  འོངས་པ་དང  །_།  འགྲོ་དང  ངེས་འབྱུང  སེམས་ཅན་ལ 
 ན  ཀུན་གྱིས 						ན 	ཀུན་གྱིས 	ཁྱོད 	མཐོང་ན 	།_། 	སྐྱེས 	bstod tshogs ka_.txt	     ན  ཀུན་གྱིས  ཁྱོད  མཐོང་ན  །_།  སྐྱེས 
 ན ་དང 						ན	་དང 	གནས་དང 	གཏོང་བ་དང 	།_། 	སྤྲུལ་པ་དང་ནི 	bstod tshogs ka_.txt	     ན ་དང  གནས་དང  གཏོང་བ་དང  །_།  སྤྲུལ་པ་དང་ནི 
 ན ་དང 						ན	་དང 	ཡེ་ཤེས་ལ 	།_། 	མངའ 	བརྙེས 	bstod tshogs ka_.txt	     ན ་དང  ཡེ་ཤེས་ལ  །_།  མངའ  བརྙེས 
 ན ་པོ་ལ 						ན	་པོ་ལ 	།_། 	སེམས 	ཅན 	རྣམས་ལ 	bstod tshogs ka_.txt	     ན ་པོ་ལ  །_།  སེམས  ཅན  རྣམས་ལ 
 ན ི 						ན	ི 	སྤངས་པ་དང 	།_། 	ངེས 	འབྱུང 	bstod tshogs ka_.txt	     ན ི  སྤངས་པ་དང  །_།  ངེས  འབྱུང 
