-འི  རྣམ་པ ་ཀུན 	།_། 	བྱང 	ཆུབ 	ཆེན་པོ 	-འི 	རྣམ་པ	་ཀུན 	།_། 	སྐུ་གསུམ 	དག་གིས 	བརྙེས 	bstod tshogs ka_.txt	།_།  བྱང  ཆུབ  ཆེན་པོ  -འི  རྣམ་པ ་ཀུན  །_།  སྐུ་གསུམ  དག་གིས  བརྙེས 
ཉིད  རྣམ་པ ་གཉིས་སུ 	དེ་ཉིད 	མཚན་ཉིད་དོ 	།_། 	སེམས 	ཉིད 	རྣམ་པ	་གཉིས་སུ 	མཐོང 	_།_། 	ཇི་ལྟར 	འཇིག་རྟེན 	bstod tshogs ka_.txt	དེ་ཉིད  མཚན་ཉིད་དོ  །_།  སེམས  ཉིད  རྣམ་པ ་གཉིས་སུ  མཐོང  _།_།  ཇི་ལྟར  འཇིག་རྟེན 
རང་གི  རྣམ་པ  -ར 	ལུས 	འདི་ཉིད་ལ 	ཐམས་ཅད་དེ 	།_། 	རང་གི 	རྣམ་པ 	-ར 	རྟོག་པ 	-ས་བཅིངས 	།_། 	བདག 	bstod tshogs ka_.txt	ལུས  འདི་ཉིད་ལ  ཐམས་ཅད་དེ  །_།  རང་གི  རྣམ་པ  -ར  རྟོག་པ  -ས་བཅིངས  །_།  བདག 
མེད  རྣམ་པ ་གཉིས 	ཕྱི་རོལ་རྣམ 	བརྟགས་པ 	།_། 	བདག 	མེད 	རྣམ་པ	་གཉིས 	མཐོང་ན 	།_། 	སྲིད་པ 	-འི 	bstod tshogs ka_.txt	ཕྱི་རོལ་རྣམ  བརྟགས་པ  །_།  བདག  མེད  རྣམ་པ ་གཉིས  མཐོང་ན  །_།  སྲིད་པ  -འི 
སྨོན་ལམ  རྣམ་པ  -ར 	དང་བཅས་པ 	-འི 	ཤེས་རབ་དང 	_།_། 	སྨོན་ལམ 	རྣམ་པ 	-ར 	སྦྱངས་པ་དང 	_།_། 	སྟོབས་ལ 	ངེས་ནས 	bstod tshogs ka_.txt	དང་བཅས་པ  -འི  ཤེས་རབ་དང  _།_།  སྨོན་ལམ  རྣམ་པ  -ར  སྦྱངས་པ་དང  _།_།  སྟོབས་ལ  ངེས་ནས 
འཛི  རྣམ་པ  -ར 	-འི 	འོད་ཀྱིས་གསལ 	།_། 	འདུ 	འཛི 	རྣམ་པ 	-ར 	སྤངས་པ་ཡི 	།_། 	ཡེ 	ཤེས 	bstod tshogs ka_.txt	-འི  འོད་ཀྱིས་གསལ  །_།  འདུ  འཛི  རྣམ་པ  -ར  སྤངས་པ་ཡི  །_།  ཡེ  ཤེས 
གཏན  རྣམ་པ  སྣ་ཚོགས་ཉིད 	སྒྱུ་རྩལ 	བཟོ་གནས་ཀུན 	།_། 	བསམ 	གཏན 	རྣམ་པ 	སྣ་ཚོགས་ཉིད 	།_། 	ཉོན་མོངས 	ཤིན་ཏུ 	སྦྱང 	bstod tshogs ka_.txt	སྒྱུ་རྩལ  བཟོ་གནས་ཀུན  །_།  བསམ  གཏན  རྣམ་པ  སྣ་ཚོགས་ཉིད  །_།  ཉོན་མོངས  ཤིན་ཏུ  སྦྱང 
ཆུབ  རྣམ་པ ་གསུམ་པོ་དང 	དཀའ 	-ར་འདོད 	།_། 	བྱང 	ཆུབ 	རྣམ་པ	་གསུམ་པོ་དང 	_།_། 	ཕུན 	སུམ 	ཚོགས 	bstod tshogs ka_.txt	དཀའ  -ར་འདོད  །_།  བྱང  ཆུབ  རྣམ་པ ་གསུམ་པོ་དང  _།_།  ཕུན  སུམ  ཚོགས 
།_།  རྣམ་པ  ཀུན་དུ 	།_། 	པདྨ 	བྱེ་བ 	དུ་མ་ཡིས 	།_། 	རྣམ་པ 	ཀུན་དུ 	ཡོངས་སུ་བསྐོར 	།_། 	སྟོབས 	བཅུ་པོ་ཡིས 	bstod tshogs ka_.txt	།_།  པདྨ  བྱེ་བ  དུ་མ་ཡིས  །_།  རྣམ་པ  ཀུན་དུ  ཡོངས་སུ་བསྐོར  །_།  སྟོབས  བཅུ་པོ་ཡིས 
འཁོར་དུ  རྣམ་པ  ཀུན་གྱིས་བསྐོར 	ཟླ་བ 	ཉ་ལ 	སྐར་མ་ཡིས 	།_། 	འཁོར་དུ 	རྣམ་པ 	ཀུན་གྱིས་བསྐོར 	།_། 	སངས 	རྒྱས 	ཕྱག་གི 	bstod tshogs ka_.txt	ཟླ་བ  ཉ་ལ  སྐར་མ་ཡིས  །_།  འཁོར་དུ  རྣམ་པ  ཀུན་གྱིས་བསྐོར  །_།  སངས  རྒྱས  ཕྱག་གི 
ཀུན་དུ  རྣམ་པ  -ར 	དབྱེ 	-ར 	མེད་པ 	།_། 	ཀུན་དུ 	རྣམ་པ 	-ར 	དག་པ 	-ར་གྱུར 	།_། 	གཙོ་བོ 	bstod tshogs ka_.txt	དབྱེ  -ར  མེད་པ  །_།  ཀུན་དུ  རྣམ་པ  -ར  དག་པ  -ར་གྱུར  །_།  གཙོ་བོ 
མེད  རྣམ་པ  -ར 	-ར 	ཤེས་བྱ་མིན 	།_། 	དེ 	མེད 	རྣམ་པ 	-ར 	ཤེས་པ 	-འང་མེད 	།_། 	དེ 	bstod tshogs ka_.txt	-ར  ཤེས་བྱ་མིན  །_།  དེ  མེད  རྣམ་པ  -ར  ཤེས་པ  -འང་མེད  །_།  དེ 
-འི  རྣམ་པ ་ཡང 	།_། 	ཅུང 	ཟད 	བསྒོམ་པ 	-འི 	རྣམ་པ	་ཡང 	།_། 	དེ 	ཀུན 	སེམས་ཀྱི 	bstod tshogs ka_.txt	།_།  ཅུང  ཟད  བསྒོམ་པ  -འི  རྣམ་པ ་ཡང  །_།  དེ  ཀུན  སེམས་ཀྱི 
ཐབས་ཚུལ  རྣམ་པ  དུ་མ 	སྣང་ལ 	།_། 	སྣ 	ཚོགས 	ཐབས་ཚུལ 	རྣམ་པ 	དུ་མ 	-ར 	འཇུག་ཅིང 	སྲིད་པ་གསུམ་གྱི 	འཇིགས 	bstod tshogs ka_.txt	སྣང་ལ  །_།  སྣ  ཚོགས  ཐབས་ཚུལ  རྣམ་པ  དུ་མ  -ར  འཇུག་ཅིང  སྲིད་པ་གསུམ་གྱི  འཇིགས 
-འི  རྣམ་པ  -ར 	།།_།།༄༅།_ 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	-ར 	འགྲེལ་པ 	།_༄༅༅།_། 	རྒྱ 	གར 	bstod tshogs ka_.txt	།།_།།༄༅།_  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  -འི  རྣམ་པ  -ར  འགྲེལ་པ  །_༄༅༅།_།  རྒྱ  གར 
