 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པ 	།།_།།༄༅།_། 	ཆོས་ཀྱི 	དབྱིངས་སུ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པ  །།_།།༄༅།_།  ཆོས་ཀྱི  དབྱིངས་སུ 
 ཏེ  །_། 						ཏེ 	།_། 	ཁམས 	རྒྱས་བྱེད་པ 	-འི 	ཆོས་བཞིའོ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཁམས  རྒྱས་བྱེད་པ  -འི  ཆོས་བཞིའོ 
 ཏེ  །_། 						ཏེ 	།_། 	སྲས་ཀྱི 	ཐུ་བོ 	-ར 	དབང 	bstod tshogs ka_.txt	     ཏེ  །_།  སྲས་ཀྱི  ཐུ་བོ  -ར  དབང 
 ཏེ  །_། 						ཏེ 	།_། 	རྨོངས་པ 	-འི 	མུན་པ 	-ར 	bstod tshogs ka_.txt	     ཏེ  །_།  རྨོངས་པ  -འི  མུན་པ  -ར 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།_༄༅།_། 	སེམས་ཀྱི 	རྡོ་རྗེ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།_༄༅།_།  སེམས་ཀྱི  རྡོ་རྗེ 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།༄༅།_། 	སྐུ་གསུམ་ལ 	བསྟོད་པ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།༄༅།_།  སྐུ་གསུམ་ལ  བསྟོད་པ 
 ཏེ  སྤྲོས་མེད་པ 						ཏེ 	སྤྲོས་མེད་པ 	།_། 	སོ་སོ 	རང་རིག 	རྒྱལ་བ 	bstod tshogs ka_.txt	     ཏེ  སྤྲོས་མེད་པ  །_།  སོ་སོ  རང་རིག  རྒྱལ་བ 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།༄༅།_ 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།༄༅།_  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས 
 ཏེ  །_ 						ཏེ 	།_ 	ནམ 	མཁའ 	ལྟར 	ཡོངས་སུ 	bstod tshogs ka_.txt	     ཏེ  །_  ནམ  མཁའ  ལྟར  ཡོངས་སུ 
 ཏེ  །_ 						ཏེ 	།_ 	གང་གི 	ཕྱིར 	ཀུན་དུ 	རྟོག་པ 	bstod tshogs ka_.txt	     ཏེ  །_  གང་གི  ཕྱིར  ཀུན་དུ  རྟོག་པ 
 ཏེ  །_ 						ཏེ 	།_ 	བདག་དང 	གཞན་ནི 	བདག་དང 	གཞན་ཏེ 	bstod tshogs ka_.txt	     ཏེ  །_  བདག་དང  གཞན་ནི  བདག་དང  གཞན་ཏེ 
 ཏེ  །_ 						ཏེ 	།_ 	རྨི་ལམ་ལ 	སོགས་པ 	-འི 	ཤེས་པ 	bstod tshogs ka_.txt	     ཏེ  །_  རྨི་ལམ་ལ  སོགས་པ  -འི  ཤེས་པ 
 ཏེ  མ་རིག་པ 						ཏེ 	མ་རིག་པ 	-འི 	བག་ཆགས་དང 	ཆོས་ཀྱི 	དབྱིངས 	bstod tshogs ka_.txt	     ཏེ  མ་རིག་པ  -འི  བག་ཆགས་དང  ཆོས་ཀྱི  དབྱིངས 
