མཐོང་ངོ  _།_ ། 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	མཐོང་ངོ 	_།_	། 	ཇི་ལྟར 	འོ་མ་རྣམ 	སྦྱངས་པས 	།_། 	bstod tshogs ka_.txt	།_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི  མཐོང་ངོ  _།_ །  ཇི་ལྟར  འོ་མ་རྣམ  སྦྱངས་པས  །_། 
མཐོང་ངོ  _།_ ། 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	མཐོང་ངོ 	_།_	། 	ཕྱོགས་ནི 	གང་དང་གང 	དག་ནས 	།_། 	bstod tshogs ka_.txt	།_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི  མཐོང་ངོ  _།_ །  ཕྱོགས་ནི  གང་དང་གང  དག་ནས  །_། 
འོད་གསལ་ཡང  _།_ ། 	།_། 	དུས 	རྣམས 	ཀུན་དུ 	འོད་གསལ་ཡང 	_།_	། 	རྡོ་ཡི 	ནང་ན 	གནས 	གྱུར་ན 	bstod tshogs ka_.txt	།_།  དུས  རྣམས  ཀུན་དུ  འོད་གསལ་ཡང  _།_ །  རྡོ་ཡི  ནང་ན  གནས  གྱུར་ན 
-འང  _།_ ། 	ཆོས 	དབྱིངས 	ཤིན་ཏུ 	དྲི་མེད་པ 	-འང 	_།_	། 	འཁོར་བ 	-ར 	འོད་ནི 	གསལ 	bstod tshogs ka_.txt	ཆོས  དབྱིངས  ཤིན་ཏུ  དྲི་མེད་པ  -འང  _།_ །  འཁོར་བ  -ར  འོད་ནི  གསལ 
འབྲས་བུ་འབྱུང  _།_ ། 	།_། 	རྒྱུ་དང 	འདྲ་བ 	-འི 	འབྲས་བུ་འབྱུང 	_།_	། 	ས་བོན 	མེད་པ 	-ར 	འབྲས 	bstod tshogs ka_.txt	།_།  རྒྱུ་དང  འདྲ་བ  -འི  འབྲས་བུ་འབྱུང  _།_ །  ས་བོན  མེད་པ  -ར  འབྲས 
 _།_  -ས 						_།_ 	-ས 	བོན 	གྱུར་པ 	ཁམས་དེ་ཉིད 	།_། 	bstod tshogs ka_.txt	     _།_  -ས  བོན  གྱུར་པ  ཁམས་དེ་ཉིད  །_། 
ཟླ་བ་ཡང  _།_ ། 	།_། 	དྲི 	མེད 	ཉི་མ 	ཟླ་བ་ཡང 	_།_	། 	སྤྲིན་དང 	ཁུག་རྣ 	དུ་བ་དང 	_།_། 	bstod tshogs ka_.txt	།_།  དྲི  མེད  ཉི་མ  ཟླ་བ་ཡང  _།_ །  སྤྲིན་དང  ཁུག་རྣ  དུ་བ་དང  _།_། 
ལེ་ལོ་དང  _།_ ། 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	འདོད་དང 	གནོད་སེམས 	ལེ་ལོ་དང 	_།_	། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	།_། 	སྒྲིབ་པ 	bstod tshogs ka_.txt	འོད་གསལ་བ་ཡི་སེམས  །_།  འདོད་དང  གནོད་སེམས  ལེ་ལོ་དང  _།_ །  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ  །_།  སྒྲིབ་པ 
 _།_  -ས་ཡི་དཀྱིལ་ན 						_།_ 	-ས་ཡི་དཀྱིལ་ན 	ཡོད་པ 	-འི་ཆུ 	།_། 	དྲི 	bstod tshogs ka_.txt	     _།_  -ས་ཡི་དཀྱིལ་ན  ཡོད་པ  -འི་ཆུ  །_།  དྲི 
ཡེ་ཤེས་ཀྱང  _།_ ། 	གནས་པ་ལྟར 	།_། 	ཉོན་མོངས 	ནང་ན 	ཡེ་ཤེས་ཀྱང 	_།_	། 	དེ་བཞིན 	དྲི་མ 	མེད་པ 	-ར་གནས 	bstod tshogs ka_.txt	གནས་པ་ལྟར  །_།  ཉོན་མོངས  ནང་ན  ཡེ་ཤེས་ཀྱང  _།_ །  དེ་བཞིན  དྲི་མ  མེད་པ  -ར་གནས 
