།_།  བྱ་བ ་གསུམ་པོ 	མི 	རྟག 	སྡུག་བསྔལ 	སྟོང་པ་ཞེས 	།_། 	བྱ་བ	་གསུམ་པོ 	-ས 	སེམས 	སྦྱོང་བྱེད 	།_། 	bstod tshogs ka_.txt	མི  རྟག  སྡུག་བསྔལ  སྟོང་པ་ཞེས  །_།  བྱ་བ ་གསུམ་པོ  -ས  སེམས  སྦྱོང་བྱེད  །_། 
རྟོགས  བྱ་བ  །_། 	།_། 	ཡིད་ཀྱི 	ཤེས་པ 	-ས 	རྟོགས 	བྱ་བ 	།_། 	གང་ཡང 	རུང་ལ 	ཕྱག 	འཚལ་བསྟོད 	bstod tshogs ka_.txt	།_།  ཡིད་ཀྱི  ཤེས་པ  -ས  རྟོགས  བྱ་བ  །_།  གང་ཡང  རུང་ལ  ཕྱག  འཚལ་བསྟོད 
པར  བྱ་བ  -འི 	དུ་མ 	-འི་འོད 	།_། 	འདོད 	པར 	བྱ་བ 	-འི 	ཟེ་འབྲུ་ཅན 	།_། 	པདྨ 	བྱེ་བ 	bstod tshogs ka_.txt	དུ་མ  -འི་འོད  །_།  འདོད  པར  བྱ་བ  -འི  ཟེ་འབྲུ་ཅན  །_།  པདྨ  བྱེ་བ 
བསྟོད་པ་ཞེས  བྱ་བ  །_། 	བོད 	སྐད་དུ 	།_ 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	།_། 	འཕགས་པ 	འཇམ་དཔལ་གཞོན 	ནུར 	གྱུར་པ་ལ 	bstod tshogs ka_.txt	བོད  སྐད་དུ  །_  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  །_།  འཕགས་པ  འཇམ་དཔལ་གཞོན  ནུར  གྱུར་པ་ལ 
བསྟོད་པ་ཞེས  བྱ་བ  སློབ་དཔོན 	འཛུད་པ 	-ར་ཤོག 	_། 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	སློབ་དཔོན 	འཕགས་པ 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	རྫོགས་སོ 	bstod tshogs ka_.txt	འཛུད་པ  -ར་ཤོག  _།  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  སློབ་དཔོན  འཕགས་པ  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ  རྫོགས་སོ 
བསྟོད་པ་ཞེས  བྱ་བ  -འི 	གཏན་ལ 	ཕབ་པའོ 	།།_།།༄༅།_ 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	-ར 	འགྲེལ་པ 	།_༄༅༅།_། 	bstod tshogs ka_.txt	གཏན་ལ  ཕབ་པའོ  །།_།།༄༅།_  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  -འི  རྣམ་པ  -ར  འགྲེལ་པ  །_༄༅༅།_། 
བསྟོད་པ་ཞེས  བྱ་བ  -འི 	བོད 	སྐད་དུ 	།_ 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	-ར 	འགྲེལ་པ 	།_ 	bstod tshogs ka_.txt	བོད  སྐད་དུ  །_  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  -འི  རྣམ་པ  -ར  འགྲེལ་པ  །_ 
མ་ཡིན་ཞེས  བྱ་བ ་ལ 	། 	གཅིག 	མིན 	དུ་མ 	མ་ཡིན་ཞེས 	བྱ་བ	་ལ 	སོགས་པ 	-འི 	ཚིགས་སུ 	བཅད་པ་གསུམ་གྱིས 	bstod tshogs ka_.txt	།  གཅིག  མིན  དུ་མ  མ་ཡིན་ཞེས  བྱ་བ ་ལ  སོགས་པ  -འི  ཚིགས་སུ  བཅད་པ་གསུམ་གྱིས 
 བྱ་བ ་དང 	བརྗོད་པ 	-ར 				བྱ་བ	་དང 	།_ 	དགོས་པ་དང 	།_ 	འབྲེལ་པ་དང 	bstod tshogs ka_.txt	བརྗོད་པ  -ར     བྱ་བ ་དང  །_  དགོས་པ་དང  །_  འབྲེལ་པ་དང 
-ར  བྱ་བ  -འི 	རྨོངས་པ 	དག 	དྲན་པ 	འཇུག་པ 	-ར 	བྱ་བ 	-འི 	ཕྱིར 	བརྗོད་པ 	-ར 	བྱ་བ 	bstod tshogs ka_.txt	རྨོངས་པ  དག  དྲན་པ  འཇུག་པ  -ར  བྱ་བ  -འི  ཕྱིར  བརྗོད་པ  -ར  བྱ་བ 
