།_།  མི  འབྲལ 	ཕྲད་དང 	བྲལ་བ 	-ར 	དགོངས་པ་ཅན 	།_། 	མི 	འབྲལ 	དགོངས་ཤིང 	བདེ་བ་ཅན 	།_། 	དགོངས་པ 	bstod tshogs ka_.txt	ཕྲད་དང  བྲལ་བ  -ར  དགོངས་པ་ཅན  །_།  མི  འབྲལ  དགོངས་ཤིང  བདེ་བ་ཅན  །_།  དགོངས་པ 
ཆགས  མི ་མངའ 	འཚལ་ལོ 	།_། 	ལྷུན་གྱིས 	གྲུབ་ཅིང 	ཆགས 	མི	་མངའ 	།_། 	ཐོགས་པ 	མི 	མངའ 	bstod tshogs ka_.txt	འཚལ་ལོ  །_།  ལྷུན་གྱིས  གྲུབ་ཅིང  ཆགས  མི ་མངའ  །_།  ཐོགས་པ  མི  མངའ 
བློ་གྲོས  མི  ཐོགས་པ 	ཤེས་པ 	སྟོན་པ་ལ 	།_། 	རྟག་ཏུ 	བློ་གྲོས 	མི 	ཐོགས་པ 	།_། 	སྟོན 	མཆོག 	ཁྱོད་ལ 	bstod tshogs ka_.txt	ཤེས་པ  སྟོན་པ་ལ  །_།  རྟག་ཏུ  བློ་གྲོས  མི  ཐོགས་པ  །_།  སྟོན  མཆོག  ཁྱོད་ལ 
།_།  མི  ཚུགས 	།_། 	བདག 	གཞན་དོན་ལ 	མུ་སྟེགས་གཞན 	།_། 	མི 	ཚུགས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	།_།  བདག  གཞན་དོན་ལ  མུ་སྟེགས་གཞན  །_།  མི  ཚུགས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
བསྲུང་བ  མི  མངའ 	ཉོན་མོངས 	གཏན 	སྤངས་ལ 	།_། 	བསྲུང་བ 	མི 	མངའ 	བསྙེལ 	མི་མངའ 	།_། 	ཚོགས 	bstod tshogs ka_.txt	ཉོན་མོངས  གཏན  སྤངས་ལ  །_།  བསྲུང་བ  མི  མངའ  བསྙེལ  མི་མངའ  །_།  ཚོགས 
སྤྱོད  མི ་མངའ 	ཀུན 	མཁྱེན 	མ 	ལགས 	སྤྱོད 	མི	་མངའ 	།_། 	ཁྱོད་ནི 	ཡང་དག 	དོན་དུ་ན 	bstod tshogs ka_.txt	ཀུན  མཁྱེན  མ  ལགས  སྤྱོད  མི ་མངའ  །_།  ཁྱོད་ནི  ཡང་དག  དོན་དུ་ན 
ཡོང  མི ་འདའ 	མཛད་པ 	།_། 	ཁྱོན་ནི 	དུས་ལས 	ཡོང 	མི	་འདའ 	།_། 	རྟག་ཏུ 	འབྲས་བུ 	ཡོད 	bstod tshogs ka_.txt	མཛད་པ  །_།  ཁྱོན་ནི  དུས་ལས  ཡོང  མི ་འདའ  །_།  རྟག་ཏུ  འབྲས་བུ  ཡོད 
 མི  བསྙེལ 	མཛད་པ 	།_། 				མི 	བསྙེལ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	མཛད་པ  །_།     མི  བསྙེལ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
སྲི་བ  མི  མངའ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སྲི་བ 	མི 	མངའ 	སྐྱོན 	མི་མངའ 	།_། 	རྙོག་པ 	bstod tshogs ka_.txt	ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  སྲི་བ  མི  མངའ  སྐྱོན  མི་མངའ  །_།  རྙོག་པ 
 མི ་མངའ 	མི 	མངའ 	བཞུགས 			མི	་མངའ 	།_། 	གཡོ་བ 	མི 	མངའ 	bstod tshogs ka_.txt	མི  མངའ  བཞུགས    མི ་མངའ  །_།  གཡོ་བ  མི  མངའ 
