 _།  ཆོས་ཀྱི 						_། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	bstod tshogs ka_.txt	     _།  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ  -འི  ཡོན་ཏན 
 _།  ཆོས་ཀྱི 						_། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	bstod tshogs ka_.txt	     _།  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ  -འི  ཡོན་ཏན 
 _།  སེམས 						_། 	སེམས 	ཅན 	རྣམས་ལ 	ཐུགས 	བརྩེ་བ 	bstod tshogs ka_.txt	     _།  སེམས  ཅན  རྣམས་ལ  ཐུགས  བརྩེ་བ 
 _།  ཕྲད་དང 						_། 	ཕྲད་དང 	བྲལ་བ 	-ར 	དགོངས་པ་ཅན 	།_། 	bstod tshogs ka_.txt	     _།  ཕྲད་དང  བྲལ་བ  -ར  དགོངས་པ་ཅན  །_། 
 _།  དགོངས་པ 						_། 	དགོངས་པ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     _།  དགོངས་པ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 _།  ཐུབ་པ 						_། 	ཐུབ་པ 	-ས 	འཇིག་རྟེན 	ཀུན 	ཟིལ་མནན 	bstod tshogs ka_.txt	     _།  ཐུབ་པ  -ས  འཇིག་རྟེན  ཀུན  ཟིལ་མནན 
 _།  ཁྱོད་ཀྱི 						_། 	ཁྱོད་ཀྱི 	མཁྱེན་པ 	-ས 	ཤེས་བྱ་ཁྱབ 	།_། 	bstod tshogs ka_.txt	     _།  ཁྱོད་ཀྱི  མཁྱེན་པ  -ས  ཤེས་བྱ་ཁྱབ  །_། 
 _།  སེམས 						_། 	སེམས 	ཅན 	ཀུན་གྱི 	ཉོན་མོངས་ཀུན 	།_། 	bstod tshogs ka_.txt	     _།  སེམས  ཅན  ཀུན་གྱི  ཉོན་མོངས་ཀུན  །_། 
 _།  ཉོན་མོངས 						_། 	ཉོན་མོངས 	སེལ་བ 	ཉོན་མོངས་པ 	།_། 	བརྩེར 	bstod tshogs ka_.txt	     _།  ཉོན་མོངས  སེལ་བ  ཉོན་མོངས་པ  །_།  བརྩེར 
 _།  ལྷུན་གྱིས 						_། 	ལྷུན་གྱིས 	གྲུབ་ཅིང 	ཆགས 	མི་མངའ 	།_། 	bstod tshogs ka_.txt	     _།  ལྷུན་གྱིས  གྲུབ་ཅིང  ཆགས  མི་མངའ  །_། 
 _།  མཉམ 						_། 	མཉམ 	པར 	གཞག་ཅིང 	འདྲི 	ཀུན་གྱི 	bstod tshogs ka_.txt	     _།  མཉམ  པར  གཞག་ཅིང  འདྲི  ཀུན་གྱི 
 _།  ལན་ལྡོན 						_། 	ལན་ལྡོན 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     _།  ལན་ལྡོན  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 _།  ཚིག་དང 						_། 	ཚིག་དང 	ཤེས་པ 	སྟོན་པ་ལ 	།_། 	རྟག་ཏུ 	bstod tshogs ka_.txt	     _།  ཚིག་དང  ཤེས་པ  སྟོན་པ་ལ  །_།  རྟག་ཏུ 
 _།  སྟོན 						_། 	སྟོན 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _།  སྟོན  མཆོག  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _།  ཆེད་དུ 						_། 	ཆེད་དུ 	ཞུ་དང 	དེ་དག་གི 	།_། 	ཚིག་དང 	bstod tshogs ka_.txt	     _།  ཆེད་དུ  ཞུ་དང  དེ་དག་གི  །_།  ཚིག་དང 
 _།  འགྲོ་དང 						_། 	འགྲོ་དང 	ངེས་འབྱུང 	སེམས་ཅན་ལ 	།_། 	ལེགས 	bstod tshogs ka_.txt	     _།  འགྲོ་དང  ངེས་འབྱུང  སེམས་ཅན་ལ  །_།  ལེགས 
 _།  ལུས 						_། 	ལུས 	ཅན 	ཀུན་གྱིས 	ཁྱོད 	མཐོང་ན 	bstod tshogs ka_.txt	     _།  ལུས  ཅན  ཀུན་གྱིས  ཁྱོད  མཐོང་ན 
 _།  སྐྱེས 						_། 	སྐྱེས 	བུ 	མཆོག་ཏུ 	རྟོགས་པ 	-ར་འགྱུར 	bstod tshogs ka_.txt	     _།  སྐྱེས  བུ  མཆོག་ཏུ  རྟོགས་པ  -ར་འགྱུར 
 _།  མཐོང་བ 						_། 	མཐོང་བ 	ཙམ་གྱིས 	དད 	འགྱུར་བར 	།_། 	bstod tshogs ka_.txt	     _།  མཐོང་བ  ཙམ་གྱིས  དད  འགྱུར་བར  །_། 
 _།  ལེན་དང 						_། 	ལེན་དང 	གནས་དང 	གཏོང་བ་དང 	།_། 	སྤྲུལ་པ་དང་ནི 	bstod tshogs ka_.txt	     _།  ལེན་དང  གནས་དང  གཏོང་བ་དང  །_།  སྤྲུལ་པ་དང་ནི 
 _།  ཏིང་ངེ 						_། 	ཏིང་ངེ 	འཛིན་དང 	ཡེ་ཤེས་ལ 	།_། 	མངའ 	bstod tshogs ka_.txt	     _།  ཏིང་ངེ  འཛིན་དང  ཡེ་ཤེས་ལ  །_།  མངའ 
 _།  ཐབས་དང 						_། 	ཐབས་དང 	སྐྱབས་དང 	དག་པ་དང 	།_། 	ངེས 	bstod tshogs ka_.txt	     _།  ཐབས་དང  སྐྱབས་དང  དག་པ་དང  །_།  ངེས 
 _།  སེམས 						_། 	སེམས 	ཅན 	རྣམས་ལ 	སླུ་བ་ཡི 	།_། 	bstod tshogs ka_.txt	     _།  སེམས  ཅན  རྣམས་ལ  སླུ་བ་ཡི  །_། 
 _།  ཡེ 						_། 	ཡེ 	ཤེས་དང་ནི 	སྤངས་པ་དང 	།_། 	ངེས 	bstod tshogs ka_.txt	     _།  ཡེ  ཤེས་དང་ནི  སྤངས་པ་དང  །_།  ངེས 
 _།  བདག 						_། 	བདག 	གཞན་དོན་ལ 	མུ་སྟེགས་གཞན 	།_། 	མི 	bstod tshogs ka_.txt	     _།  བདག  གཞན་དོན་ལ  མུ་སྟེགས་གཞན  །_།  མི 
 _།  འཁོར་དུ 						_། 	འཁོར་དུ 	ཚར 	བཅད 	གསུང 	མཛད་པ 	bstod tshogs ka_.txt	     _།  འཁོར་དུ  ཚར  བཅད  གསུང  མཛད་པ 
 _།  ཀུན་ནས 						_། 	ཀུན་ནས 	ཉོན་མོངས 	གཏན 	སྤངས་ལ 	།_། 	bstod tshogs ka_.txt	     _།  ཀུན་ནས  ཉོན་མོངས  གཏན  སྤངས་ལ  །_། 
 _།  ཚོགས 						_། 	ཚོགས 	སྡུད 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _།  ཚོགས  སྡུད  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _།  གཤེགས 						_། 	གཤེགས 	བཞུགས 	ཀུན་དུ 	རྟག་པ 	-ར་ཡང 	bstod tshogs ka_.txt	     _།  གཤེགས  བཞུགས  ཀུན་དུ  རྟག་པ  -ར་ཡང 
 _།  ཀུན 						_། 	ཀུན 	མཁྱེན 	མ 	ལགས 	སྤྱོད 	bstod tshogs ka_.txt	     _།  ཀུན  མཁྱེན  མ  ལགས  སྤྱོད 
 _།  ཁྱོད་ནི 						_། 	ཁྱོད་ནི 	ཡང་དག 	དོན་དུ་ན 	།_། 	ཀུན 	bstod tshogs ka_.txt	     _།  ཁྱོད་ནི  ཡང་དག  དོན་དུ་ན  །_།  ཀུན 
 _།  སེམས 						_། 	སེམས 	ཅན 	ཀུན་གྱི 	དོན 	མཛད་པ 	bstod tshogs ka_.txt	     _།  སེམས  ཅན  ཀུན་གྱི  དོན  མཛད་པ 
 _།  ཁྱོན་ནི 						_། 	ཁྱོན་ནི 	དུས་ལས 	ཡོང 	མི་འདའ 	།_། 	bstod tshogs ka_.txt	     _།  ཁྱོན་ནི  དུས་ལས  ཡོང  མི་འདའ  །_། 
 _།  མི 						_། 	མི 	བསྙེལ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _།  མི  བསྙེལ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _།  འཇིག 						_། 	འཇིག 	རྟེན 	ཀུན་ལ 	གདུགས 	ཞག་གཅིག 	bstod tshogs ka_.txt	     _།  འཇིག  རྟེན  ཀུན་ལ  གདུགས  ཞག་གཅིག 
 _།  ལན་དྲུག་ཏུ་ནི 						_། 	ལན་དྲུག་ཏུ་ནི 	གཟིགས 	མཛད་པ 	།_། 	ཐུགས 	bstod tshogs ka_.txt	     _།  ལན་དྲུག་ཏུ་ནི  གཟིགས  མཛད་པ  །_།  ཐུགས 
 _།  ཕན 						_། 	ཕན 	དགོངས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _།  ཕན  དགོངས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _།  གཤེགས་དང 						_། 	གཤེགས་དང 	ཐུགས་སུ 	ཆུད་པ་དང 	།_། 	མཁྱེན་པ་དང་ནི 	bstod tshogs ka_.txt	     _།  གཤེགས་དང  ཐུགས་སུ  ཆུད་པ་དང  །_།  མཁྱེན་པ་དང་ནི 
 _།  ཉན 						_། 	ཉན 	ཐོས་དང་ནི 	རང 	སངས་རྒྱས 	།_། 	bstod tshogs ka_.txt	     _།  ཉན  ཐོས་དང་ནི  རང  སངས་རྒྱས  །_། 
 _།  བྱང 						_། 	བྱང 	ཆུབ 	ཆེན་པོ 	-འི 	རྣམ་པ་ཀུན 	bstod tshogs ka_.txt	     _།  བྱང  ཆུབ  ཆེན་པོ  -འི  རྣམ་པ་ཀུན 
 _།  སྐུ་གསུམ 						_། 	སྐུ་གསུམ 	དག་གིས 	བརྙེས 	གྱུར་པ 	།_། 	bstod tshogs ka_.txt	     _།  སྐུ་གསུམ  དག་གིས  བརྙེས  གྱུར་པ  །_། 
 _།  དོགས 						_། 	དོགས 	གཅོད 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _།  དོགས  གཅོད  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _།  སྲི་བ 						_། 	སྲི་བ 	མི 	མངའ 	སྐྱོན 	མི་མངའ 	bstod tshogs ka_.txt	     _།  སྲི་བ  མི  མངའ  སྐྱོན  མི་མངའ 
 _།  རྙོག་པ 						_། 	རྙོག་པ 	མི 	མངའ 	བཞུགས 	མི་མངའ 	bstod tshogs ka_.txt	     _།  རྙོག་པ  མི  མངའ  བཞུགས  མི་མངའ 
 _།  གཡོ་བ 						_། 	གཡོ་བ 	མི 	མངའ 	ཆོས 	ཀུན་ལ 	bstod tshogs ka_.txt	     _།  གཡོ་བ  མི  མངའ  ཆོས  ཀུན་ལ 
 _།  མ 						_། 	མ 	སྤྲོས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _།  མ  སྤྲོས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _།  ཆོས 						_། 	ཆོས 	སྐུ་ལ 	གནས 	ཡོན་ཏན 	འདི་ལ 	bstod tshogs ka_.txt	     _།  ཆོས  སྐུ་ལ  གནས  ཡོན་ཏན  འདི་ལ 
