 སྟེ གས་གཞན 						སྟེ	གས་གཞན 	།_། 	མི 	ཚུགས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     སྟེ གས་གཞན  །_།  མི  ཚུགས  ཁྱོད་ལ 
 སྟེ  །_། 						སྟེ 	།_། 	སྒྲིབ་པ 	ལྔ་ཡིས 	བསྒྲིབས་པ 	-ར་གྱུར 	bstod tshogs ka_.txt	     སྟེ  །_།  སྒྲིབ་པ  ལྔ་ཡིས  བསྒྲིབས་པ  -ར་གྱུར 
 སྟེ  །_། 						སྟེ 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱི 	ངོ་བོ་ཡིན 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱི  ངོ་བོ་ཡིན  །_། 
 སྟེ  །_། 						སྟེ 	།_། 	སོ་སོ 	-ར 	རིག་ན 	དེ་ཉིད་དོ 	bstod tshogs ka_.txt	     སྟེ  །_།  སོ་སོ  -ར  རིག་ན  དེ་ཉིད་དོ 
 སྟེ  །_། 						སྟེ 	།_། 	གསུམ་པོ 	འདི 	-ས་ནི 	ཁམས 	bstod tshogs ka_.txt	     སྟེ  །_།  གསུམ་པོ  འདི  -ས་ནི  ཁམས 
 སྟེ ན་པ་སྟེ 						སྟེ	ན་པ་སྟེ 	།_། 	འདི་ཡང 	བྱང་ཆུབ 	རྒྱས་བྱེད་ཡིན 	bstod tshogs ka_.txt	     སྟེ ན་པ་སྟེ  །_།  འདི་ཡང  བྱང་ཆུབ  རྒྱས་བྱེད་ཡིན 
 སྟེ  །_། 						སྟེ 	།_། 	བྱང 	ཆུབ 	སེམས་དཔའ 	མ 	bstod tshogs ka_.txt	     སྟེ  །_།  བྱང  ཆུབ  སེམས་དཔའ  མ 
 སྟེ  །_། 						སྟེ 	།_། 	སེམས་ནི 	འགྲོ་བ 	ལྔ་པོ་ཡིན 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_།  སེམས་ནི  འགྲོ་བ  ལྔ་པོ་ཡིན  །_། 
 སྟེ  །_ 						སྟེ 	།_ 	གང་གི 	ཕྱིར 	བརྗོད་པ་དང 	།_ 	bstod tshogs ka_.txt	     སྟེ  །_  གང་གི  ཕྱིར  བརྗོད་པ་དང  །_ 
 སྟེ  །_ 						སྟེ 	།_ 	དེའི 	རང་གི 	ངོ་བོ 	ཉིད 	bstod tshogs ka_.txt	     སྟེ  །_  དེའི  རང་གི  ངོ་བོ  ཉིད 
 སྟེ  །_ 						སྟེ 	།_ 	འདི་ནི 	རེ་ཞིག 	དོན་གྱི 	སྤྱི་ཡིན 	bstod tshogs ka_.txt	     སྟེ  །_  འདི་ནི  རེ་ཞིག  དོན་གྱི  སྤྱི་ཡིན 
 སྟེ  །_ 						སྟེ 	།_ 	གཅིག 	མིན 	དུ་མ 	མ་ཡིན་ཞེས 	bstod tshogs ka_.txt	     སྟེ  །_  གཅིག  མིན  དུ་མ  མ་ཡིན་ཞེས 
 སྟེ  །_ 						སྟེ 	།_ 	གཉིས་ནི་གཉིས 	མེད་པ 	ཉིད་དོ 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_  གཉིས་ནི་གཉིས  མེད་པ  ཉིད་དོ  །_། 
 སྟེ  །_ 						སྟེ 	།_ 	གང་གིས 	སྣ་ཚོགས་པ 	-འི 	གཟུགས་སུ 	bstod tshogs ka_.txt	     སྟེ  །_  གང་གིས  སྣ་ཚོགས་པ  -འི  གཟུགས་སུ 
 སྟེ  །_ 						སྟེ 	།_ 	སཱ 	ལུ་ལ 	སོགས་པ 	-འི 	bstod tshogs ka_.txt	     སྟེ  །_  སཱ  ལུ་ལ  སོགས་པ  -འི 
 སྟེ  །_ 						སྟེ 	།_ 	གཉི 	ག་ལ 	-ས 	ལྡོག་པ 	bstod tshogs ka_.txt	     སྟེ  །_  གཉི  ག་ལ  -ས  ལྡོག་པ 
 སྟེ  ཡོད་པ་དང 						སྟེ 	ཡོད་པ་དང 	མེད་པ་དང 	དབུས་ལས 	འདས་པ 	-ར 	bstod tshogs ka_.txt	     སྟེ  ཡོད་པ་དང  མེད་པ་དང  དབུས་ལས  འདས་པ  -ར 
 སྟེ  །_ 						སྟེ 	།_ 	ནམ 	མཁའ 	ལྟར་ཞེས 	བྱ་བ་ནི 	bstod tshogs ka_.txt	     སྟེ  །_  ནམ  མཁའ  ལྟར་ཞེས  བྱ་བ་ནི 
 སྟེ  །_ 						སྟེ 	།_ 	འདོད 	ཆགས་ལ 	སོགས་པ 	-འི 	bstod tshogs ka_.txt	     སྟེ  །_  འདོད  ཆགས་ལ  སོགས་པ  -འི 
 སྟེ  རང་གི 						སྟེ 	རང་གི 	ངོ་བོ 	ཉིད་ལ 	མི 	འཕོ་བའོ 	bstod tshogs ka_.txt	     སྟེ  རང་གི  ངོ་བོ  ཉིད་ལ  མི  འཕོ་བའོ 
 སྟེ  །_ 						སྟེ 	།_ 	སེམས 	ཅན 	རྣམས་ཀྱི་སོ་སོ 	རང་གིས 	bstod tshogs ka_.txt	     སྟེ  །_  སེམས  ཅན  རྣམས་ཀྱི་སོ་སོ  རང་གིས 
 སྟེ  །_ 						སྟེ 	།_ 	དེ 	སྐད་དུ་ཡང 	།_ 	མཚུངས་པ 	bstod tshogs ka_.txt	     སྟེ  །_  དེ  སྐད་དུ་ཡང  །_  མཚུངས་པ 
