 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
 ཞེས  །_། 						ཞེས 	།_། 	འཇིག 	རྟེན་ན་ནི 	དཔེ 	-ར 	bstod tshogs ka_.txt	     ཞེས  །_།  འཇིག  རྟེན་ན་ནི  དཔེ  -ར 
 ཞེས  རབ་བསྟན 						ཞེས 	རབ་བསྟན 	།_། 	མི 	རྟག 	སྡུག་བསྔལ 	bstod tshogs ka_.txt	     ཞེས  རབ་བསྟན  །_།  མི  རྟག  སྡུག་བསྔལ 
 ཞེས  །_། 						ཞེས 	།_། 	བྱ་བ་གསུམ་པོ 	-ས 	སེམས 	སྦྱོང་བྱེད 	bstod tshogs ka_.txt	     ཞེས  །_།  བྱ་བ་གསུམ་པོ  -ས  སེམས  སྦྱོང་བྱེད 
 ཞེས ་ནི 						ཞེས	་ནི 	རྗོད་པ 	-ར་བྱེད 	།_། 	དེ 	bstod tshogs ka_.txt	     ཞེས ་ནི  རྗོད་པ  -ར་བྱེད  །_།  དེ 
 ཞེས ་ནི 						ཞེས	་ནི 	བརྗོད་པ་ཡིན 	།_། 	ཉོན་མོངས་དྲྭ 	བས 	bstod tshogs ka_.txt	     ཞེས ་ནི  བརྗོད་པ་ཡིན  །_།  ཉོན་མོངས་དྲྭ  བས 
 ཞེས ་ནི 						ཞེས	་ནི 	བརྗོད་པ 	-ར་བྱ 	།_། 	དེ 	bstod tshogs ka_.txt	     ཞེས ་ནི  བརྗོད་པ  -ར་བྱ  །_།  དེ 
 ཞེས ་ནི 						ཞེས	་ནི 	བརྗོད་པ 	-ར་བྱ 	།_། 	མིག་དང 	bstod tshogs ka_.txt	     ཞེས ་ནི  བརྗོད་པ  -ར་བྱ  །_།  མིག་དང 
 ཞེས  བརྗོད་པ 						ཞེས 	བརྗོད་པ 	-ར་བྱ 	།_། 	ཡིད་གཙོར 	གྱུར་པ 	bstod tshogs ka_.txt	     ཞེས  བརྗོད་པ  -ར་བྱ  །_།  ཡིད་གཙོར  གྱུར་པ 
 ཞེས  །_། 						ཞེས 	།_། 	མདོ 	སྡེ 	-འི 	ཚོགས་ལས 	bstod tshogs ka_.txt	     ཞེས  །_།  མདོ  སྡེ  -འི  ཚོགས་ལས 
 ཞེས  འཛིན་པས 						ཞེས 	འཛིན་པས 	།_། 	ཇི 	སྲིད 	ཕྱི་རོལ་རྣམ 	bstod tshogs ka_.txt	     ཞེས  འཛིན་པས  །_།  ཇི  སྲིད  ཕྱི་རོལ་རྣམ 
 ཞེས  །_། 						ཞེས 	།_། 	སྨྲ་བ 	ངན་པ 	-ར 	སྨྲ་བ་སྟེ 	bstod tshogs ka_.txt	     ཞེས  །_།  སྨྲ་བ  ངན་པ  -ར  སྨྲ་བ་སྟེ 
 ཞེས ་ནི 						ཞེས	་ནི 	མངོན་པ 	-ར་བརྗོད 	།_། 	འདོད 	bstod tshogs ka_.txt	     ཞེས ་ནི  མངོན་པ  -ར་བརྗོད  །_།  འདོད 
 ཞེས ་བྱ 						ཞེས	་བྱ 	།_། 	སངས 	རྒྱས་ཀྱིས 	ངེས 	bstod tshogs ka_.txt	     ཞེས ་བྱ  །_།  སངས  རྒྱས་ཀྱིས  ངེས 
 ཞེས  བརྗོད་པ་ཡིན 						ཞེས 	བརྗོད་པ་ཡིན 	།_། 	བག 	ཆགས་ལས 	གྲོལ 	bstod tshogs ka_.txt	     ཞེས  བརྗོད་པ་ཡིན  །_།  བག  ཆགས་ལས  གྲོལ 
 ཞེས ་ནི 						ཞེས	་ནི 	རྗོད་པ 	-ར་བྱེད 	།_། 	ཆོས 	bstod tshogs ka_.txt	     ཞེས ་ནི  རྗོད་པ  -ར་བྱེད  །_།  ཆོས 
 ཞེས  །_། 						ཞེས 	།_། 	བདེན་པ 	གསུང་བ 	ཁྱོད་ཀྱིས་བསྟན 	།_། 	bstod tshogs ka_.txt	     ཞེས  །_།  བདེན་པ  གསུང་བ  ཁྱོད་ཀྱིས་བསྟན  །_། 
 ཞེས  །_། 						ཞེས 	།_། 	ཚིག་གི 	བདག་པོ 	ཁྱོད་ཀྱིས་གསུང 	།_། 	bstod tshogs ka_.txt	     ཞེས  །_།  ཚིག་གི  བདག་པོ  ཁྱོད་ཀྱིས་གསུང  །_། 
 ཞེས  །_། 						ཞེས 	།_། 	མཉམ 	མེད 	ཁྱོད་ཀྱི 	སེང་གེ 	bstod tshogs ka_.txt	     ཞེས  །_།  མཉམ  མེད  ཁྱོད་ཀྱི  སེང་གེ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	།_། 	འཕགས་པ 	འཇམ་དཔལ་གཞོན 	ནུར 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  །_།  འཕགས་པ  འཇམ་དཔལ་གཞོན  ནུར 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སློབ་དཔོན 	འཕགས་པ 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སློབ་དཔོན  འཕགས་པ  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	-ར 	འགྲེལ་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  རྣམ་པ  -ར  འགྲེལ་པ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	-ར 	འགྲེལ་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  རྣམ་པ  -ར  འགྲེལ་པ 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	ཚིགས་སུ 	བཅད་པ་གསུམ་གྱིས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  ཚིགས་སུ  བཅད་པ་གསུམ་གྱིས 
 ཞེས  འདི་ལ 						ཞེས 	འདི་ལ 	ཡང་དག 	པར 	རྨོངས་པ 	དག 	bstod tshogs ka_.txt	     ཞེས  འདི་ལ  ཡང་དག  པར  རྨོངས་པ  དག 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ་ལ 	།_ 	གཅིག་དང 	དུ་མ་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ་ལ  །_  གཅིག་དང  དུ་མ་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	ཐ་ཚིག་གོ 	།_། 	ཅིའི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  ཐ་ཚིག་གོ  །_།  ཅིའི 
 ཞེས  འབྱུང་བ 						ཞེས 	འབྱུང་བ 	-ས་ན་གང 	ཐོག་མ 	ཉིད་ནས 	མ 	bstod tshogs ka_.txt	     ཞེས  འབྱུང་བ  -ས་ན་གང  ཐོག་མ  ཉིད་ནས  མ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	བདག་དང 	གཞན་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སྨོས་ཏེ  །_  བདག་དང  གཞན་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	གང་གི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  གང་གི 
།_།  ཞེས  གསུངས་པ་གང 	དག 	མཐོང་ན 	རྣམ་པ 	-ར་གྲོལ 	།_། 	ཞེས 	གསུངས་པ་གང 	འདི་ལྟར 	རྐྱེན་དང 	ལྡན་པ་ནི 	ཀུན་ནས 	bstod tshogs ka_.txt	དག  མཐོང་ན  རྣམ་པ  -ར་གྲོལ  །_།  ཞེས  གསུངས་པ་གང  འདི་ལྟར  རྐྱེན་དང  ལྡན་པ་ནི  ཀུན་ནས 
།_།  ཞེས  བྱ་བ 	མིན 	དངོས་པོ 	མེད 	མ་ཡིན 	།_། 	ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	དངོས་པོ་ནི 	གཟུགས་སུ 	bstod tshogs ka_.txt	མིན  དངོས་པོ  མེད  མ་ཡིན  །_།  ཞེས  བྱ་བ  སྨོས་ཏེ  །_  དངོས་པོ་ནི  གཟུགས་སུ 
།_།  ཞེས  བྱ་བ་སྟེ 	མིན 	དངོས་པོ 	ཡོད་པ 	མ་ཡིན 	།_། 	ཞེས 	བྱ་བ་སྟེ 	ཡོད་པ་དང 	མེད་པ་དང 	དབུས་ལས 	འདས་པ 	bstod tshogs ka_.txt	མིན  དངོས་པོ  ཡོད་པ  མ་ཡིན  །_།  ཞེས  བྱ་བ་སྟེ  ཡོད་པ་དང  མེད་པ་དང  དབུས་ལས  འདས་པ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	ནམ་མཁའ་དང 	འདྲ་བ 	-ར 	རོ་གཅིག་ཅིང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  ནམ་མཁའ་དང  འདྲ་བ  -ར  རོ་གཅིག་ཅིང 
།_།  ཞེས  བཤད་པ 	མེད 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ཞེས 	བཤད་པ 	-ས་སོ 	།_། 	དེ 	ལྟ་བུ 	bstod tshogs ka_.txt	མེད  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  ཞེས  བཤད་པ  -ས་སོ  །_།  དེ  ལྟ་བུ 
