 ཡིན ་པ་ལ 						ཡིན	་པ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	bstod tshogs ka_.txt	     ཡིན ་པ་ལ  བསྟོད་པ  །_༄༅༅།_།  ཆོས་ཀྱི  སྐུ་ལ 
 ཡིན ་པ 						ཡིན	་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	bstod tshogs ka_.txt	     ཡིན ་པ  ལ  བསྟོད་པ  །_  དེ 
 ཡིན ་པ་ལ 						ཡིན	་པ་ལ 	བསྟོད་པ 	།_ 	སློབ་དཔོན 	ཐོགས་མེད་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན ་པ་ལ  བསྟོད་པ  །_  སློབ་དཔོན  ཐོགས་མེད་ཀྱིས 
 ཡིན  །_། 						ཡིན 	།_། 	ནམ་ཡང 	འགག་པ 	-ར 	འགྱུར་བ་མེད 	bstod tshogs ka_.txt	     ཡིན  །_།  ནམ་ཡང  འགག་པ  -ར  འགྱུར་བ་མེད 
 ཡིན  །_། 						ཡིན 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	བསྒྲིབས་པའི 	bstod tshogs ka_.txt	     ཡིན  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  བསྒྲིབས་པའི 
 ཡིན  །_། 						ཡིན 	།_། 	མྱ་ངན 	འདས་ན 	འོད་གསལ་འགྱུར 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  མྱ་ངན  འདས་ན  འོད་གསལ་འགྱུར  །_། 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	སྟོང་པ 	ཉིད་ནི 	སྟོན་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  སྟོང་པ  ཉིད་ནི  སྟོན་པ 
མ  ཡིན  །_།_ 	ཁམས་དེ 	ཉམས་པ 	-ར 	བྱེད 	མ 	ཡིན 	།_།_ 	-ས་ཡི་དཀྱིལ་ན 	ཡོད་པ 	-འི་ཆུ 	།_། 	bstod tshogs ka_.txt	ཁམས་དེ  ཉམས་པ  -ར  བྱེད  མ  ཡིན  །_།_  -ས་ཡི་དཀྱིལ་ན  ཡོད་པ  -འི་ཆུ  །_། 
 ཡིན  །_། 						ཡིན 	།_། 	བུད 	མེད 	མ་ཡིན 	སྐྱེས་པ 	bstod tshogs ka_.txt	     ཡིན  །_།  བུད  མེད  མ་ཡིན  སྐྱེས་པ 
 ཡིན  །_། 						ཡིན 	།_། 	འདོད 	ཆགས་ཀྱིས 	ལྡོངས 	གདུལ་བྱ 	bstod tshogs ka_.txt	     ཡིན  །_།  འདོད  ཆགས་ཀྱིས  ལྡོངས  གདུལ་བྱ 
 ཡིན  །_། 						ཡིན 	།_། 	ཇི 	ལྟར 	སྦྲུམ་མ 	-འི 	bstod tshogs ka_.txt	     ཡིན  །_།  ཇི  ལྟར  སྦྲུམ་མ  -འི 
