ཐུན་མོང  མ ་ཡིན་པ་ལ 	སྐུ་ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ	་ཡིན་པ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	bstod tshogs ka_.txt	སྐུ་ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ ་ཡིན་པ་ལ  བསྟོད་པ  །_༄༅༅།_།  ཆོས་ཀྱི  སྐུ་ལ 
 མ ་ཡིན་པ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 		མ	་ཡིན་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	bstod tshogs ka_.txt	གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང   མ ་ཡིན་པ  ལ  བསྟོད་པ  །_  དེ 
 མ ས་ཅད་ལ 						མ	ས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	bstod tshogs ka_.txt	     མ ས་ཅད་ལ  ཕྱག  འཚལ་ལོ  །_།  སེམས 
 མ ས་ལ 						མ	ས་ལ 	ཐུགས 	བརྩེ་བ 	།_། 	ཕྲད་དང 	bstod tshogs ka_.txt	     མ ས་ལ  ཐུགས  བརྩེ་བ  །_།  ཕྲད་དང 
 མ ི 	བྲལ་བ 	-ར 	དགོངས་པ་ཅན 	།_། 		མ	ི 	འབྲལ 	དགོངས་ཤིང 	བདེ་བ་ཅན 	།_། 	bstod tshogs ka_.txt	བྲལ་བ  -ར  དགོངས་པ་ཅན  །_།   མ ི  འབྲལ  དགོངས་ཤིང  བདེ་བ་ཅན  །_། 
ཁྱོད་ཀྱི  མ ཁྱེན་པ 	འཇིག་རྟེན 	ཀུན 	ཟིལ་མནན 	།_། 	ཁྱོད་ཀྱི 	མ	ཁྱེན་པ 	-ས 	ཤེས་བྱ་ཁྱབ 	།_། 	སེམས 	bstod tshogs ka_.txt	འཇིག་རྟེན  ཀུན  ཟིལ་མནན  །_།  ཁྱོད་ཀྱི  མ ཁྱེན་པ  -ས  ཤེས་བྱ་ཁྱབ  །_།  སེམས 
།_།  མ  ལུས་པ 	སེམས 	ཅན 	ཀུན་གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལུས་པ 	དག 	འདུལ 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	སེམས  ཅན  ཀུན་གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལུས་པ  དག  འདུལ  མཛད་པ  །_། 
 མ ོངས 						མ	ོངས 	སེལ་བ 	ཉོན་མོངས་པ 	།_། 	བརྩེར 	bstod tshogs ka_.txt	     མ ོངས  སེལ་བ  ཉོན་མོངས་པ  །_།  བརྩེར 
ཆགས  མ ི་མངའ 	འཚལ་ལོ 	།_། 	ལྷུན་གྱིས 	གྲུབ་ཅིང 	ཆགས 	མ	ི་མངའ 	།_། 	ཐོགས་པ 	མི 	མངའ 	bstod tshogs ka_.txt	འཚལ་ལོ  །_།  ལྷུན་གྱིས  གྲུབ་ཅིང  ཆགས  མ ི་མངའ  །_།  ཐོགས་པ  མི  མངའ 
 མ ཉམ 	རྟག་ཏུ་ཡང 	།_། 				མ	ཉམ 	པར 	གཞག་ཅིང 	འདྲི 	ཀུན་གྱི 	bstod tshogs ka_.txt	རྟག་ཏུ་ཡང  །_།     མ ཉམ  པར  གཞག་ཅིང  འདྲི  ཀུན་གྱི 
བློ་གྲོས  མ ི 	ཤེས་པ 	སྟོན་པ་ལ 	།_། 	རྟག་ཏུ 	བློ་གྲོས 	མ	ི 	ཐོགས་པ 	།_། 	སྟོན 	མཆོག 	bstod tshogs ka_.txt	ཤེས་པ  སྟོན་པ་ལ  །_།  རྟག་ཏུ  བློ་གྲོས  མ ི  ཐོགས་པ  །_།  སྟོན  མཆོག 
སྤྱོད  མ ཁྱེན 	ཞུ་དང 	དེ་དག་གི 	།_། 	ཚིག་དང 	སྤྱོད 	མ	ཁྱེན 	འོངས་པ་དང 	།_། 	འགྲོ་དང 	ངེས་འབྱུང 	bstod tshogs ka_.txt	ཞུ་དང  དེ་དག་གི  །_།  ཚིག་དང  སྤྱོད  མ ཁྱེན  འོངས་པ་དང  །_།  འགྲོ་དང  ངེས་འབྱུང 
 མ ས་ཅན་ལ 						མ	ས་ཅན་ལ 	།_། 	ལེགས 	འདོམས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     མ ས་ཅན་ལ  །_།  ལེགས  འདོམས  ཁྱོད་ལ 
ཁྱོད  མ ཐོང་ན 	།_། 	ལུས 	ཅན 	ཀུན་གྱིས 	ཁྱོད 	མ	ཐོང་ན 	།_། 	སྐྱེས 	བུ 	མཆོག་ཏུ 	bstod tshogs ka_.txt	།_།  ལུས  ཅན  ཀུན་གྱིས  ཁྱོད  མ ཐོང་ན  །_།  སྐྱེས  བུ  མཆོག་ཏུ 
 མ ཐོང་བ 	རྟོགས་པ 	-ར་འགྱུར 	།_། 			མ	ཐོང་བ 	ཙམ་གྱིས 	དད 	འགྱུར་བར 	།_། 	bstod tshogs ka_.txt	རྟོགས་པ  -ར་འགྱུར  །_།    མ ཐོང་བ  ཙམ་གྱིས  དད  འགྱུར་བར  །_། 
 མ ཛད་པ 						མ	ཛད་པ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     མ ཛད་པ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
།_།  མ ངའ 	།_། 	ཏིང་ངེ 	འཛིན་དང 	ཡེ་ཤེས་ལ 	།_། 	མ	ངའ 	བརྙེས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	།_།  ཏིང་ངེ  འཛིན་དང  ཡེ་ཤེས་ལ  །_།  མ ངའ  བརྙེས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 མ ས 						མ	ས 	ཅན 	རྣམས་ལ 	སླུ་བ་ཡི 	།_། 	bstod tshogs ka_.txt	     མ ས  ཅན  རྣམས་ལ  སླུ་བ་ཡི  །_། 
 མ ས 						མ	ས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     མ ས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
སྟོན  མ ཛད་པ 	ངེས 	འབྱུང 	བགེགས 	བྱེད 	སྟོན 	མ	ཛད་པ 	།_། 	བདག 	གཞན་དོན་ལ 	མུ་སྟེགས་གཞན 	bstod tshogs ka_.txt	ངེས  འབྱུང  བགེགས  བྱེད  སྟོན  མ ཛད་པ  །_།  བདག  གཞན་དོན་ལ  མུ་སྟེགས་གཞན 
།_།  མ ི 					།_། 	མ	ི 	ཚུགས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	    །_།  མ ི  ཚུགས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
གསུང  མ ཛད་པ 	།_། 	འཁོར་དུ 	ཚར 	བཅད 	གསུང 	མ	ཛད་པ 	།_། 	ཀུན་ནས 	ཉོན་མོངས 	གཏན 	bstod tshogs ka_.txt	།_།  འཁོར་དུ  ཚར  བཅད  གསུང  མ ཛད་པ  །_།  ཀུན་ནས  ཉོན་མོངས  གཏན 
 མ ངའ 	སྤངས་ལ 	།_། 	བསྲུང་བ 	མི 		མ	ངའ 	བསྙེལ 	མི་མངའ 	།_། 	ཚོགས 	bstod tshogs ka_.txt	སྤངས་ལ  །_།  བསྲུང་བ  མི   མ ངའ  བསྙེལ  མི་མངའ  །_།  ཚོགས 
ཀུན  མ ཁྱེན 	ཀུན་དུ 	རྟག་པ 	-ར་ཡང 	།_། 	ཀུན 	མ	ཁྱེན 	མ 	ལགས 	སྤྱོད 	མི་མངའ 	bstod tshogs ka_.txt	ཀུན་དུ  རྟག་པ  -ར་ཡང  །_།  ཀུན  མ ཁྱེན  མ  ལགས  སྤྱོད  མི་མངའ 
