 ལས  ངེས་པ 						ལས 	ངེས་པ 	-ར་གྲོལ 	།_། 	ཐུབ་པ 	-ས 	bstod tshogs ka_.txt	     ལས  ངེས་པ  -ར་གྲོལ  །_།  ཐུབ་པ  -ས 
 ལས  ཡོང 						ལས 	ཡོང 	མི་འདའ 	།_། 	རྟག་ཏུ 	འབྲས་བུ 	bstod tshogs ka_.txt	     ལས  ཡོང  མི་འདའ  །_།  རྟག་ཏུ  འབྲས་བུ 
 ལས ་ཀྱིས 						ལས	་ཀྱིས 	།_། 	ཉན 	ཐོས་དང་ནི 	རང 	bstod tshogs ka_.txt	     ལས ་ཀྱིས  །_།  ཉན  ཐོས་དང་ནི  རང 
 ལས  །_། 						ལས 	།_། 	དག་པ 	དེ་ཉིད 	མྱ་ངན་འདས 	།_། 	bstod tshogs ka_.txt	     ལས  །_།  དག་པ  དེ་ཉིད  མྱ་ངན་འདས  །_། 
 ལས  གྲོལ་ན 						ལས 	གྲོལ་ན 	།_། 	འབྲས 	ཉིད 	སྣང་བ 	bstod tshogs ka_.txt	     ལས  གྲོལ་ན  །_།  འབྲས  ཉིད  སྣང་བ 
 ལས  གྲོལ་ན 						ལས 	གྲོལ་ན 	།_། 	ཆོས་ཀྱི 	སྐུ 	ཉིད 	bstod tshogs ka_.txt	     ལས  གྲོལ་ན  །_།  ཆོས་ཀྱི  སྐུ  ཉིད 
 ལས  །_། 						ལས 	།_། 	ཉོན་མོངས 	གཟེབ་དང 	བྲལ 	གྱུར་ན 	bstod tshogs ka_.txt	     ལས  །_།  ཉོན་མོངས  གཟེབ་དང  བྲལ  གྱུར་ན 
 ལས  །_། 						ལས 	།_། 	རྒྱུ་དང 	འདྲ་བ 	-འི 	འབྲས་བུ་འབྱུང 	bstod tshogs ka_.txt	     ལས  །_།  རྒྱུ་དང  འདྲ་བ  -འི  འབྲས་བུ་འབྱུང 
 ལས  །_། 						ལས 	།_། 	སངས 	རྒྱས 	གོ་འཕང 	ཐོབ་པ 	bstod tshogs ka_.txt	     ལས  །_།  སངས  རྒྱས  གོ་འཕང  ཐོབ་པ 
 ལས  རྣམ་གྲོལ་བ 						ལས 	རྣམ་གྲོལ་བ 	།_། 	ཇི 	ལྟར 	བདག་ཅེས 	bstod tshogs ka_.txt	     ལས  རྣམ་གྲོལ་བ  །_།  ཇི  ལྟར  བདག་ཅེས 
 ལས  གྱུར་པ 						ལས 	གྱུར་པ 	-ས་སོ 	།_། 	སངས 	རྒྱས 	bstod tshogs ka_.txt	     ལས  གྱུར་པ  -ས་སོ  །_།  སངས  རྒྱས 
 ལས  །_། 						ལས 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ནི 	རབ་ཏུ་ཤེས 	།_། 	bstod tshogs ka_.txt	     ལས  །_།  ཆོས་ཀྱི  དབྱིངས་ནི  རབ་ཏུ་ཤེས  །_། 
 ལས ་ནི 						ལས	་ནི 	གྲོལ 	གྱུར་པ 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     ལས ་ནི  གྲོལ  གྱུར་པ  །_།  ཆོས་ཀྱི 
 ལས  འཁོར་བ་སྟེ 						ལས 	འཁོར་བ་སྟེ 	།_། 	སོ་སོ 	-ར 	རིག་ན 	bstod tshogs ka_.txt	     ལས  འཁོར་བ་སྟེ  །_།  སོ་སོ  -ར  རིག་ན 
 ལས  །_། 						ལས 	།_། 	ལུས 	འདི་ཉིད་ལ 	ཐམས་ཅད་དེ 	།_། 	bstod tshogs ka_.txt	     ལས  །_།  ལུས  འདི་ཉིད་ལ  ཐམས་ཅད་དེ  །_། 
 ལས  གསུངས་པ་ལགས 						ལས 	གསུངས་པ་ལགས 	།_། 	སྟོབས 	བཅུ 	-འི 	bstod tshogs ka_.txt	     ལས  གསུངས་པ་ལགས  །_།  སྟོབས  བཅུ  -འི 
 ལས  །_། 						ལས 	།_། 	ངང་པ 	འོ་མ 	འཐུང་བྱེད་ཅིང 	_།_། 	bstod tshogs ka_.txt	     ལས  །_།  ངང་པ  འོ་མ  འཐུང་བྱེད་ཅིང  _།_། 
 ལས  །_། 						ལས 	།_། 	བུ་རམ 	ཁ་ར 	ཧྭགས 	རྣམས་ནི 	bstod tshogs ka_.txt	     ལས  །_།  བུ་རམ  ཁ་ར  ཧྭགས  རྣམས་ནི 
 ལས  འབྱུང་བ 						ལས 	འབྱུང་བ 	-ར 	འགྱུར་བ་ལྟར 	།_། 	བྱང 	bstod tshogs ka_.txt	     ལས  འབྱུང་བ  -ར  འགྱུར་བ་ལྟར  །_།  བྱང 
 ལས  །_། 						ལས 	།_། 	དགྲ 	བཅོམ 	རྐྱེན 	རྟོགས 	bstod tshogs ka_.txt	     ལས  །_།  དགྲ  བཅོམ  རྐྱེན  རྟོགས 
 ལས  སྐྱེ་ཞིང 						ལས 	སྐྱེ་ཞིང 	འབྱུང་བ 	-ར་འགྱུར 	།_། 	ཇི 	bstod tshogs ka_.txt	     ལས  སྐྱེ་ཞིང  འབྱུང་བ  -ར་འགྱུར  །_།  ཇི 
 ལས  །_། 						ལས 	།_། 	རྣམ 	པར 	རྒྱལ་བ 	-ས 	bstod tshogs ka_.txt	     ལས  །_།  རྣམ  པར  རྒྱལ་བ  -ས 
 ལས  །_། 						ལས 	།_། 	ཆོས་ཀྱི 	སྤྲིན་ནི 	ཀུན་དུ 	འབྱུང 	bstod tshogs ka_.txt	     ལས  །_།  ཆོས་ཀྱི  སྤྲིན་ནི  ཀུན་དུ  འབྱུང 
 ལས  གྲོལ 						ལས 	གྲོལ 	བསམ 	མི་ཁྱབ 	།_། 	འཁོར 	bstod tshogs ka_.txt	     ལས  གྲོལ  བསམ  མི་ཁྱབ  །_།  འཁོར 
 ལས ་འདས 						ལས	་འདས 	།_། 	དབང་པོ 	ཀུན་གྱི 	སྤྱོད་ཡུལ་མིན 	bstod tshogs ka_.txt	     ལས ་འདས  །_།  དབང་པོ  ཀུན་གྱི  སྤྱོད་ཡུལ་མིན 
 ལས  འདས 						ལས 	འདས 	གྱུར་ནས 	།_། 	པདྨ 	ཆེན་པོ 	bstod tshogs ka_.txt	     ལས  འདས  གྱུར་ནས  །_།  པདྨ  ཆེན་པོ 
 ལས  ཉམས 						ལས 	ཉམས 	མི་མངའ 	།_། 	ལེགས 	པར 	bstod tshogs ka_.txt	     ལས  ཉམས  མི་མངའ  །_།  ལེགས  པར 
 ལས  འོད་ཟེར་རྣམས 						ལས 	འོད་ཟེར་རྣམས 	།_། 	འབད་པ 	མེད་པ 	-ར 	bstod tshogs ka_.txt	     ལས  འོད་ཟེར་རྣམས  །_།  འབད་པ  མེད་པ  -ར 
 ལས  སེམས་ཅན 						ལས 	སེམས་ཅན 	དོན 	རབ་མཛད 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     ལས  སེམས་ཅན  དོན  རབ་མཛད  །_།  ཆོས་ཀྱི 
།_།  ལས ་ཀྱི 	སྤྱོད་པ 	-འང 	སྟོན་པ 	-ར་མཛད 	།_། 	ལས	་ཀྱི 	སྒྲིབ་པ 	-འི 	སྐྱོན 	རྣམས་ནི 	bstod tshogs ka_.txt	སྤྱོད་པ  -འང  སྟོན་པ  -ར་མཛད  །_།  ལས ་ཀྱི  སྒྲིབ་པ  -འི  སྐྱོན  རྣམས་ནི 
།_།  ལས  སྤངས་པ 	ཁྱོད་ཀྱིས 	སེམས་ཅན 	རྗེས 	གཟུང་ཕྱིར 	།_། 	ལས 	སྤངས་པ 	-ར་ཡང 	རབ་ཏུ་བསྟན 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	ཁྱོད་ཀྱིས  སེམས་ཅན  རྗེས  གཟུང་ཕྱིར  །_།  ལས  སྤངས་པ  -ར་ཡང  རབ་ཏུ་བསྟན  །_།  ཆོས་ཀྱི 
 ལས  བསོད་ནམས་གང 						ལས 	བསོད་ནམས་གང 	ཐོབ་པར 	།_། 	གྱུར་པ 	འདི་ནི 	bstod tshogs ka_.txt	     ལས  བསོད་ནམས་གང  ཐོབ་པར  །_།  གྱུར་པ  འདི་ནི 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	བསྟོད་པ 	།༄༅༅།_། 	རྒྱ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  བསྟོད་པ  །༄༅༅།_།  རྒྱ 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	བསྟོད་པ 	།_ 	འཇམ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  བསྟོད་པ  །_  འཇམ 
 ལས  གྲོལ་བ་ཡི 						ལས 	གྲོལ་བ་ཡི 	།_། 	སེམས 	ཅན 	མེད་པ 	bstod tshogs ka_.txt	     ལས  གྲོལ་བ་ཡི  །_།  སེམས  ཅན  མེད་པ 
 ལས ་ཀྱང 						ལས	་ཀྱང 	།_། 	ཐ 	སྙད་དུ་ནི 	ཁྱོད་ཀྱིས་བསྟན 	bstod tshogs ka_.txt	     ལས ་ཀྱང  །_།  ཐ  སྙད་དུ་ནི  ཁྱོད་ཀྱིས་བསྟན 
