ཅན  ར ྣམས་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	ཅན 	ར	ྣམས་ལ 	ཐུགས 	བརྩེ་བ 	།_། 	ཕྲད་དང 	bstod tshogs ka_.txt	ཕྱག  འཚལ་ལོ  །_།  སེམས  ཅན  ར ྣམས་ལ  ཐུགས  བརྩེ་བ  །_།  ཕྲད་དང 
 ར  དགོངས་པ་ཅན 						ར 	དགོངས་པ་ཅན 	།_། 	མི 	འབྲལ 	དགོངས་ཤིང 	bstod tshogs ka_.txt	     ར  དགོངས་པ་ཅན  །_།  མི  འབྲལ  དགོངས་ཤིང 
 ར ་གྲོལ 						ར	་གྲོལ 	།_། 	ཐུབ་པ 	-ས 	འཇིག་རྟེན 	bstod tshogs ka_.txt	     ར ་གྲོལ  །_།  ཐུབ་པ  -ས  འཇིག་རྟེན 
 ར ྩེར 						ར	ྩེར 	བཅས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     ར ྩེར  བཅས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
མངའ  ར ྟག་ཏུ་ཡང 	མི་མངའ 	།_། 	ཐོགས་པ 	མི 	མངའ 	ར	ྟག་ཏུ་ཡང 	།_། 	མཉམ 	པར 	གཞག་ཅིང 	bstod tshogs ka_.txt	མི་མངའ  །_།  ཐོགས་པ  མི  མངའ  ར ྟག་ཏུ་ཡང  །_།  མཉམ  པར  གཞག་ཅིང 
།_།  ར ྟག་ཏུ 	།_། 	ཚིག་དང 	ཤེས་པ 	སྟོན་པ་ལ 	།_། 	ར	ྟག་ཏུ 	བློ་གྲོས 	མི 	ཐོགས་པ 	།_། 	bstod tshogs ka_.txt	།_།  ཚིག་དང  ཤེས་པ  སྟོན་པ་ལ  །_།  ར ྟག་ཏུ  བློ་གྲོས  མི  ཐོགས་པ  །_། 
མཆོག་ཏུ  ར ྟོགས་པ 	མཐོང་ན 	།_། 	སྐྱེས 	བུ 	མཆོག་ཏུ 	ར	ྟོགས་པ 	-ར་འགྱུར 	།_། 	མཐོང་བ 	ཙམ་གྱིས 	bstod tshogs ka_.txt	མཐོང་ན  །_།  སྐྱེས  བུ  མཆོག་ཏུ  ར ྟོགས་པ  -ར་འགྱུར  །_།  མཐོང་བ  ཙམ་གྱིས 
 ར ་བར 						ར	་བར 	།_། 	མཛད་པ 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ར ་བར  །_།  མཛད་པ  ཁྱོད་ལ  ཕྱག 
 ར ་བ་དང 						ར	་བ་དང 	།_། 	ཏིང་ངེ 	འཛིན་དང 	ཡེ་ཤེས་ལ 	bstod tshogs ka_.txt	     ར ་བ་དང  །_།  ཏིང་ངེ  འཛིན་དང  ཡེ་ཤེས་ལ 
 ར ྙེས 						ར	ྙེས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     ར ྙེས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
