 _ ། 						_	། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	-འི 	bstod tshogs ka_.txt	     _ །  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ  -འི 
 _ ༄༅༅།_། 						_	༄༅༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	-འི 	bstod tshogs ka_.txt	     _ ༄༅༅།_།  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ  -འི 
 _  དེ 						_ 	དེ 	བཞིན 	གཤེགས་པ 	ཐམས་ཅད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _  དེ  བཞིན  གཤེགས་པ  ཐམས་ཅད་ལ  ཕྱག 
 _ ། 						_	། 	སེམས 	ཅན 	རྣམས་ལ 	ཐུགས 	bstod tshogs ka_.txt	     _ །  སེམས  ཅན  རྣམས་ལ  ཐུགས 
 _ ། 						_	། 	ཕྲད་དང 	བྲལ་བ 	-ར 	དགོངས་པ་ཅན 	bstod tshogs ka_.txt	     _ །  ཕྲད་དང  བྲལ་བ  -ར  དགོངས་པ་ཅན 
 _ ། 						_	། 	མི 	འབྲལ 	དགོངས་ཤིང 	བདེ་བ་ཅན 	bstod tshogs ka_.txt	     _ །  མི  འབྲལ  དགོངས་ཤིང  བདེ་བ་ཅན 
 _ ། 						_	། 	དགོངས་པ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _ །  དགོངས་པ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _ ། 						_	། 	སྒྲིབ་པ 	ཀུན་ལས 	ངེས་པ 	-ར་གྲོལ 	bstod tshogs ka_.txt	     _ །  སྒྲིབ་པ  ཀུན་ལས  ངེས་པ  -ར་གྲོལ 
 _ ། 						_	། 	ཐུབ་པ 	-ས 	འཇིག་རྟེན 	ཀུན 	bstod tshogs ka_.txt	     _ །  ཐུབ་པ  -ས  འཇིག་རྟེན  ཀུན 
 _ ། 						_	། 	ཁྱོད་ཀྱི 	མཁྱེན་པ 	-ས 	ཤེས་བྱ་ཁྱབ 	bstod tshogs ka_.txt	     _ །  ཁྱོད་ཀྱི  མཁྱེན་པ  -ས  ཤེས་བྱ་ཁྱབ 
 _ ། 						_	། 	སེམས 	གྲོལ 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  སེམས  གྲོལ  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	སེམས 	ཅན 	ཀུན་གྱི 	ཉོན་མོངས་ཀུན 	bstod tshogs ka_.txt	     _ །  སེམས  ཅན  ཀུན་གྱི  ཉོན་མོངས་ཀུན 
 _ ། 						_	། 	མ 	ལུས་པ 	དག 	འདུལ 	bstod tshogs ka_.txt	     _ །  མ  ལུས་པ  དག  འདུལ 
 _ ། 						_	། 	ཉོན་མོངས 	སེལ་བ 	ཉོན་མོངས་པ 	།_། 	bstod tshogs ka_.txt	     _ །  ཉོན་མོངས  སེལ་བ  ཉོན་མོངས་པ  །_། 
 _ ། 						_	། 	ལྷུན་གྱིས 	གྲུབ་ཅིང 	ཆགས 	མི་མངའ 	bstod tshogs ka_.txt	     _ །  ལྷུན་གྱིས  གྲུབ་ཅིང  ཆགས  མི་མངའ 
 _ ། 						_	། 	ཐོགས་པ 	མི 	མངའ 	རྟག་ཏུ་ཡང 	bstod tshogs ka_.txt	     _ །  ཐོགས་པ  མི  མངའ  རྟག་ཏུ་ཡང 
 _ ། 						_	། 	མཉམ 	པར 	གཞག་ཅིང 	འདྲི 	bstod tshogs ka_.txt	     _ །  མཉམ  པར  གཞག་ཅིང  འདྲི 
 _ ། 						_	། 	ལན་ལྡོན 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _ །  ལན་ལྡོན  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _ ། 						_	། 	གནས་དང 	གནས་པ 	བཤད 	བྱ་དང 	bstod tshogs ka_.txt	     _ །  གནས་དང  གནས་པ  བཤད  བྱ་དང 
 _ ། 						_	། 	ཚིག་དང 	ཤེས་པ 	སྟོན་པ་ལ 	།_། 	bstod tshogs ka_.txt	     _ །  ཚིག་དང  ཤེས་པ  སྟོན་པ་ལ  །_། 
 _ ། 						_	། 	སྟོན 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  སྟོན  མཆོག  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	ཆེད་དུ 	ཞུ་དང 	དེ་དག་གི 	།_། 	bstod tshogs ka_.txt	     _ །  ཆེད་དུ  ཞུ་དང  དེ་དག་གི  །_། 
 _ ། 						_	། 	འགྲོ་དང 	ངེས་འབྱུང 	སེམས་ཅན་ལ 	།_། 	bstod tshogs ka_.txt	     _ །  འགྲོ་དང  ངེས་འབྱུང  སེམས་ཅན་ལ  །_། 
 _ ། 						_	། 	ལུས 	ཅན 	ཀུན་གྱིས 	ཁྱོད 	bstod tshogs ka_.txt	     _ །  ལུས  ཅན  ཀུན་གྱིས  ཁྱོད 
 _ ། 						_	། 	སྐྱེས 	བུ 	མཆོག་ཏུ 	རྟོགས་པ 	bstod tshogs ka_.txt	     _ །  སྐྱེས  བུ  མཆོག་ཏུ  རྟོགས་པ 
 _ ། 						_	། 	མཐོང་བ 	ཙམ་གྱིས 	དད 	འགྱུར་བར 	bstod tshogs ka_.txt	     _ །  མཐོང་བ  ཙམ་གྱིས  དད  འགྱུར་བར 
 _ ། 						_	། 	མཛད་པ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     _ །  མཛད་པ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 _ ། 						_	། 	ལེན་དང 	གནས་དང 	གཏོང་བ་དང 	།_། 	bstod tshogs ka_.txt	     _ །  ལེན་དང  གནས་དང  གཏོང་བ་དང  །_། 
 _ ། 						_	། 	ཏིང་ངེ 	འཛིན་དང 	ཡེ་ཤེས་ལ 	།_། 	bstod tshogs ka_.txt	     _ །  ཏིང་ངེ  འཛིན་དང  ཡེ་ཤེས་ལ  །_། 
 _ ། 						_	། 	ཐབས་དང 	སྐྱབས་དང 	དག་པ་དང 	།_། 	bstod tshogs ka_.txt	     _ །  ཐབས་དང  སྐྱབས་དང  དག་པ་དང  །_། 
 _ ། 						_	། 	སེམས 	ཅན 	རྣམས་ལ 	སླུ་བ་ཡི 	bstod tshogs ka_.txt	     _ །  སེམས  ཅན  རྣམས་ལ  སླུ་བ་ཡི 
 _ ། 						_	། 	བདུད 	འཇོམས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  བདུད  འཇོམས  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	ཡེ 	ཤེས་དང་ནི 	སྤངས་པ་དང 	།_། 	bstod tshogs ka_.txt	     _ །  ཡེ  ཤེས་དང་ནི  སྤངས་པ་དང  །_། 
 _ ། 						_	། 	བདག 	གཞན་དོན་ལ 	མུ་སྟེགས་གཞན 	།_། 	bstod tshogs ka_.txt	     _ །  བདག  གཞན་དོན་ལ  མུ་སྟེགས་གཞན  །_། 
 _ ། 						_	། 	འཁོར་དུ 	ཚར 	བཅད 	གསུང 	bstod tshogs ka_.txt	     _ །  འཁོར་དུ  ཚར  བཅད  གསུང 
 _ ། 						_	། 	ཀུན་ནས 	ཉོན་མོངས 	གཏན 	སྤངས་ལ 	bstod tshogs ka_.txt	     _ །  ཀུན་ནས  ཉོན་མོངས  གཏན  སྤངས་ལ 
 _ ། 						_	། 	བསྲུང་བ 	མི 	མངའ 	བསྙེལ 	bstod tshogs ka_.txt	     _ །  བསྲུང་བ  མི  མངའ  བསྙེལ 
 _ ། 						_	། 	ཚོགས 	སྡུད 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  ཚོགས  སྡུད  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	གཤེགས 	བཞུགས 	ཀུན་དུ 	རྟག་པ 	bstod tshogs ka_.txt	     _ །  གཤེགས  བཞུགས  ཀུན་དུ  རྟག་པ 
 _ ། 						_	། 	ཀུན 	མཁྱེན 	མ 	ལགས 	bstod tshogs ka_.txt	     _ །  ཀུན  མཁྱེན  མ  ལགས 
 _ ། 						_	། 	ཁྱོད་ནི 	ཡང་དག 	དོན་དུ་ན 	།_། 	bstod tshogs ka_.txt	     _ །  ཁྱོད་ནི  ཡང་དག  དོན་དུ་ན  །_། 
 _ ། 						_	། 	སེམས 	ཅན 	ཀུན་གྱི 	དོན 	bstod tshogs ka_.txt	     _ །  སེམས  ཅན  ཀུན་གྱི  དོན 
 _ ། 						_	། 	ཁྱོན་ནི 	དུས་ལས 	ཡོང 	མི་འདའ 	bstod tshogs ka_.txt	     _ །  ཁྱོན་ནི  དུས་ལས  ཡོང  མི་འདའ 
 _ ། 						_	། 	རྟག་ཏུ 	འབྲས་བུ 	ཡོད 	མཛད་པ 	bstod tshogs ka_.txt	     _ །  རྟག་ཏུ  འབྲས་བུ  ཡོད  མཛད་པ 
 _ ། 						_	། 	མི 	བསྙེལ 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     _ །  མི  བསྙེལ  ཁྱོད་ལ  ཕྱག 
 _ ། 						_	། 	འཇིག 	རྟེན 	ཀུན་ལ 	གདུགས 	bstod tshogs ka_.txt	     _ །  འཇིག  རྟེན  ཀུན་ལ  གདུགས 
ཞག་གཅིག  _ ། 					ཞག་གཅིག 	_	། 	ལན་དྲུག་ཏུ་ནི 	གཟིགས 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	    ཞག་གཅིག  _ །  ལན་དྲུག་ཏུ་ནི  གཟིགས  མཛད་པ  །_། 
