 ནོ ད་སེམས 						ནོ	ད་སེམས 	ལེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	bstod tshogs ka_.txt	     ནོ ད་སེམས  ལེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	སྟོང་པ 	ཉིད་ནི 	སྟོན་པ 	-འི་མདོ 	bstod tshogs ka_.txt	     ནོ  །_།  སྟོང་པ  ཉིད་ནི  སྟོན་པ  -འི་མདོ 
ཚོགས  ནོ ར་བུ 	གནས 	གྱུར་ནས 	།_། 	སྣ 	ཚོགས 	ནོ	ར་བུ 	ཇི་བཞིན་དུ 	།_། 	དེ་ལས 	སེམས་ཅན 	bstod tshogs ka_.txt	གནས  གྱུར་ནས  །_།  སྣ  ཚོགས  ནོ ར་བུ  ཇི་བཞིན་དུ  །_།  དེ་ལས  སེམས་ཅན 
 ནོ  །_། 						ནོ 	།_། 	ཁོང 	སྟོང 	ཁྱོད་ཀྱི 	སྐུ་ལ་མེད 	bstod tshogs ka_.txt	     ནོ  །_།  ཁོང  སྟོང  ཁྱོད་ཀྱི  སྐུ་ལ་མེད 
 ནོ  །_། 						ནོ 	།_། 	མེད་པ 	མི 	གནས་པ 	-ར 	bstod tshogs ka_.txt	     ནོ  །_།  མེད་པ  མི  གནས་པ  -ར 
 ནོ  །_། 						ནོ 	།_། 	རེ་ཞིག 	ཞིག་པ 	-འི 	རྒྱུ་ལ 	bstod tshogs ka_.txt	     ནོ  །_།  རེ་ཞིག  ཞིག་པ  -འི  རྒྱུ་ལ 
སྤྱི་ཡིན  ནོ  །_། 	།_ 	འདི་ནི 	རེ་ཞིག 	དོན་གྱི 	སྤྱི་ཡིན 	ནོ 	།_། 	ད་ནི 	ཡན་ལག་གི 	དོན 	བརྗོད་པ 	bstod tshogs ka_.txt	།_  འདི་ནི  རེ་ཞིག  དོན་གྱི  སྤྱི་ཡིན  ནོ  །_།  ད་ནི  ཡན་ལག་གི  དོན  བརྗོད་པ 
 ནོ  །_། 						ནོ 	།_། 	གལ་ཏེ 	མ་རིག་པ 	-འི 	བག་ཆགས་དང 	bstod tshogs ka_.txt	     ནོ  །_།  གལ་ཏེ  མ་རིག་པ  -འི  བག་ཆགས་དང 
 ནོ  །_། 						ནོ 	།_། 	གཞན་ཡང 	དགེ་བ 	-འི 	བཤེས་གཉེན་དང 	bstod tshogs ka_.txt	     ནོ  །_།  གཞན་ཡང  དགེ་བ  -འི  བཤེས་གཉེན་དང 
 ནོ  །_། 						ནོ 	།_། 	དེ 	ཅི 	-འི 	ཕྱིར 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  ཅི  -འི  ཕྱིར 
 ནོ  །_། 						ནོ 	།_། 	དཔེ 	མེད་པ་ནི 	དཔེ་ལས 	འདས་པ 	bstod tshogs ka_.txt	     ནོ  །_།  དཔེ  མེད་པ་ནི  དཔེ་ལས  འདས་པ 
 ནོ  །_། 						ནོ 	།_། 	འདྲེན་པ 	མཉམ་པ 	མེད 	གྱུར་པ 	bstod tshogs ka_.txt	     ནོ  །_།  འདྲེན་པ  མཉམ་པ  མེད  གྱུར་པ 
 ནོ  །_། 						ནོ 	།_། 	དེ་ནི 	འདི་སྐད་དུ 	སྟོན་པ 	-ར 	bstod tshogs ka_.txt	     ནོ  །_།  དེ་ནི  འདི་སྐད་དུ  སྟོན་པ  -ར 
རྡོ་རྗེ  ནོ ར་བུ 	རབ 	ཆེན་པོ 	-འི 	སྟེང་དུ 	རྡོ་རྗེ 	ནོ	ར་བུ 	རིན་པོ་ཆེ 	-འི 	གཞལ་ཡས་ཁང་གི 	རྩེ་མོ 	bstod tshogs ka_.txt	རབ  ཆེན་པོ  -འི  སྟེང་དུ  རྡོ་རྗེ  ནོ ར་བུ  རིན་པོ་ཆེ  -འི  གཞལ་ཡས་ཁང་གི  རྩེ་མོ 
 ནོ ད་པ 						ནོ	ད་པ 	-ར 	སེམས་དེ་གང་གི་ཕྱིར 	།_། 	ང་ལ 	bstod tshogs ka_.txt	     ནོ ད་པ  -ར  སེམས་དེ་གང་གི་ཕྱིར  །_།  ང་ལ 
 ནོ ད་པ 						ནོ	ད་པ 	-འི 	བདག་ཉིད 	ཅན་ནམ 	གཞན་ལ 	bstod tshogs ka_.txt	     ནོ ད་པ  -འི  བདག་ཉིད  ཅན་ནམ  གཞན་ལ 
 ནོ ད་པ 						ནོ	ད་པ 	བྱས་ན 	ང་ལ 	གནོད 	བྱས་འགྱུར 	bstod tshogs ka_.txt	     ནོ ད་པ  བྱས་ན  ང་ལ  གནོད  བྱས་འགྱུར 
 ནོ ད་པ 						ནོ	ད་པ 	བྱས་པ 	ང་ལ 	ཤིན་ཏུ 	གནོད་པ 	bstod tshogs ka_.txt	     ནོ ད་པ  བྱས་པ  ང་ལ  ཤིན་ཏུ  གནོད་པ 
 ནོ ད་པ 						ནོ	ད་པ 	མཚུངས་པ 	མེད་ལས་གང་ལ 	བརྟེན་ནས 	ཕན 	bstod tshogs ka_.txt	     ནོ ད་པ  མཚུངས་པ  མེད་ལས་གང་ལ  བརྟེན་ནས  ཕན 
 ནོ ད་པ 						ནོ	ད་པ 	སྣ་ཚོགས་དང 	།_། 	ལྟ 	བ 	bstod tshogs ka_.txt	     ནོ ད་པ  སྣ་ཚོགས་དང  །_།  ལྟ  བ 
 ནོ ད 						ནོ	ད 	མི 	སེལ་ན 	།_། 	དེ 	bstod tshogs ka_.txt	     ནོ ད  མི  སེལ་ན  །_།  དེ 
བཞིན  ནོ ར་བུ 	-འི 	བུམ་པ་བཟང 	།_། 	ཡིད 	བཞིན 	ནོ	ར་བུ 	ལྟ་བུ 	གཟུགས་སྐུ་ཡི 	།_། 	ཞབས་གཉིས 	bstod tshogs ka_.txt	-འི  བུམ་པ་བཟང  །_།  ཡིད  བཞིན  ནོ ར་བུ  ལྟ་བུ  གཟུགས་སྐུ་ཡི  །_།  ཞབས་གཉིས 
 ནོ ད 						ནོ	ད 	བྱེད 	འདོད་ཆགས 	ཞེ་སྡང་དང 	།_། 	bstod tshogs ka_.txt	     ནོ ད  བྱེད  འདོད་ཆགས  ཞེ་སྡང་དང  །_། 
 ནོ ད་པ 						ནོ	ད་པ 	བསལ་བ 	-འི་ཕྱིར 	།_། 	གང་གི 	bstod tshogs ka_.txt	     ནོ ད་པ  བསལ་བ  -འི་ཕྱིར  །_།  གང་གི 
 ནོ ད 						ནོ	ད 	།_། 	དེ་ནི 	ཡོན་ཏན་གང 	གཞན་སྨད 	bstod tshogs ka_.txt	     ནོ ད  །_།  དེ་ནི  ཡོན་ཏན་གང  གཞན་སྨད 
 ནོ  །_། 						ནོ 	།_། 	ཐམས་ཅད 	མཁྱེན་ལ 	ཡོན་ཏན་ཀུན 	།_། 	bstod tshogs ka_.txt	     ནོ  །_།  ཐམས་ཅད  མཁྱེན་ལ  ཡོན་ཏན་ཀུན  །_། 
གྱ  ནོ མ་ཡང 	ལགས་པའི 	།_། 	བདེ་བ 	གང་དེ 	གྱ 	ནོ	མ་ཡང 	།_། 	དམ་པ 	-འི 	སྤྱོད 	bstod tshogs ka_.txt	ལགས་པའི  །_།  བདེ་བ  གང་དེ  གྱ  ནོ མ་ཡང  །_།  དམ་པ  -འི  སྤྱོད 
 ནོ ད 						ནོ	ད 	པར 	བས་ཀྱི 	སྨན 	མ་མཆིས 	bstod tshogs ka_.txt	     ནོ ད  པར  བས་ཀྱི  སྨན  མ་མཆིས 
 ནོ ད་པ 						ནོ	ད་པ 	མཛད 	མི་མངའ 	།_། 	དུལ་ལ 	bstod tshogs ka_.txt	     ནོ ད་པ  མཛད  མི་མངའ  །_།  དུལ་ལ 
།_།  ནོ ངས་པ 	ལྟར 	ཁྱོད་ལ 	གནོད 	མཛད་ཀྱང 	།_། 	ནོ	ངས་པ 	ཅན་དུ 	མི 	རྩི་བས 	།_། 	bstod tshogs ka_.txt	ལྟར  ཁྱོད་ལ  གནོད  མཛད་ཀྱང  །_།  ནོ ངས་པ  ཅན་དུ  མི  རྩི་བས  །_། 
 ནོ ད་པ 						ནོ	ད་པ 	བྱེད་པ་ལ 	།_། 	ཉེས 	ཀུན 	bstod tshogs ka_.txt	     ནོ ད་པ  བྱེད་པ་ལ  །_།  ཉེས  ཀུན 
།_།  ནོ ངས 	གཟིགས་པ 	-ས་ན 	མི 	སླུ་བ 	།_། 	ནོ	ངས 	མི 	མངའ 	ཕྱིར 	རྗེས་སུ་མཐུན 	bstod tshogs ka_.txt	གཟིགས་པ  -ས་ན  མི  སླུ་བ  །_།  ནོ ངས  མི  མངའ  ཕྱིར  རྗེས་སུ་མཐུན 
