།_།  རོ ་ཡི 	།_། 	ལྕེ་ཡི 	རང་བཞིན 	སྟོང་པ་ཉིད 	།_། 	རོ	་ཡི 	ཁམས་ཀྱང 	དབེན་པ་སྟེ 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	།_།  ལྕེ་ཡི  རང་བཞིན  སྟོང་པ་ཉིད  །_།  རོ ་ཡི  ཁམས་ཀྱང  དབེན་པ་སྟེ  །_།  ཆོས་ཀྱི 
ཕྱི  རོ ལ 	-འི 	ཚེ་ཡི 	རྒྱུ་གང་ཡིན 	།_། 	ཕྱི 	རོ	ལ 	སེམས་ཅན 	ཁམས་ཀྱི་ཡང 	_།_། 	དཔག་ཏུ 	bstod tshogs ka_.txt	-འི  ཚེ་ཡི  རྒྱུ་གང་ཡིན  །_།  ཕྱི  རོ ལ  སེམས་ཅན  ཁམས་ཀྱི་ཡང  _།_།  དཔག་ཏུ 
 རོ ལ་རྣམ 						རོ	ལ་རྣམ 	བརྟགས་པ 	།_། 	བདག 	མེད 	bstod tshogs ka_.txt	     རོ ལ་རྣམ  བརྟགས་པ  །_།  བདག  མེད 
བྱང  རོ ་གཅིག 	ཀུན་ནས 	ཉོན་མོངས་དང 	།_། 	རྣམ 	བྱང 	རོ	་གཅིག 	གྱུར 	རིག་པས 	།_། 	ཆོས 	bstod tshogs ka_.txt	ཀུན་ནས  ཉོན་མོངས་དང  །_།  རྣམ  བྱང  རོ ་གཅིག  གྱུར  རིག་པས  །_།  ཆོས 
ལྟར  རོ ་གཅིག 	དངོས་པོ 	མེད་པ 	མ་ཡིན 	མཁའ 	ལྟར 	རོ	་གཅིག 	རྟོགས་པ 	-ར 	དཀའ་བ 	-འི 	bstod tshogs ka_.txt	དངོས་པོ  མེད་པ  མ་ཡིན  མཁའ  ལྟར  རོ ་གཅིག  རྟོགས་པ  -ར  དཀའ་བ  -འི 
 རོ  །_། 						རོ 	།_། 	དེའི 	ཕྱིར 	འདི 	-ར་ཅི་ཞིག 	bstod tshogs ka_.txt	     རོ  །_།  དེའི  ཕྱིར  འདི  -ར་ཅི་ཞིག 
ལྟར  རོ ་གཅིག་པ་སྟེ 	།_། 	དེ 	ཉིད་ཀྱིས 	ནམ་མཁའ 	ལྟར 	རོ	་གཅིག་པ་སྟེ 	།_ 	ནམ 	མཁའ 	ལྟར་ཞེས 	bstod tshogs ka_.txt	།_།  དེ  ཉིད་ཀྱིས  ནམ་མཁའ  ལྟར  རོ ་གཅིག་པ་སྟེ  །_  ནམ  མཁའ  ལྟར་ཞེས 
 རོ ་གཅིག་ཅིང 	བྱ་བ་ནི 	ནམ་མཁའ་དང 	འདྲ་བ 	-ར 		རོ	་གཅིག་ཅིང 	མཉམ་པ 	-འི 	རང་བཞིན་དུ་གང 	གྱུར་པ་དེ་ནི 	bstod tshogs ka_.txt	བྱ་བ་ནི  ནམ་མཁའ་དང  འདྲ་བ  -ར   རོ ་གཅིག་ཅིང  མཉམ་པ  -འི  རང་བཞིན་དུ་གང  གྱུར་པ་དེ་ནི 
 རོ ་གཅིག་ཅེས་བྱའོ 	ནམ་མཁའ 	ལྟར 				རོ	་གཅིག་ཅེས་བྱའོ 	།_། 	དེ 	ཉིད་ཀྱིས་ན 	རྟོགས་པ 	bstod tshogs ka_.txt	ནམ་མཁའ  ལྟར     རོ ་གཅིག་ཅེས་བྱའོ  །_།  དེ  ཉིད་ཀྱིས་ན  རྟོགས་པ 
པ་ཕ  རོ ལ་ཏུ 	འབྲས་བུ་ཞེས 	བྱ་བ་ནི 	སྦྱིན་པ་ལ 	སོགས 	པ་ཕ 	རོ	ལ་ཏུ 	ཕྱིན་པ 	རྣམས 	ཡུན་རིང་པོ 	-ར 	bstod tshogs ka_.txt	འབྲས་བུ་ཞེས  བྱ་བ་ནི  སྦྱིན་པ་ལ  སོགས  པ་ཕ  རོ ལ་ཏུ  ཕྱིན་པ  རྣམས  ཡུན་རིང་པོ  -ར 
 རོ  །_། 						རོ 	།_། 	འཁོར་ནི 	བྱང་ཆུབ 	སེམས་དཔའ 	-འི 	bstod tshogs ka_.txt	     རོ  །_།  འཁོར་ནི  བྱང་ཆུབ  སེམས་དཔའ  -འི 
ནང་ན  རོ ལ་པ 	།_ 	བཙུན 	མོ 	-འི 	ནང་ན 	རོ	ལ་པ 	མཛད་པ 	-ར 	བསྟན་པ་དང 	།_ 	bstod tshogs ka_.txt	།_  བཙུན  མོ  -འི  ནང་ན  རོ ལ་པ  མཛད་པ  -ར  བསྟན་པ་དང  །_ 
 རོ  །_། 						རོ 	།_། 	ཡོན་ཏན་ཇི 	ལྟ་བུ་དང 	ལྡན 	ཞེ་ན 	bstod tshogs ka_.txt	     རོ  །_།  ཡོན་ཏན་ཇི  ལྟ་བུ་དང  ལྡན  ཞེ་ན 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ་དྲུག་དང 	ལྡན་པའོ 	།_། 	དེ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ་དྲུག་དང  ལྡན་པའོ  །_།  དེ 
 རོ  །_། 						རོ 	།_། 	སེམས 	ཅན 	ཕན་པ་ཆུང་ཡང 	དེ 	bstod tshogs ka_.txt	     རོ  །_།  སེམས  ཅན  ཕན་པ་ཆུང་ཡང  དེ 
 རོ ལ 						རོ	ལ 	ཕྱིན་པ་ཐོབ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན་པ་ཐོབ  །_།  སེམས  ཅན 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན 	མ 	-འི 	བསྟོད་པ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན  མ  -འི  བསྟོད་པ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན 	མ 	-འི 	བསྟོད་པ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན  མ  -འི  བསྟོད་པ 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན 	མ་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན  མ་ལ  ཕྱག  འཚལ་ལོ 
 རོ ལ་ཕྱིན 						རོ	ལ་ཕྱིན 	།_། 	རྣམ 	པར 	མི་རྟོག 	bstod tshogs ka_.txt	     རོ ལ་ཕྱིན  །_།  རྣམ  པར  མི་རྟོག 
ཕ  རོ ལ 	ཅན 	ཀུན་གྱི 	ཕྱི་མོ་ལགས 	།_། 	ཕ 	རོ	ལ 	ཕྱིན་པ 	དྲི་མེད་པ 	།_། 	ཀུན་གྱིས 	bstod tshogs ka_.txt	ཅན  ཀུན་གྱི  ཕྱི་མོ་ལགས  །_།  ཕ  རོ ལ  ཕྱིན་པ  དྲི་མེད་པ  །_།  ཀུན་གྱིས 
 རོ ལ 						རོ	ལ 	ཕྱིན 	བསྟོད་ལས 	།_། 	བདག་གིས 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན  བསྟོད་ལས  །_།  བདག་གིས 
 རོ ལ 						རོ	ལ 	ཕྱིན 	གཞོལ་ཤོག 	_། 	ཤེས 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན  གཞོལ་ཤོག  _།  ཤེས 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན 	མ 	-འི 	བསྟོད་པ 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན  མ  -འི  བསྟོད་པ 
ཕ  རོ ལ 	དག 	ལྟོས་པ 	ཅན་དུ་གྲུབ 	།_། 	ཕ 	རོ	ལ 	ཚུ་རོལ 	བཞིན་དུ་གསུངས 	།_། 	གང 	bstod tshogs ka_.txt	དག  ལྟོས་པ  ཅན་དུ་གྲུབ  །_།  ཕ  རོ ལ  ཚུ་རོལ  བཞིན་དུ་གསུངས  །_།  གང 
 རོ  -འི་སྒྲ 						རོ 	-འི་སྒྲ 	།_། 	རྨད 	བྱུང་དེ་ནི 	ཁྱོད་ཀྱིས་གསུངས 	bstod tshogs ka_.txt	     རོ  -འི་སྒྲ  །_།  རྨད  བྱུང་དེ་ནི  ཁྱོད་ཀྱིས་གསུངས 
