 གྱི  ཉོན་མོངས་ཀུན 						གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལུས་པ 	དག 	bstod tshogs ka_.txt	     གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལུས་པ  དག 
 གྱི ས 						གྱི	ས 	གྲུབ་ཅིང 	ཆགས 	མི་མངའ 	།_། 	bstod tshogs ka_.txt	     གྱི ས  གྲུབ་ཅིང  ཆགས  མི་མངའ  །_། 
 གྱི  །_། 						གྱི 	།_། 	ལན་ལྡོན 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     གྱི  །_།  ལན་ལྡོན  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 གྱི ས 						གྱི	ས 	ཁྱོད 	མཐོང་ན 	།_། 	སྐྱེས 	bstod tshogs ka_.txt	     གྱི ས  ཁྱོད  མཐོང་ན  །_།  སྐྱེས 
 གྱི ས 						གྱི	ས 	དད 	འགྱུར་བར 	།_། 	མཛད་པ 	bstod tshogs ka_.txt	     གྱི ས  དད  འགྱུར་བར  །_།  མཛད་པ 
 གྱི  དོན 						གྱི 	དོན 	མཛད་པ 	།_། 	ཁྱོན་ནི 	དུས་ལས 	bstod tshogs ka_.txt	     གྱི  དོན  མཛད་པ  །_།  ཁྱོན་ནི  དུས་ལས 
 གྱི  མཁན་པོ 						གྱི 	མཁན་པོ 	ཛི་ན་མི་ཏྲ་དང 	།_ 	ཤཱི་ལེཎྡྲ་བོ་དྷི་དང 	།_ 	bstod tshogs ka_.txt	     གྱི  མཁན་པོ  ཛི་ན་མི་ཏྲ་དང  །_  ཤཱི་ལེཎྡྲ་བོ་དྷི་དང  །_ 
 གྱི  ལོ་ཙཱ་བ་བནྡེ 						གྱི 	ལོ་ཙཱ་བ་བནྡེ 	ཡེ་ཤེས 	སྡེ 	-ས 	བསྒྱུར་ཅིང 	bstod tshogs ka_.txt	     གྱི  ལོ་ཙཱ་བ་བནྡེ  ཡེ་ཤེས  སྡེ  -ས  བསྒྱུར་ཅིང 
 གྱི  སྙིང་པོ 						གྱི 	སྙིང་པོ 	མི 	སྣང་བ 	།_། 	དེ 	bstod tshogs ka_.txt	     གྱི  སྙིང་པོ  མི  སྣང་བ  །_།  དེ 
 གྱི  སྙིང་པོ 						གྱི 	སྙིང་པོ 	དྲི་མེད་འགྱུར 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     གྱི  སྙིང་པོ  དྲི་མེད་འགྱུར  །_།  དེ  བཞིན 
 གྱི  བདུད་རྩི 						གྱི 	བདུད་རྩི 	-ར་འགྱུར 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     གྱི  བདུད་རྩི  -ར་འགྱུར  །_།  དེ  བཞིན 
 གྱི  རྟེན་དུ་འདོད 						གྱི 	རྟེན་དུ་འདོད 	།_། 	རིམ་གྱིས 	སྦྱངས་པ 	-ར 	bstod tshogs ka_.txt	     གྱི  རྟེན་དུ་འདོད  །_།  རིམ་གྱིས  སྦྱངས་པ  -ར 
 གྱི ས 						གྱི	ས 	ཉོན་མོངས་ལྡོག 	_། 	ཁམས་དེ 	ཉམས་པ 	bstod tshogs ka_.txt	     གྱི ས  ཉོན་མོངས་ལྡོག  _།  ཁམས་དེ  ཉམས་པ 
 གྱི ས 						གྱི	ས 	།_། 	རྣམ 	རྟོག 	བཞི་པོ 	bstod tshogs ka_.txt	     གྱི ས  །_།  རྣམ  རྟོག  བཞི་པོ 
 གྱི  ངོ་བོ་ཡིས 						གྱི 	ངོ་བོ་ཡིས 	།_། 	གླང་གི 	རྭ་ཡང 	དམིགས 	bstod tshogs ka_.txt	     གྱི  ངོ་བོ་ཡིས  །_།  གླང་གི  རྭ་ཡང  དམིགས 
 གྱི  མཚན་ཉིད་དང 						གྱི 	མཚན་ཉིད་དང 	_།_། 	རྐྱེན 	དག་ལས་ནི 	གྲོལ 	bstod tshogs ka_.txt	     གྱི  མཚན་ཉིད་དང  _།_།  རྐྱེན  དག་ལས་ནི  གྲོལ 
 གྱི  སྐྱབས 						གྱི 	སྐྱབས 	ཉིད་དོ 	།_། 	ཤེས་དང 	མི 	bstod tshogs ka_.txt	     གྱི  སྐྱབས  ཉིད་དོ  །_།  ཤེས་དང  མི 
 གྱི  སེམས་ཅན་གྱིས 						གྱི 	སེམས་ཅན་གྱིས 	།_། 	དེ 	བཞིན 	གཤེགས་པ 	bstod tshogs ka_.txt	     གྱི  སེམས་ཅན་གྱིས  །_།  དེ  བཞིན  གཤེགས་པ 
 གྱི  -ར་མཆིས 						གྱི 	-ར་མཆིས 	།_། 	ཇི 	ལྟར 	དམུས་ལོང 	bstod tshogs ka_.txt	     གྱི  -ར་མཆིས  །_།  ཇི  ལྟར  དམུས་ལོང 
 གྱི ས 						གྱི	ས 	རིམ་གྱིས 	འཕེལ་བ 	-ར 	མཐོང 	bstod tshogs ka_.txt	     གྱི ས  རིམ་གྱིས  འཕེལ་བ  -ར  མཐོང 
 གྱི ས 						གྱི	ས 	གྲུབ 	གྱུར་པ 	།_། 	བདུད་ཀྱི 	bstod tshogs ka_.txt	     གྱི ས  གྲུབ  གྱུར་པ  །_།  བདུད་ཀྱི 
 གྱི ས 						གྱི	ས 	མི 	གཡོས་པའོ 	།_། 	སོ་སོ 	bstod tshogs ka_.txt	     གྱི ས  མི  གཡོས་པའོ  །_།  སོ་སོ 
 གྱི  སྤྱོད་ཡུལ་མིན 						གྱི 	སྤྱོད་ཡུལ་མིན 	།_། 	ཡིད་ཀྱི 	ཤེས་པ 	-ས 	bstod tshogs ka_.txt	     གྱི  སྤྱོད་ཡུལ་མིན  །_།  ཡིད་ཀྱི  ཤེས་པ  -ས 
 གྱི ས 						གྱི	ས 	འཇུག་པ 	-འི 	ལུགས 	ཉིད་ཀྱིས 	bstod tshogs ka_.txt	     གྱི ས  འཇུག་པ  -འི  ལུགས  ཉིད་ཀྱིས 
