 ནས ་པ 						ནས	་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ནས ་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
 ནས ་པ 						ནས	་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ 	bstod tshogs ka_.txt	     ནས ་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ 
 ནས ་དང 						ནས	་དང 	གནས་པ 	བཤད 	བྱ་དང 	།_། 	bstod tshogs ka_.txt	     ནས ་དང  གནས་པ  བཤད  བྱ་དང  །_། 
 ནས ་དང 						ནས	་དང 	གཏོང་བ་དང 	།_། 	སྤྲུལ་པ་དང་ནི 	བསྒྱུར་བ་དང 	bstod tshogs ka_.txt	     ནས ་དང  གཏོང་བ་དང  །_།  སྤྲུལ་པ་དང་ནི  བསྒྱུར་བ་དང 
 ནས  ཉོན་མོངས 						ནས 	ཉོན་མོངས 	གཏན 	སྤངས་ལ 	།_། 	བསྲུང་བ 	bstod tshogs ka_.txt	     ནས  ཉོན་མོངས  གཏན  སྤངས་ལ  །_།  བསྲུང་བ 
 ནས  ཡོན་ཏན 						ནས 	ཡོན་ཏན 	འདི་ལ 	བདག་གིས 	རབ 	བསྟོད་པས 	bstod tshogs ka_.txt	     ནས  ཡོན་ཏན  འདི་ལ  བདག་གིས  རབ  བསྟོད་པས 
 ནས ་པ 						ནས	་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ནས ་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
 ནས ་པའི 						ནས	་པའི 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ནས ་པའི  །_།  ཆོས་ཀྱི  དབྱིངས་ལ  ཕྱག 
 ནས  །_། 						ནས 	།_། 	ཅུང་ཞིག 	སྣང་བ 	-ར 	མི 	bstod tshogs ka_.txt	     ནས  །_།  ཅུང་ཞིག  སྣང་བ  -ར  མི 
 ནས  །_། 						ནས 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	མཐོང་ངོ 	bstod tshogs ka_.txt	     ནས  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི  མཐོང་ངོ 
 ནས  །_། 						ནས 	།_། 	བུམ་པ 	བུ་ག 	བཏོད 	གྱུར་པ 	bstod tshogs ka_.txt	     ནས  །_།  བུམ་པ  བུ་ག  བཏོད  གྱུར་པ 
 ནས  །_། 						ནས 	།_། 	འོད་ཀྱི 	རང་བཞིན 	འབྱུང་བ 	-ར་འགྱུར 	bstod tshogs ka_.txt	     ནས  །_།  འོད་ཀྱི  རང་བཞིན  འབྱུང་བ  -ར་འགྱུར 
 ནས  གྱུར་ན 						ནས 	གྱུར་ན 	།_། 	དེ་ཡི 	འོད་ནི 	གསལ 	bstod tshogs ka_.txt	     ནས  གྱུར་ན  །_།  དེ་ཡི  འོད་ནི  གསལ 
