དད  འགྱུར ་བར 	-ར་འགྱུར 	།_། 	མཐོང་བ 	ཙམ་གྱིས 	དད 	འགྱུར	་བར 	།_། 	མཛད་པ 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	-ར་འགྱུར  །_།  མཐོང་བ  ཙམ་གྱིས  དད  འགྱུར ་བར  །_།  མཛད་པ  ཁྱོད་ལ  ཕྱག 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་རྣམ 	སྦྱངས་པས 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེ  བཞིན  ཉོན་མོངས་རྣམ  སྦྱངས་པས 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཇི 	ལྟར 	མར་མེ་བུམ 	ནང་གནས 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཇི  ལྟར  མར་མེ་བུམ  ནང་གནས 
མི  འགྱུར ་བ 	།_། 	ཅུང་ཞིག 	སྣང་བ 	-ར 	མི 	འགྱུར	་བ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་བུམ 	bstod tshogs ka_.txt	།_།  ཅུང་ཞིག  སྣང་བ  -ར  མི  འགྱུར ་བ  །_།  དེ  བཞིན  ཉོན་མོངས་བུམ 
 འགྱུར  །_། 						འགྱུར 	།_། 	གང 	ཚེ 	ཏིང་འཛིན 	རྡོ་རྗེ་ཡིས 	bstod tshogs ka_.txt	     འགྱུར  །_།  གང  ཚེ  ཏིང་འཛིན  རྡོ་རྗེ་ཡིས 
-ར  འགྱུར ་བ་མེད 	མ་ཡིན 	།_། 	ནམ་ཡང 	འགག་པ 	-ར 	འགྱུར	་བ་མེད 	།_། 	དུས 	རྣམས 	ཀུན་དུ 	bstod tshogs ka_.txt	མ་ཡིན  །_།  ནམ་ཡང  འགག་པ  -ར  འགྱུར ་བ་མེད  །_།  དུས  རྣམས  ཀུན་དུ 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁམས 	ཡོད་ན 	ནི་ལ 	-ས 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁམས  ཡོད་ན  ནི་ལ  -ས 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁམས 	མེད་ན 	ནི་ལ 	-ས 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁམས  མེད་ན  ནི་ལ  -ས 
-ར  འགྱུར ་བ་ལྟར 	།_། 	འབྲས 	ཉིད 	སྣང་བ 	-ར 	འགྱུར	་བ་ལྟར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ལས 	bstod tshogs ka_.txt	།_།  འབྲས  ཉིད  སྣང་བ  -ར  འགྱུར ་བ་ལྟར  །_།  དེ  བཞིན  ཉོན་མོངས་ལས 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེ 	བཞིན 	ས་བོན 	ཐམས་ཅད་ལས 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེ  བཞིན  ས་བོན  ཐམས་ཅད་ལས 
 འགྱུར  །_། 						འགྱུར 	།_། 	དྲི 	མེད 	ཉི་མ 	ཟླ་བ་ཡང 	bstod tshogs ka_.txt	     འགྱུར  །_།  དྲི  མེད  ཉི་མ  ཟླ་བ་ཡང 
