-ར  བྱེད་པ ་ལྟར 	སྙིང་པོ་ཉིད 	།_། 	མངར་པོ 	ཟ་བ 	-ར 	བྱེད་པ	་ལྟར 	།_། 	སྙིང་པོ 	མེད་པ 	-འི 	bstod tshogs ka_.txt	སྙིང་པོ་ཉིད  །_།  མངར་པོ  ཟ་བ  -ར  བྱེད་པ ་ལྟར  །_།  སྙིང་པོ  མེད་པ  -འི 
 བྱེད་པ འི 						བྱེད་པ	འི 	།_། 	ཆོས་ནི 	རང་བཞིན 	མེད་པ་ཡིན 	bstod tshogs ka_.txt	     བྱེད་པ འི  །_།  ཆོས་ནི  རང་བཞིན  མེད་པ་ཡིན 
 བྱེད་པ  -འི 						བྱེད་པ 	-འི 	ཆོས་བཞིའོ 	།_། 	བྱང 	ཆུབ 	bstod tshogs ka_.txt	     བྱེད་པ  -འི  ཆོས་བཞིའོ  །_།  བྱང  ཆུབ 
-ར  བྱེད་པ ་ལྟར 	།_། 	ཞིང་པ 	-ས 	སྲུང་བ 	-ར 	བྱེད་པ	་ལྟར 	།_། 	དེ 	བཞིན 	ཐེག་མཆོག 	bstod tshogs ka_.txt	།_།  ཞིང་པ  -ས  སྲུང་བ  -ར  བྱེད་པ ་ལྟར  །_།  དེ  བཞིན  ཐེག་མཆོག 
བར  བྱེད་པ  -ས 	མེད་པ་ཡི 	མུན་པ་དག 	_། 	སེལ 	བར 	བྱེད་པ 	-ས 	འོད་བྱེད་པའོ 	།_། 	རྟག་ཏུ 	དག་པ 	bstod tshogs ka_.txt	མེད་པ་ཡི  མུན་པ་དག  _།  སེལ  བར  བྱེད་པ  -ས  འོད་བྱེད་པའོ  །_།  རྟག་ཏུ  དག་པ 
།_།  བྱེད་པ ོ 	།_། 	བདེན་པ 	གསུང་བ 	ཁྱོད་ཀྱིས་བསྟན 	།_། 	བྱེད་པ	ོ 	རང་དབང 	ཉིད་ལས་ཀྱང 	།_། 	ཐ 	bstod tshogs ka_.txt	།_།  བདེན་པ  གསུང་བ  ཁྱོད་ཀྱིས་བསྟན  །_།  བྱེད་པ ོ  རང་དབང  ཉིད་ལས་ཀྱང  །_།  ཐ 
།_།  བྱེད་པ ོ 	གྲུབ་པ 	-ར 	ཁྱོད་ནི 	བཞེད་པ་ལགས 	།_། 	བྱེད་པ	ོ 	ཡོད 	མིན 	སྤྱོད་པོ 	-འང་མེད 	bstod tshogs ka_.txt	གྲུབ་པ  -ར  ཁྱོད་ནི  བཞེད་པ་ལགས  །_།  བྱེད་པ ོ  ཡོད  མིན  སྤྱོད་པོ  -འང་མེད 
བྱ་བ་དང  བྱེད་པ  -འི 	-འི 	མཚན་ཉིད་དུ 	འབྲེལ་བའམ 	།_ 	བྱ་བ་དང 	བྱེད་པ 	-འི 	མཚན་ཉིད་དུ 	འབྲེལ་བ་ནི 	འབྲེལ་བའོ 	།_། 	bstod tshogs ka_.txt	-འི  མཚན་ཉིད་དུ  འབྲེལ་བའམ  །_  བྱ་བ་དང  བྱེད་པ  -འི  མཚན་ཉིད་དུ  འབྲེལ་བ་ནི  འབྲེལ་བའོ  །_། 
སྨོན་ལམ  བྱེད་པ  -ར 	སྐུ་གསུམ 	བསྟན་ནས 	།_ 	གཞན་ཡང 	སྨོན་ལམ 	བྱེད་པ 	-ར 	འདོད་པ 	-འི 	ཕྱིར 	སེམས་ཅན 	bstod tshogs ka_.txt	སྐུ་གསུམ  བསྟན་ནས  །_  གཞན་ཡང  སྨོན་ལམ  བྱེད་པ  -ར  འདོད་པ  -འི  ཕྱིར  སེམས་ཅན 
-ར  བྱེད་པ  མཆོད་པ 	འབྱུང་འགྱུར་ཏེ 	།_། 	གང་གིས་ཡིད་ནི 	མགུ་བ 	-ར 	བྱེད་པ 	མཆོད་པ 	ཡིན་པ 	-ས་སོ 	།_། 	གནོད་པ 	bstod tshogs ka_.txt	འབྱུང་འགྱུར་ཏེ  །_།  གང་གིས་ཡིད་ནི  མགུ་བ  -ར  བྱེད་པ  མཆོད་པ  ཡིན་པ  -ས་སོ  །_།  གནོད་པ 
དེ་བཞིན  བྱེད་པ ་པོ 	སྟོང་གཞན 	།_། 	ཁྱོད 	གསུང 	དེ་བཞིན 	བྱེད་པ	་པོ 	།_། 	བྱེད་པ་པོ་ཡང 	གཞན་གྱིས་བགྱིས 	།_། 	bstod tshogs ka_.txt	སྟོང་གཞན  །_།  ཁྱོད  གསུང  དེ་བཞིན  བྱེད་པ ་པོ  །_།  བྱེད་པ་པོ་ཡང  གཞན་གྱིས་བགྱིས  །_། 
།_།  བྱེད་པ ་པོ 	འགྱུར་བ་ལགས 	།_། 	ཡང་ན་དེ་ཡི 	བྱ་བ་བྱེད 	།_། 	བྱེད་པ	་པོ 	-ར་ནི 	ཐལ་བ 	-ར་འགྱུར 	།_། 	bstod tshogs ka_.txt	འགྱུར་བ་ལགས  །_།  ཡང་ན་དེ་ཡི  བྱ་བ་བྱེད  །_།  བྱེད་པ ་པོ  -ར་ནི  ཐལ་བ  -ར་འགྱུར  །_། 
འགོག  བྱེད་པ འི 	བསྟན་ནས 	།_། 	ལྟ་བ 	ཐམས་ཅད 	འགོག 	བྱེད་པ	འི 	།_། 	དམ་པ 	-འི 	ཆོས་ནི 	bstod tshogs ka_.txt	བསྟན་ནས  །_།  ལྟ་བ  ཐམས་ཅད  འགོག  བྱེད་པ འི  །_།  དམ་པ  -འི  ཆོས་ནི 
རྩོལ  བྱེད་པ  །_། 	སྡང 	བས 	གོལ 	པར 	རྩོལ 	བྱེད་པ 	།_། 	མང་པོ 	-འང 	གཞོལ་བ 	-ར 	bstod tshogs ka_.txt	སྡང  བས  གོལ  པར  རྩོལ  བྱེད་པ  །_།  མང་པོ  -འང  གཞོལ་བ  -ར 
-ར  བྱེད་པ  -ར་ནུས 	སྤྱོད་ལེགས་མང 	།_། 	གང་གི 	སྨྲ་བ 	-ར 	བྱེད་པ 	-ར་ནུས 	།_། 	སངས 	རྒྱས 	བཅོམ་ལྡན 	bstod tshogs ka_.txt	སྤྱོད་ལེགས་མང  །_།  གང་གི  སྨྲ་བ  -ར  བྱེད་པ  -ར་ནུས  །_།  སངས  རྒྱས  བཅོམ་ལྡན 
གནོད་པ  བྱེད་པ ་ལ 	མ་དང 	།_། 	སྡང 	བས 	གནོད་པ 	བྱེད་པ	་ལ 	།_། 	ཉེས 	ཀུན 	སྐྱུག་པ 	bstod tshogs ka_.txt	མ་དང  །_།  སྡང  བས  གནོད་པ  བྱེད་པ ་ལ  །_།  ཉེས  ཀུན  སྐྱུག་པ 
བདེ་བ་ཆུང  བྱེད་པ འི 	བགྱི་བ་ལ 	ཐུག་ན 	།_། 	ཉོན་མོངས 	བདེ་བ་ཆུང 	བྱེད་པ	འི 	།_། 	མི་ཡི 	བདག་པོ 	-འི 	bstod tshogs ka_.txt	བགྱི་བ་ལ  ཐུག་ན  །_།  ཉོན་མོངས  བདེ་བ་ཆུང  བྱེད་པ འི  །_།  མི་ཡི  བདག་པོ  -འི 
-ས་ནི  བྱེད་པ ་ན 	མཛད་པའི 	།_། 	ཆོས 	བསྟན་པ 	-ས་ནི 	བྱེད་པ	་ན 	།_། 	གང 	མཐའ 	-ར 	bstod tshogs ka_.txt	མཛད་པའི  །_།  ཆོས  བསྟན་པ  -ས་ནི  བྱེད་པ ་ན  །_།  གང  མཐའ  -ར 
རྗེས  བྱེད་པ འི 	ལེན་པ་དང 	།_། 	སྦྱིན་དང 	སློབ་པ 	རྗེས 	བྱེད་པ	འི 	།_། 	འཇིགས 	འཇོམས 	མཛད་པ་ཅི་ངོ་མཚར 	bstod tshogs ka_.txt	ལེན་པ་དང  །_།  སྦྱིན་དང  སློབ་པ  རྗེས  བྱེད་པ འི  །_།  འཇིགས  འཇོམས  མཛད་པ་ཅི་ངོ་མཚར 
བར  བྱེད་པ  -ས་ཀྱང 	།_། 	གླགས 	སྐབས 	ཚོལ 	བར 	བྱེད་པ 	-ས་ཀྱང 	།_། 	ཁྱོད་ཀྱི 	དྲུང་དུ 	ཉེར 	bstod tshogs ka_.txt	།_།  གླགས  སྐབས  ཚོལ  བར  བྱེད་པ  -ས་ཀྱང  །_།  ཁྱོད་ཀྱི  དྲུང་དུ  ཉེར 
 བྱེད་པ  །_། 						བྱེད་པ 	།_། 	སྐྱེ་བ 	གཞན་དུ 	མཛད་པ 	-འི་ཕྱིར 	bstod tshogs ka_.txt	     བྱེད་པ  །_།  སྐྱེ་བ  གཞན་དུ  མཛད་པ  -འི་ཕྱིར 
དོན  བྱེད་པ  -ར 	ལན 	མ་ལོན 	།_། 	རང 	དོན 	བྱེད་པ 	-ར 	བདག 	མཆོག་ཅིང 	།_། 	དེ 	bstod tshogs ka_.txt	ལན  མ་ལོན  །_།  རང  དོན  བྱེད་པ  -ར  བདག  མཆོག་ཅིང  །_།  དེ 
ཕན་ཚུན  བྱེད་པ ་པོ 	མགོན་པོ 	ཁྱོད་ཀྱིས་ནི 	།_། 	འདི་ནི 	ཕན་ཚུན 	བྱེད་པ	་པོ 	།_། 	མེད་པ 	སྐད་དུ 	ངེས་པ 	bstod tshogs ka_.txt	མགོན་པོ  ཁྱོད་ཀྱིས་ནི  །_།  འདི་ནི  ཕན་ཚུན  བྱེད་པ ་པོ  །_།  མེད་པ  སྐད་དུ  ངེས་པ 
-ར  བྱེད་པ ་ལ 	མི་བཟད་པ་ལ་གཟིགས 	།_། 	ཁྱོད་ལ 	སྡང་བ 	-ར 	བྱེད་པ	་ལ 	།_། 	སྨན 	མཛད་པ་ནི 	བསམ 	bstod tshogs ka_.txt	མི་བཟད་པ་ལ་གཟིགས  །_།  ཁྱོད་ལ  སྡང་བ  -ར  བྱེད་པ ་ལ  །_།  སྨན  མཛད་པ་ནི  བསམ 
