 གི  །_། 						གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	འོངས་པ་དང 	bstod tshogs ka_.txt	     གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན  འོངས་པ་དང 
 གི ས 						གི	ས 	བརྙེས 	གྱུར་པ 	།_། 	ཀུན་དུ 	bstod tshogs ka_.txt	     གི ས  བརྙེས  གྱུར་པ  །_།  ཀུན་དུ 
 གི ས 						གི	ས 	རབ 	བསྟོད་པས 	།_། 	ཡོན་ཏན་དྲུག 	bstod tshogs ka_.txt	     གི ས  རབ  བསྟོད་པས  །_།  ཡོན་ཏན་དྲུག 
 གི ས 						གི	ས 	སྒྲུབ་པ 	-ར 	ནུས 	།_།_ 	bstod tshogs ka_.txt	     གི ས  སྒྲུབ་པ  -ར  ནུས  །_།_ 
 གི  རྣམ་རྟོག་དང 						གི 	རྣམ་རྟོག་དང 	_།_། 	མིང་གི 	འདུ་ཤེས 	རྒྱུ་མཚན་གྱིས 	bstod tshogs ka_.txt	     གི  རྣམ་རྟོག་དང  _།_།  མིང་གི  འདུ་ཤེས  རྒྱུ་མཚན་གྱིས 
 གི  རྭ་ཡང 						གི 	རྭ་ཡང 	དམིགས 	མ་ཡིན 	།_། 	ཇི 	bstod tshogs ka_.txt	     གི  རྭ་ཡང  དམིགས  མ་ཡིན  །_།  ཇི 
བདག  གི  -ར་བརྟག 	-འང 	_།_། 	ཇི་ལྟར 	བདག་དང 	བདག 	གི 	-ར་བརྟག 	_། 	ཇི 	ལྟར 	སོ་ག 	bstod tshogs ka_.txt	-འང  _།_།  ཇི་ལྟར  བདག་དང  བདག  གི  -ར་བརྟག  _།  ཇི  ལྟར  སོ་ག 
 གི  རྣམ་པ 						གི 	རྣམ་པ 	-ར 	རྟོག་པ 	-ས་བཅིངས 	།_། 	bstod tshogs ka_.txt	     གི  རྣམ་པ  -ར  རྟོག་པ  -ས་བཅིངས  །_། 
 གི ས 						གི	ས 	བསྲུངས 	གྱུར་ཅིང 	_།_། 	སྲོག་ཆགས 	bstod tshogs ka_.txt	     གི ས  བསྲུངས  གྱུར་ཅིང  _།_།  སྲོག་ཆགས 
 གི  འབྲས་བུ 						གི 	འབྲས་བུ 	མི་ཟད་གང 	_།_། 	སྣང་བ 	མེད་པ 	bstod tshogs ka_.txt	     གི  འབྲས་བུ  མི་ཟད་གང  _།_།  སྣང་བ  མེད་པ 
 གི ས 						གི	ས 	།_། 	ཤེས 	རབ 	དོན་དུ 	bstod tshogs ka_.txt	     གི ས  །_།  ཤེས  རབ  དོན་དུ 
 གི ་ཞེས 						གི	་ཞེས 	འཛིན་པས 	།_། 	ཇི 	སྲིད 	bstod tshogs ka_.txt	     གི ་ཞེས  འཛིན་པས  །_།  ཇི  སྲིད 
 གི ས 						གི	ས 	ཁྱོད་ནི 	ཤེས་པ 	-ར་ནུས 	།_། 	bstod tshogs ka_.txt	     གི ས  ཁྱོད་ནི  ཤེས་པ  -ར་ནུས  །_། 
 གི  སྤྱོད་ཡུལ 						གི 	སྤྱོད་ཡུལ 	ཀུན་ལས་འདས 	།_། 	དབང་པོ 	ཀུན་གྱི 	bstod tshogs ka_.txt	     གི  སྤྱོད་ཡུལ  ཀུན་ལས་འདས  །_།  དབང་པོ  ཀུན་གྱི 
 གི  ཉི་མ་དེར 						གི 	ཉི་མ་དེར 	།_། 	དྲི 	མེད 	རིན་ཆེན 	bstod tshogs ka_.txt	     གི  ཉི་མ་དེར  །_།  དྲི  མེད  རིན་ཆེན 
 གི ས 						གི	ས 	འཇིག་རྟེན་ལ 	།_། 	སངས 	རྒྱས 	bstod tshogs ka_.txt	     གི ས  འཇིག་རྟེན་ལ  །_།  སངས  རྒྱས 
 གི ས 						གི	ས 	བརྒྱན་པ་ལས 	བསོད་ནམས་གང 	ཐོབ་པར 	།_། 	bstod tshogs ka_.txt	     གི ས  བརྒྱན་པ་ལས  བསོད་ནམས་གང  ཐོབ་པར  །_། 
 གི ས 						གི	ས 	གཟུང 	མིན་པས 	།_། 	དེ 	bstod tshogs ka_.txt	     གི ས  གཟུང  མིན་པས  །_།  དེ 
 གི  ཇི་ལྟར་ཡིན 						གི 	ཇི་ལྟར་ཡིན 	།_། 	གཟུགས 	ཉིད 	གཟུང་བ 	bstod tshogs ka_.txt	     གི  ཇི་ལྟར་ཡིན  །_།  གཟུགས  ཉིད  གཟུང་བ 
 གི  བདག་པོ 						གི 	བདག་པོ 	ཁྱོད་ཀྱིས་གསུང 	།_། 	ཤེས་པ 	མེད་པ 	bstod tshogs ka_.txt	     གི  བདག་པོ  ཁྱོད་ཀྱིས་གསུང  །_།  ཤེས་པ  མེད་པ 
 གི ས 						གི	ས 	བརྗོད་པ་རྣམ 	སྤངས་པར 	།_། 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     གི ས  བརྗོད་པ་རྣམ  སྤངས་པར  །_།  ཁྱོད་ཀྱི 
 གི ས 						གི	ས 	།_། 	རྒྱུ 	ལས་འབྲས 	བུ 	bstod tshogs ka_.txt	     གི ས  །_།  རྒྱུ  ལས་འབྲས  བུ 
 གི ས 						གི	ས 	བྱས་པ་དང 	།_། 	གཞན་གྱིས 	བྱས་དང་གཉིས 	bstod tshogs ka_.txt	     གི ས  བྱས་པ་དང  །_།  གཞན་གྱིས  བྱས་དང་གཉིས 
 གི ས 						གི	ས 	བསོད་ནམས་གང 	ཐོབ་པ 	།_། 	དེས་ནི 	bstod tshogs ka_.txt	     གི ས  བསོད་ནམས་གང  ཐོབ་པ  །_།  དེས་ནི 
 གི ས 						གི	ས 	སེམས་བྱུང 	དྲ་བ་ནི 	།_། 	སེམས 	bstod tshogs ka_.txt	     གི ས  སེམས་བྱུང  དྲ་བ་ནི  །_།  སེམས 
 གི ས 						གི	ས 	བརྗོད་པ 	-འི 	སྤྱོད་ཡུལ་མིན 	།_། 	bstod tshogs ka_.txt	     གི ས  བརྗོད་པ  -འི  སྤྱོད་ཡུལ་མིན  །_། 
 གི ས་བསྟོད 						གི	ས་བསྟོད 	།_། 	སྐྱེ་བ 	མེད་པ 	-འི 	bstod tshogs ka_.txt	     གི ས་བསྟོད  །_།  སྐྱེ་བ  མེད་པ  -འི 
 གི ས་བསྟོད 						གི	ས་བསྟོད 	།_། 	སྐྱེ་དང 	འཇིག་པ་རྣམ 	སྤངས་ཤིང 	bstod tshogs ka_.txt	     གི ས་བསྟོད  །_།  སྐྱེ་དང  འཇིག་པ་རྣམ  སྤངས་ཤིང 
 གི  འབྱོར་པ 						གི 	འབྱོར་པ 	འཇིག་རྟེན་ལས 	འདས 	བསམ་གྱིས 	མི 	bstod tshogs ka_.txt	     གི  འབྱོར་པ  འཇིག་རྟེན་ལས  འདས  བསམ་གྱིས  མི 
 གི ་ལམ་ལས 						གི	་ལམ་ལས 	རབ་ཏུ 	འདས་པ་ལ 	།_། 	བདག་གིས 	bstod tshogs ka_.txt	     གི ་ལམ་ལས  རབ་ཏུ  འདས་པ་ལ  །_།  བདག་གིས 
 གི  ཕྱིར 						གི 	ཕྱིར 	བརྗོད་པ་དང 	།_ 	དགོས་པ་དང 	།_ 	bstod tshogs ka_.txt	     གི  ཕྱིར  བརྗོད་པ་དང  །_  དགོས་པ་དང  །_ 
 གི  ངོ་བོ 						གི 	ངོ་བོ 	ཉིད 	བཤད་པ་ནི 	དགོས་པ་སྟེ 	།_ 	bstod tshogs ka_.txt	     གི  ངོ་བོ  ཉིད  བཤད་པ་ནི  དགོས་པ་སྟེ  །_ 
 གི  ངོ་བོ 						གི 	ངོ་བོ 	ཉིད 	བཤད་པ 	-འི 	ཕྱིར 	bstod tshogs ka_.txt	     གི  ངོ་བོ  ཉིད  བཤད་པ  -འི  ཕྱིར 
 གི  དོན 						གི 	དོན 	བརྗོད་པ 	-ར 	བྱ་སྟེ 	།_ 	bstod tshogs ka_.txt	     གི  དོན  བརྗོད་པ  -ར  བྱ་སྟེ  །_ 
 གི ས 						གི	ས 	སྣ་ཚོགས་པ 	-འི 	གཟུགས་སུ 	གྱུར་པ་དེ 	bstod tshogs ka_.txt	     གི ས  སྣ་ཚོགས་པ  -འི  གཟུགས་སུ  གྱུར་པ་དེ 
 གི  ཕྱིར 						གི 	ཕྱིར 	ཀུན་དུ 	རྟོག་པ 	མ་ལུས་པ་དང 	བྲལ་བ 	bstod tshogs ka_.txt	     གི  ཕྱིར  ཀུན་དུ  རྟོག་པ  མ་ལུས་པ་དང  བྲལ་བ 
 གི  ཕྱིར 						གི 	ཕྱིར 	ཆོས་ཀྱི 	དབྱིངས 	གཅིག་དང 	དུ་མ་དང 	bstod tshogs ka_.txt	     གི  ཕྱིར  ཆོས་ཀྱི  དབྱིངས  གཅིག་དང  དུ་མ་དང 
 གི  ངོ་བོ 						གི 	ངོ་བོ 	ཉིད་ལ 	མི 	འཕོ་བའོ 	།_། 	bstod tshogs ka_.txt	     གི  ངོ་བོ  ཉིད་ལ  མི  འཕོ་བའོ  །_། 
 གི ས 						གི	ས 	རིག་པ 	-ར 	གྱུར་པ་གཞོན 	ནུ་མ 	bstod tshogs ka_.txt	     གི ས  རིག་པ  -ར  གྱུར་པ་གཞོན  ནུ་མ 
 གི  འབྱོར་བ་ནི 						གི 	འབྱོར་བ་ནི 	ཁམས་གསུམ་པ 	ཐམས་ཅད་ཀྱི 	དབང་ཕྱུག 	ཆེན་པོ 	bstod tshogs ka_.txt	     གི  འབྱོར་བ་ནི  ཁམས་གསུམ་པ  ཐམས་ཅད་ཀྱི  དབང་ཕྱུག  ཆེན་པོ 
