 སུ ང 						སུ	ང 	མཛད་པ 	།_། 	ཀུན་ནས 	ཉོན་མོངས 	bstod tshogs ka_.txt	     སུ ང  མཛད་པ  །_།  ཀུན་ནས  ཉོན་མོངས 
 སུ  ཆུད་པ་དང 						སུ 	ཆུད་པ་དང 	།_། 	མཁྱེན་པ་དང་ནི 	ཕྲིན་ལས་ཀྱིས 	།_། 	bstod tshogs ka_.txt	     སུ  ཆུད་པ་དང  །_།  མཁྱེན་པ་དང་ནི  ཕྲིན་ལས་ཀྱིས  །_། 
 སུ མ 						སུ	མ 	དག་གིས 	བརྙེས 	གྱུར་པ 	།_། 	bstod tshogs ka_.txt	     སུ མ  དག་གིས  བརྙེས  གྱུར་པ  །_། 
 སུ མ་པོ་ནི 						སུ	མ་པོ་ནི 	ཡོངས་སུ 	རྫོགས་པ 	-ར་ནི 	།_། 	bstod tshogs ka_.txt	     སུ མ་པོ་ནི  ཡོངས་སུ  རྫོགས་པ  -ར་ནི  །_། 
 སུ  བསྟོད་པ 						སུ 	བསྟོད་པ 	།༄༅།_། 	རྒྱ 	གར 	སྐད་དུ 	bstod tshogs ka_.txt	     སུ  བསྟོད་པ  །༄༅།_།  རྒྱ  གར  སྐད་དུ 
 སུ  བསྟོད་པ 						སུ 	བསྟོད་པ 	།_ 	འཕགས་པ 	འཇམ་དཔལ་གཞོན 	ནུར 	bstod tshogs ka_.txt	     སུ  བསྟོད་པ  །_  འཕགས་པ  འཇམ་དཔལ་གཞོན  ནུར 
 སུ མ་དུ་རྣམ 						སུ	མ་དུ་རྣམ 	འཁོར་བ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     སུ མ་དུ་རྣམ  འཁོར་བ  །_།  སེམས  ཅན 
 སུ ངས་པ 						སུ	ངས་པ 	གང 	།_། 	དེ 	དག 	bstod tshogs ka_.txt	     སུ ངས་པ  གང  །_།  དེ  དག 
 སུ མ་པོ 						སུ	མ་པོ 	-ས 	སེམས 	སྦྱོང་བྱེད 	།_། 	bstod tshogs ka_.txt	     སུ མ་པོ  -ས  སེམས  སྦྱོང་བྱེད  །_། 
 སུ ་ཆུ 						སུ	་ཆུ 	།_། 	དྲོའོ་ཞེས་ནི 	རྗོད་པ 	-ར་བྱེད 	bstod tshogs ka_.txt	     སུ ་ཆུ  །_།  དྲོའོ་ཞེས་ནི  རྗོད་པ  -ར་བྱེད 
 སུ ་ནི 						སུ	་ནི 	།_། 	གྲང་ངོ་ཞེས་ནི 	བརྗོད་པ་ཡིན 	།_། 	bstod tshogs ka_.txt	     སུ ་ནི  །_།  གྲང་ངོ་ཞེས་ནི  བརྗོད་པ་ཡིན  །_། 
 སུ མ 						སུ	མ 	།_། 	མཚན 	ཉིད 	མེད་པ 	bstod tshogs ka_.txt	     སུ མ  །_།  མཚན  ཉིད  མེད་པ 
 སུ  མེད་པ 						སུ 	མེད་པ 	-འི་དཔེས 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     སུ  མེད་པ  -འི་དཔེས  །_།  དེ  བཞིན 
 སུ  བསྒོམ་པ 						སུ 	བསྒོམ་པ 	-ར་བྱ 	།_། 	མཐོང་དང 	ཐོས་དང 	bstod tshogs ka_.txt	     སུ  བསྒོམ་པ  -ར་བྱ  །_།  མཐོང་དང  ཐོས་དང 
 སུ  མཐོང 						སུ 	མཐོང 	_།_། 	ཇི་ལྟར 	འཇིག་རྟེན 	འཇིག་རྟེན་འདས 	bstod tshogs ka_.txt	     སུ  མཐོང  _།_།  ཇི་ལྟར  འཇིག་རྟེན  འཇིག་རྟེན་འདས 
 སུ ངས་པ་ལགས 						སུ	ངས་པ་ལགས 	།_། 	སྟོབས 	བཅུ 	-འི 	bstod tshogs ka_.txt	     སུ ངས་པ་ལགས  །_།  སྟོབས  བཅུ  -འི 
།_།  སུ མ 	།_། 	འོད་ཀྱིས 	གསལ་ཞིང 	དཔལ་ལྡན་པའི 	།_། 	སུ	མ 	ཅུ 	རྩ་གཉིས 	མཚན 	འབར 	bstod tshogs ka_.txt	།_།  འོད་ཀྱིས  གསལ་ཞིང  དཔལ་ལྡན་པའི  །_།  སུ མ  ཅུ  རྩ་གཉིས  མཚན  འབར 
 སུ མ་པོ 						སུ	མ་པོ 	གཅིག་ཉིད་དུ 	།_། 	འདྲེས 	པར 	bstod tshogs ka_.txt	     སུ མ་པོ  གཅིག་ཉིད་དུ  །_།  འདྲེས  པར 
 སུ མ་པོ 						སུ	མ་པོ 	འདི 	-ས་ནི 	ཁམས 	རྒྱས་འགྱུར 	bstod tshogs ka_.txt	     སུ མ་པོ  འདི  -ས་ནི  ཁམས  རྒྱས་འགྱུར 
ཕུན  སུ མ 	བྱང 	ཆུབ 	རྣམ་པ་གསུམ་པོ་དང 	_།_། 	ཕུན 	སུ	མ 	ཚོགས 	ཀུན 	བསྡུ་བ་དང 	_།_། 	bstod tshogs ka_.txt	བྱང  ཆུབ  རྣམ་པ་གསུམ་པོ་དང  _།_།  ཕུན  སུ མ  ཚོགས  ཀུན  བསྡུ་བ་དང  _།_། 
 སུ  གྱུར་པ་དེ 						སུ 	གྱུར་པ་དེ 	།_། 	ཆོས་ཀྱི 	སྐུ་ཞེས 	བརྗོད་པ་ཡིན 	bstod tshogs ka_.txt	     སུ  གྱུར་པ་དེ  །_།  ཆོས་ཀྱི  སྐུ་ཞེས  བརྗོད་པ་ཡིན 
 སུ ་བསྐོར 						སུ	་བསྐོར 	།_། 	སྟོབས 	བཅུ་པོ་ཡིས 	ཡོངས་སུ་གང 	bstod tshogs ka_.txt	     སུ ་བསྐོར  །_།  སྟོབས  བཅུ་པོ་ཡིས  ཡོངས་སུ་གང 
 སུ  བསྟོད་པ 						སུ 	བསྟོད་པ 	སློབ་དཔོན 	ཆེན་པོ 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	bstod tshogs ka_.txt	     སུ  བསྟོད་པ  སློབ་དཔོན  ཆེན་པོ  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ 
 སུ ངས་ལ 						སུ	ངས་ལ 	།_། 	གདུལ 	བྱ 	-འི 	bstod tshogs ka_.txt	     སུ ངས་ལ  །_།  གདུལ  བྱ  -འི 
 སུ  ཞུགས 						སུ 	ཞུགས 	གྱུར་ཀྱང 	།_། 	འགའ་རུ 	འབྱུང་བ 	bstod tshogs ka_.txt	     སུ  ཞུགས  གྱུར་ཀྱང  །_།  འགའ་རུ  འབྱུང་བ 
 སུ  སྤྱོད་ཡུལ 						སུ 	སྤྱོད་ཡུལ 	ཉིད་དུ་མཐོང 	།_། 	གཟུགས་སུ 	མཐོང་བ 	bstod tshogs ka_.txt	     སུ  སྤྱོད་ཡུལ  ཉིད་དུ་མཐོང  །_།  གཟུགས་སུ  མཐོང་བ 
 སུ མ 						སུ	མ 	བསྟན་པ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     སུ མ  བསྟན་པ  །_།  སེམས  ཅན 
 སུ  །_། 						སུ 	།_། 	འདས་དང 	བལྟམས་དང 	མངོན་བྱང་ཆུབ 	།_། 	bstod tshogs ka_.txt	     སུ  །_།  འདས་དང  བལྟམས་དང  མངོན་བྱང་ཆུབ  །_། 
 སུ ངས 						སུ	ངས 	།_། 	ཚོར 	བྱ 	མེད་པ 	bstod tshogs ka_.txt	     སུ ངས  །_།  ཚོར  བྱ  མེད་པ 
 སུ ང་བ 						སུ	ང་བ 	ཁྱོད་ཀྱིས་བསྟན 	།_། 	བྱེད་པོ 	རང་དབང 	bstod tshogs ka_.txt	     སུ ང་བ  ཁྱོད་ཀྱིས་བསྟན  །_།  བྱེད་པོ  རང་དབང 
 སུ ང 						སུ	ང 	།_། 	ཤེས་པ 	མེད་པ 	-ར 	bstod tshogs ka_.txt	     སུ ང  །_།  ཤེས་པ  མེད་པ  -ར 
 སུ ང 						སུ	ང 	།_། 	མཚན 	ཉིད 	མཚོན་བྱ 	bstod tshogs ka_.txt	     སུ ང  །_།  མཚན  ཉིད  མཚོན་བྱ 
 སུ ངས 						སུ	ངས 	།_། 	དེ 	ཕྱིར 	ཁྱོད་ཀྱིས 	bstod tshogs ka_.txt	     སུ ངས  །_།  དེ  ཕྱིར  ཁྱོད་ཀྱིས 
