 ཡིན་པ ་ལ 						ཡིན་པ	་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	bstod tshogs ka_.txt	     ཡིན་པ ་ལ  བསྟོད་པ  །_༄༅༅།_།  ཆོས་ཀྱི  སྐུ་ལ 
 ཡིན་པ  ལ 						ཡིན་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	བཞིན 	bstod tshogs ka_.txt	     ཡིན་པ  ལ  བསྟོད་པ  །_  དེ  བཞིན 
 ཡིན་པ ་ལ 						ཡིན་པ	་ལ 	བསྟོད་པ 	།_ 	སློབ་དཔོན 	ཐོགས་མེད་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན་པ ་ལ  བསྟོད་པ  །_  སློབ་དཔོན  ཐོགས་མེད་ཀྱིས 
 ཡིན་པ  །_། 						ཡིན་པ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་པའི 	bstod tshogs ka_.txt	     ཡིན་པ  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  གཡོགས་པའི 
དགོས་པ  ཡིན་པ  -ར 	-ར 	ཕྱིན་པ་ནི 	དགོས་པ 	-འི་ཡང 	དགོས་པ 	ཡིན་པ 	-ར 	ཤེས་པ 	-ར 	བྱ་སྟེ 	།_ 	bstod tshogs ka_.txt	-ར  ཕྱིན་པ་ནི  དགོས་པ  -འི་ཡང  དགོས་པ  ཡིན་པ  -ར  ཤེས་པ  -ར  བྱ་སྟེ  །_ 
 ཡིན་པ ་དེ་ལ 						ཡིན་པ	་དེ་ལ 	བདག 	ཕྱག 	འཚལ་ལོ་ཞེས 	བྱ་བ 	bstod tshogs ka_.txt	     ཡིན་པ ་དེ་ལ  བདག  ཕྱག  འཚལ་ལོ་ཞེས  བྱ་བ 
ལ་ཆེན་པོ་ཡང  ཡིན་པ  -ས་ན 	སྨོས་ཏེ 	།_ 	ཆོས་ཀྱི 	སྲིད་ཀྱང་ཡིན 	ལ་ཆེན་པོ་ཡང 	ཡིན་པ 	-ས་ན 	ཆོས་ཀྱི 	རྒྱལ་སྲིད 	ཆེན་པོ་སྟེ 	ཁམས་གསུམ་པ 	bstod tshogs ka_.txt	སྨོས་ཏེ  །_  ཆོས་ཀྱི  སྲིད་ཀྱང་ཡིན  ལ་ཆེན་པོ་ཡང  ཡིན་པ  -ས་ན  ཆོས་ཀྱི  རྒྱལ་སྲིད  ཆེན་པོ་སྟེ  ཁམས་གསུམ་པ 
 ཡིན་པ ་དེ་ལ 						ཡིན་པ	་དེ་ལ 	དེ་སྐད་ཅེས་བྱའོ 	།_། 	དེ 	ལྟར 	bstod tshogs ka_.txt	     ཡིན་པ ་དེ་ལ  དེ་སྐད་ཅེས་བྱའོ  །_།  དེ  ལྟར 
 ཡིན་པ ་དེ་ལ 						ཡིན་པ	་དེ་ལ 	ཕྱག 	འཚལ་ལོ་ཞེས 	སློབ་དཔོན 	ཀླུ་སྒྲུབ་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན་པ ་དེ་ལ  ཕྱག  འཚལ་ལོ་ཞེས  སློབ་དཔོན  ཀླུ་སྒྲུབ་ཀྱིས 
དོན  ཡིན་པ  -ས་ན 	རབ་ཏུ 	སྒྲུབ 	ཅེས་བྱ་བ 	-འི 	དོན 	ཡིན་པ 	-ས་ན 	།_ 	འགྲོ 	བ 	-འི 	bstod tshogs ka_.txt	རབ་ཏུ  སྒྲུབ  ཅེས་བྱ་བ  -འི  དོན  ཡིན་པ  -ས་ན  །_  འགྲོ  བ  -འི 
