བདག  སོ གས 	ཡོངས་སུ 	རྫོགས་པ 	-ར་ནི 	།_། 	བདག 	སོ	གས 	འགྲོ་བ 	རྣམས་ཀྱིས་མྱུར་དུ 	རྟོགས་པ 	-ར་ཤོག 	bstod tshogs ka_.txt	ཡོངས་སུ  རྫོགས་པ  -ར་ནི  །_།  བདག  སོ གས  འགྲོ་བ  རྣམས་ཀྱིས་མྱུར་དུ  རྟོགས་པ  -ར་ཤོག 
 སོ  །།_།།_ 						སོ 	།།_།།_ 	རྒྱ 	གར་གྱི 	མཁན་པོ 	ཛི་ན་མི་ཏྲ་དང 	bstod tshogs ka_.txt	     སོ  །།_།།_  རྒྱ  གར་གྱི  མཁན་པོ  ཛི་ན་མི་ཏྲ་དང 
།_།  སོ ་བ 	སྦུན་པ 	-ས 	གཡོགས 	གྱུར་པས 	།_། 	སོ	་བ 	འབྲས་བུ 	-ར 	མི 	འདོད་ལྟར 	bstod tshogs ka_.txt	སྦུན་པ  -ས  གཡོགས  གྱུར་པས  །_།  སོ ་བ  འབྲས་བུ  -ར  མི  འདོད་ལྟར 
 སོ གས 						སོ	གས 	།_། 	སྒྲིབ་པ 	ལྔ་ཡིས 	བསྒྲིབས་པ 	bstod tshogs ka_.txt	     སོ གས  །_།  སྒྲིབ་པ  ལྔ་ཡིས  བསྒྲིབས་པ 
ཆགས་ལ  སོ གས 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	འདོད 	ཆགས་ལ 	སོ	གས 	དྲི་མ་ཅན 	།_། 	ཡེ 	ཤེས 	bstod tshogs ka_.txt	བཞིན  འོད་གསལ་བ་ཡི་སེམས  །_།  འདོད  ཆགས་ལ  སོ གས  དྲི་མ་ཅན  །_།  ཡེ  ཤེས 
 སོ  །_། 						སོ 	།_། 	སངས 	རྒྱས 	རྣམས་ཀྱི 	སྨོན་ལམ་ཡང 	bstod tshogs ka_.txt	     སོ  །_།  སངས  རྒྱས  རྣམས་ཀྱི  སྨོན་ལམ་ཡང 
།_།  སོ ་སོ 	_།_། 	སྣང་བ 	མེད་ཅིང 	མཚན་ཉིད་མེད 	།_། 	སོ	་སོ 	-ར 	རང་རིག 	སྦྱོར་ལྡན་ཉིད 	།_། 	bstod tshogs ka_.txt	_།_།  སྣང་བ  མེད་ཅིང  མཚན་ཉིད་མེད  །_།  སོ ་སོ  -ར  རང་རིག  སྦྱོར་ལྡན་ཉིད  །_། 
ལྟར  སོ ་ག 	གི 	-ར་བརྟག 	_། 	ཇི 	ལྟར 	སོ	་ག 	-འི 	དུས་སུ་ཆུ 	།_། 	དྲོའོ་ཞེས་ནི 	bstod tshogs ka_.txt	གི  -ར་བརྟག  _།  ཇི  ལྟར  སོ ་ག  -འི  དུས་སུ་ཆུ  །_།  དྲོའོ་ཞེས་ནི 
།_།  སོ ་སོ 	།_། 	བདག་ཏུ 	འཛིན་ལས 	འཁོར་བ་སྟེ 	།_། 	སོ	་སོ 	-ར 	རིག་ན 	དེ་ཉིད་དོ 	།_། 	bstod tshogs ka_.txt	།_།  བདག་ཏུ  འཛིན་ལས  འཁོར་བ་སྟེ  །_།  སོ ་སོ  -ར  རིག་ན  དེ་ཉིད་དོ  །_། 
 སོ ད་ནམས 						སོ	ད་ནམས 	དམན་པ་ལ 	།_། 	བཅོམ 	ལྡན 	bstod tshogs ka_.txt	     སོ ད་ནམས  དམན་པ་ལ  །_།  བཅོམ  ལྡན 
 སོ ད་ནམས 						སོ	ད་ནམས 	བྱས 	རྣམས་ལ 	།_། 	འོད་ཀྱིས 	bstod tshogs ka_.txt	     སོ ད་ནམས  བྱས  རྣམས་ལ  །_།  འོད་ཀྱིས 
།_།  སོ ་སོ 	དེར་ནི 	ཤེས་པ 	འཇུག་པ 	-ར་གྱུར 	།_། 	སོ	་སོ 	རང་རིག 	རྣམ་དག་ན 	།_། 	ས 	bstod tshogs ka_.txt	དེར་ནི  ཤེས་པ  འཇུག་པ  -ར་གྱུར  །_།  སོ ་སོ  རང་རིག  རྣམ་དག་ན  །_།  ས 
 སོ གས 						སོ	གས 	།_། 	ཞིང་པ 	-ས 	སྲུང་བ 	bstod tshogs ka_.txt	     སོ གས  །_།  ཞིང་པ  -ས  སྲུང་བ 
ཆགས་ལ  སོ གས 	མངོན་པ 	-ར་བརྗོད 	།_། 	འདོད 	ཆགས་ལ 	སོ	གས 	སྣ་ཚོགས་པའི 	།_། 	དྲི 	མས 	bstod tshogs ka_.txt	མངོན་པ  -ར་བརྗོད  །_།  འདོད  ཆགས་ལ  སོ གས  སྣ་ཚོགས་པའི  །_།  དྲི  མས 
རིང་དུ  སོ ང་ཞེས་བྱ 	འདམ 	རྒལ་བས 	།_། 	དེ་ལ 	རིང་དུ 	སོ	ང་ཞེས་བྱ 	།_། 	སངས 	རྒྱས་ཀྱིས 	ངེས 	bstod tshogs ka_.txt	འདམ  རྒལ་བས  །_།  དེ་ལ  རིང་དུ  སོ ང་ཞེས་བྱ  །_།  སངས  རྒྱས་ཀྱིས  ངེས 
།_།  སོ ་སོ 	བདུད་ཀྱི 	འཁོར་གྱིས 	མི 	གཡོས་པའོ 	།_། 	སོ	་སོ 	ཡང་དག 	རིག 	ཀུན་ལ 	།_། 	bstod tshogs ka_.txt	བདུད་ཀྱི  འཁོར་གྱིས  མི  གཡོས་པའོ  །_།  སོ ་སོ  ཡང་དག  རིག  ཀུན་ལ  །_། 
-ར  སོ ན་པས 	།_། 	རྣལ 	འབྱོར་པ་དེ 	མཐའ 	-ར 	སོ	ན་པས 	།_། 	ས་དེ 	ལེགས་པ 	-འི 	bstod tshogs ka_.txt	།_།  རྣལ  འབྱོར་པ་དེ  མཐའ  -ར  སོ ན་པས  །_།  ས་དེ  ལེགས་པ  -འི 
 སོ ད 						སོ	ད 	ནམ 	-ས 	ཡེ་ཤེས 	རབ 	bstod tshogs ka_.txt	     སོ ད  ནམ  -ས  ཡེ་ཤེས  རབ 
 སོ  །།_།། 						སོ 	།།_།། 	རྒྱ 	གར་གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	bstod tshogs ka_.txt	     སོ  །།_།།  རྒྱ  གར་གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང 
མི་རྟག  སོ གས་ལ་གཙོ་ཁྱོད 	སྡུག་བསྔལ 	དེ་བཞིན་དུ 	།_། 	རྟག 	མི་རྟག 	སོ	གས་ལ་གཙོ་ཁྱོད 	།_། 	དེ 	ལྟ 	-འི 	bstod tshogs ka_.txt	སྡུག་བསྔལ  དེ་བཞིན་དུ  །_།  རྟག  མི་རྟག  སོ གས་ལ་གཙོ་ཁྱོད  །_།  དེ  ལྟ  -འི 
 སོ ད་ནམས་གང 						སོ	ད་ནམས་གང 	ཐོབ་པར 	།_། 	གྱུར་པ 	འདི་ནི 	bstod tshogs ka_.txt	     སོ ད་ནམས་གང  ཐོབ་པར  །_།  གྱུར་པ  འདི་ནི 
 སོ  །།_།། 						སོ 	།།_།། 	རྒྱ 	གར་གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	bstod tshogs ka_.txt	     སོ  །།_།།  རྒྱ  གར་གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང 
 སོ ད 						སོ	ད 	ནམ 	-ས 	དེ་མིན 	རྟེན་འབྲེལ་སྐྱེས 	bstod tshogs ka_.txt	     སོ ད  ནམ  -ས  དེ་མིན  རྟེན་འབྲེལ་སྐྱེས 
 སོ ད་ནམས་གང 						སོ	ད་ནམས་གང 	ཐོབ་པ 	།_། 	དེས་ནི 	འགྲོ་བ 	bstod tshogs ka_.txt	     སོ ད་ནམས་གང  ཐོབ་པ  །_།  དེས་ནི  འགྲོ་བ 
 སོ  །།_།། 						སོ 	།།_།། 	རྒྱ 	གར་གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	bstod tshogs ka_.txt	     སོ  །།_།།  རྒྱ  གར་གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང 
 སོ  །།_༄༅།_། 						སོ 	།།_༄༅།_། 	དོན 	དམ་པ 	-ར 	བསྟོད་པ 	bstod tshogs ka_.txt	     སོ  །།_༄༅།_།  དོན  དམ་པ  -ར  བསྟོད་པ 
 སོ ད 						སོ	ད 	ནམ 	-ས 	དེ 	-ས་ནི 	bstod tshogs ka_.txt	     སོ ད  ནམ  -ས  དེ  -ས་ནི 
 སོ  །།_།། 						སོ 	།།_།། 	རྒྱ 	གར་གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	bstod tshogs ka_.txt	     སོ  །།_།།  རྒྱ  གར་གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང 
།_།  སོ ་སོ 	མཉམ་པ 	ཁྱབ་པ 	ཅན་ཏེ 	སྤྲོས་མེད་པ 	།_། 	སོ	་སོ 	རང་རིག 	རྒྱལ་བ 	རྣམས་ཀྱི 	ཆོས་སྐུ 	bstod tshogs ka_.txt	མཉམ་པ  ཁྱབ་པ  ཅན་ཏེ  སྤྲོས་མེད་པ  །_།  སོ ་སོ  རང་རིག  རྒྱལ་བ  རྣམས་ཀྱི  ཆོས་སྐུ 
 སོ ད་ནམས 						སོ	ད་ནམས 	ཡེ་ཤེས 	ཆེན་པོ 	དཔག་མེད་ལས 	བྱུང་བའི 	bstod tshogs ka_.txt	     སོ ད་ནམས  ཡེ་ཤེས  ཆེན་པོ  དཔག་མེད་ལས  བྱུང་བའི 
 སོ  །།_།། 						སོ 	།།_།། 	རྒྱ 	གར་གྱི 	མཁན་པོ་ཀྲྀཥྞ་པཎྜི 	ཏ་དང 	bstod tshogs ka_.txt	     སོ  །།_།།  རྒྱ  གར་གྱི  མཁན་པོ་ཀྲྀཥྞ་པཎྜི  ཏ་དང 
 སོ ལ་བ 						སོ	ལ་བ 	-ས 	བསྐུལ་བ 	-ས་ན 	།_། 	bstod tshogs ka_.txt	     སོ ལ་བ  -ས  བསྐུལ་བ  -ས་ན  །_། 
བྱ་བ་ལ  སོ གས་པ 	གཅིག 	མིན 	དུ་མ 	མ་ཡིན་ཞེས 	བྱ་བ་ལ 	སོ	གས་པ 	-འི 	ཚིགས་སུ 	བཅད་པ་གསུམ་གྱིས 	བརྗོད་པ 	bstod tshogs ka_.txt	གཅིག  མིན  དུ་མ  མ་ཡིན་ཞེས  བྱ་བ་ལ  སོ གས་པ  -འི  ཚིགས་སུ  བཅད་པ་གསུམ་གྱིས  བརྗོད་པ 
དག་ལ་ནི་སོ  སོ ར་རྟོག་པ་སྔོན་དུ 	དགོས་པ་དང 	།_ 	འབྲེལ་པ 	མེད་པ 	དག་ལ་ནི་སོ 	སོ	ར་རྟོག་པ་སྔོན་དུ 	གཏོང་བ 	དག 	ལེན་པ 	-ར 	bstod tshogs ka_.txt	དགོས་པ་དང  །_  འབྲེལ་པ  མེད་པ  དག་ལ་ནི་སོ  སོ ར་རྟོག་པ་སྔོན་དུ  གཏོང་བ  དག  ལེན་པ  -ར 
 སོ  །_། 						སོ 	།_། 	དེ 	བས་ན 	དགོས་པ་དང 	ཚིགས་སུ 	bstod tshogs ka_.txt	     སོ  །_།  དེ  བས་ན  དགོས་པ་དང  ཚིགས་སུ 
བྱ་བ་ལ  སོ གས་པ་ལ 	གཅིག 	མིན 	དུ་མ 	མ་ཡིན་ཞེས 	བྱ་བ་ལ 	སོ	གས་པ་ལ 	།_ 	གཅིག་དང 	དུ་མ་ནི 	གཅིག་དང 	bstod tshogs ka_.txt	གཅིག  མིན  དུ་མ  མ་ཡིན་ཞེས  བྱ་བ་ལ  སོ གས་པ་ལ  །_  གཅིག་དང  དུ་མ་ནི  གཅིག་དང 
