 ས ྐུ་ལ 	༄༅།_། 	ཆོས་ཀྱི 				ས	ྐུ་ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	bstod tshogs ka_.txt	༄༅།_།  ཆོས་ཀྱི     ས ྐུ་ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང 
 ས ྐུ་ལ 	མ་ཡིན་པ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	ཆོས་ཀྱི 		ས	ྐུ་ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	bstod tshogs ka_.txt	མ་ཡིན་པ་ལ  བསྟོད་པ  །_༄༅༅།_།  ཆོས་ཀྱི   ས ྐུ་ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང 
 ས ྟོད་པ 						ས	ྟོད་པ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	bstod tshogs ka_.txt	     ས ྟོད་པ  །_  དེ  བཞིན  གཤེགས་པ 
 ས ེམས 	ཐམས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 		ས	ེམས 	ཅན 	རྣམས་ལ 	ཐུགས 	བརྩེ་བ 	bstod tshogs ka_.txt	ཐམས་ཅད་ལ  ཕྱག  འཚལ་ལོ  །_།   ས ེམས  ཅན  རྣམས་ལ  ཐུགས  བརྩེ་བ 
 ས ་པ་ཅན 						ས	་པ་ཅན 	།_། 	མི 	འབྲལ 	དགོངས་ཤིང 	bstod tshogs ka_.txt	     ས ་པ་ཅན  །_།  མི  འབྲལ  དགོངས་ཤིང 
།_།  ས ྒྲིབ་པ 	དགོངས་པ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ས	ྒྲིབ་པ 	ཀུན་ལས 	ངེས་པ 	-ར་གྲོལ 	།_། 	bstod tshogs ka_.txt	དགོངས་པ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  ས ྒྲིབ་པ  ཀུན་ལས  ངེས་པ  -ར་གྲོལ  །_། 
 ས  འཇིག་རྟེན 						ས 	འཇིག་རྟེན 	ཀུན 	ཟིལ་མནན 	།_། 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     ས  འཇིག་རྟེན  ཀུན  ཟིལ་མནན  །_།  ཁྱོད་ཀྱི 
 ས ེམས 	མཁྱེན་པ 	-ས 	ཤེས་བྱ་ཁྱབ 	།_། 		ས	ེམས 	གྲོལ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	མཁྱེན་པ  -ས  ཤེས་བྱ་ཁྱབ  །_།   ས ེམས  གྲོལ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
།_།  ས ེམས 					།_། 	ས	ེམས 	ཅན 	ཀུན་གྱི 	ཉོན་མོངས་ཀུན 	།_། 	bstod tshogs ka_.txt	    །_།  ས ེམས  ཅན  ཀུན་གྱི  ཉོན་མོངས་ཀུན  །_། 
 ས ་པ 						ས	་པ 	དག 	འདུལ 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	     ས ་པ  དག  འདུལ  མཛད་པ  །_། 
ཉོན་མོངས  ས ེལ་བ 					ཉོན་མོངས 	ས	ེལ་བ 	ཉོན་མོངས་པ 	།_། 	བརྩེར 	བཅས 	bstod tshogs ka_.txt	    ཉོན་མོངས  ས ེལ་བ  ཉོན་མོངས་པ  །_།  བརྩེར  བཅས 
 ས  གྲུབ་ཅིང 						ས 	གྲུབ་ཅིང 	ཆགས 	མི་མངའ 	།_། 	ཐོགས་པ 	bstod tshogs ka_.txt	     ས  གྲུབ་ཅིང  ཆགས  མི་མངའ  །_།  ཐོགས་པ 
 ས ་དང 						ས	་དང 	གནས་པ 	བཤད 	བྱ་དང 	།_། 	bstod tshogs ka_.txt	     ས ་དང  གནས་པ  བཤད  བྱ་དང  །_། 
 ས ྟོན་པ་ལ 	ཚིག་དང 	ཤེས་པ 				ས	ྟོན་པ་ལ 	།_། 	རྟག་ཏུ 	བློ་གྲོས 	མི 	bstod tshogs ka_.txt	ཚིག་དང  ཤེས་པ     ས ྟོན་པ་ལ  །_།  རྟག་ཏུ  བློ་གྲོས  མི 
 ས ྟོན 	ཐོགས་པ 	།_། 				ས	ྟོན 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	ཐོགས་པ  །_།     ས ྟོན  མཆོག  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
ཚིག་དང  ས ྤྱོད 	ཆེད་དུ 	ཞུ་དང 	དེ་དག་གི 	།_། 	ཚིག་དང 	ས	ྤྱོད 	མཁྱེན 	འོངས་པ་དང 	།_། 	འགྲོ་དང 	bstod tshogs ka_.txt	ཆེད་དུ  ཞུ་དང  དེ་དག་གི  །_།  ཚིག་དང  ས ྤྱོད  མཁྱེན  འོངས་པ་དང  །_།  འགྲོ་དང 
ངེས་འབྱུང  ས ེམས་ཅན་ལ 					ངེས་འབྱུང 	ས	ེམས་ཅན་ལ 	།_། 	ལེགས 	འདོམས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	    ངེས་འབྱུང  ས ེམས་ཅན་ལ  །_།  ལེགས  འདོམས  ཁྱོད་ལ 
 ས  ཅན 						ས 	ཅན 	ཀུན་གྱིས 	ཁྱོད 	མཐོང་ན 	།_། 	bstod tshogs ka_.txt	     ས  ཅན  ཀུན་གྱིས  ཁྱོད  མཐོང་ན  །_། 
 ས ྐྱེས 						ས	ྐྱེས 	བུ 	མཆོག་ཏུ 	རྟོགས་པ 	-ར་འགྱུར 	bstod tshogs ka_.txt	     ས ྐྱེས  བུ  མཆོག་ཏུ  རྟོགས་པ  -ར་འགྱུར 
 ས  དད 						ས 	དད 	འགྱུར་བར 	།_། 	མཛད་པ 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     ས  དད  འགྱུར་བར  །_།  མཛད་པ  ཁྱོད་ལ 
