བྱ་བ་ལ  སོགས་པ  -འི 	གཅིག 	མིན 	དུ་མ 	མ་ཡིན་ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	ཚིགས་སུ 	བཅད་པ་གསུམ་གྱིས 	བརྗོད་པ 	-ར 	bstod tshogs ka_.txt	གཅིག  མིན  དུ་མ  མ་ཡིན་ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  ཚིགས་སུ  བཅད་པ་གསུམ་གྱིས  བརྗོད་པ  -ར 
བྱ་བ་ལ  སོགས་པ ་ལ 	གཅིག 	མིན 	དུ་མ 	མ་ཡིན་ཞེས 	བྱ་བ་ལ 	སོགས་པ	་ལ 	།_ 	གཅིག་དང 	དུ་མ་ནི 	གཅིག་དང 	bstod tshogs ka_.txt	གཅིག  མིན  དུ་མ  མ་ཡིན་ཞེས  བྱ་བ་ལ  སོགས་པ ་ལ  །_  གཅིག་དང  དུ་མ་ནི  གཅིག་དང 
ལུ་ལ  སོགས་པ  -འི 	མ 	མཐོང་སྟེ 	།_ 	སཱ 	ལུ་ལ 	སོགས་པ 	-འི 	ས་བོན་ལས་ནི 	སཱ་ལུ 	-འི 	འབྲས་བུའོ 	bstod tshogs ka_.txt	མ  མཐོང་སྟེ  །_  སཱ  ལུ་ལ  སོགས་པ  -འི  ས་བོན་ལས་ནི  སཱ་ལུ  -འི  འབྲས་བུའོ 
རྨི་ལམ་ལ  སོགས་པ  -འི 	གཞི 	-ར 	གྱུར་པ་ཡིན་ཏེ 	།_ 	རྨི་ལམ་ལ 	སོགས་པ 	-འི 	ཤེས་པ 	བཞིན་ནོ 	།_། 	གལ་ཏེ 	bstod tshogs ka_.txt	གཞི  -ར  གྱུར་པ་ཡིན་ཏེ  །_  རྨི་ལམ་ལ  སོགས་པ  -འི  ཤེས་པ  བཞིན་ནོ  །_།  གལ་ཏེ 
གླ་རྩི་ལ  སོགས་པ  -ས 	མ་རིག་པ 	-འི 	བག་ཆགས་སུ 	གྱུར་པ་ནི 	གླ་རྩི་ལ 	སོགས་པ 	-ས 	བསྒོས་པ 	བཞིན་ཏེ 	།_ 	དངོས་པོ 	bstod tshogs ka_.txt	མ་རིག་པ  -འི  བག་ཆགས་སུ  གྱུར་པ་ནི  གླ་རྩི་ལ  སོགས་པ  -ས  བསྒོས་པ  བཞིན་ཏེ  །_  དངོས་པོ 
ཆགས་ལ  སོགས་པ  -འི 	གོས་པ 	མེད་པ་སྟེ 	།_ 	འདོད 	ཆགས་ལ 	སོགས་པ 	-འི 	ཉེས་པ 	-འི 	དྲི་མ་དང 	བྲལ་བ 	bstod tshogs ka_.txt	གོས་པ  མེད་པ་སྟེ  །_  འདོད  ཆགས་ལ  སོགས་པ  -འི  ཉེས་པ  -འི  དྲི་མ་དང  བྲལ་བ 
བློ་གྲོས་ལ  སོགས་པ འོ 	ངེས་པ 	-ར 	འཇོམས་པ 	-འི 	བློ་གྲོས་ལ 	སོགས་པ	འོ 	།_། 	ཅིའི 	ཕྱིར 	ཞེ་ན 	bstod tshogs ka_.txt	ངེས་པ  -ར  འཇོམས་པ  -འི  བློ་གྲོས་ལ  སོགས་པ འོ  །_།  ཅིའི  ཕྱིར  ཞེ་ན 
རྒྱ་ཆེ་བ་ལ  སོགས་པ  -འི 	-ར 	སྤྲོ་བ 	-ས་ན 	ཤིན་ཏུ་མང་ཞིང 	རྒྱ་ཆེ་བ་ལ 	སོགས་པ 	-འི 	དམ་པ 	-འི 	ཆོས་སྟོན་ཅིང 	གསུང་བ 	bstod tshogs ka_.txt	-ར  སྤྲོ་བ  -ས་ན  ཤིན་ཏུ་མང་ཞིང  རྒྱ་ཆེ་བ་ལ  སོགས་པ  -འི  དམ་པ  -འི  ཆོས་སྟོན་ཅིང  གསུང་བ 
ཆོས་སྟོན་པ་ལ  སོགས་པ  -ས 	རྣམས་ལ 	རྣམ་པ 	སྣ་ཚོགས་པ 	-འི 	ཆོས་སྟོན་པ་ལ 	སོགས་པ 	-ས 	ལོངས་སྤྱོད 	པར 	མཛད་པའོ 	།_། 	bstod tshogs ka_.txt	རྣམས་ལ  རྣམ་པ  སྣ་ཚོགས་པ  -འི  ཆོས་སྟོན་པ་ལ  སོགས་པ  -ས  ལོངས་སྤྱོད  པར  མཛད་པའོ  །_། 
བྱ་བ་ལ  སོགས་པ  སྨོས་ཏེ 	བཞིན་དུ་གང 	སྣང་ཞིང 	།_། 	ཞེས 	བྱ་བ་ལ 	སོགས་པ 	སྨོས་ཏེ 	།_ 	སེམས 	ཅན 	རྣམས་ནི་སྲོགས 	bstod tshogs ka_.txt	བཞིན་དུ་གང  སྣང་ཞིང  །_།  ཞེས  བྱ་བ་ལ  སོགས་པ  སྨོས་ཏེ  །_  སེམས  ཅན  རྣམས་ནི་སྲོགས 
ཆེན་པོ་ལ  སོགས་པ  རྣམ་པ 	བྱིན་དང 	།_ 	དབང 	ཕྱུག 	ཆེན་པོ་ལ 	སོགས་པ 	རྣམ་པ 	སྣ་ཚོགས་པ 	-འི 	བདག་ཉིད་དུ 	སྟོན་པའོ 	bstod tshogs ka_.txt	བྱིན་དང  །_  དབང  ཕྱུག  ཆེན་པོ་ལ  སོགས་པ  རྣམ་པ  སྣ་ཚོགས་པ  -འི  བདག་ཉིད་དུ  སྟོན་པའོ 
སྐྱེ་བ་ལ  སོགས་པ  -འི 	མེད་པ་སྟེ 	སྲིད་པ་གསུམ་གྱི 	སེམས་ཅན 	རྣམས་ཀྱི 	སྐྱེ་བ་ལ 	སོགས་པ 	-འི 	ཉེས་པ 	རིང་དུ 	མཛད་པ་ནི 	འཇིགས་པ 	bstod tshogs ka_.txt	མེད་པ་སྟེ  སྲིད་པ་གསུམ་གྱི  སེམས་ཅན  རྣམས་ཀྱི  སྐྱེ་བ་ལ  སོགས་པ  -འི  ཉེས་པ  རིང་དུ  མཛད་པ་ནི  འཇིགས་པ 
བྱ་བ་ལ  སོགས་པ  སྨོས་ཏེ 	དོན 	གཅིག 	རྒྱུན་དུ 	མཛད་ཅིང་ཞེས 	བྱ་བ་ལ 	སོགས་པ 	སྨོས་ཏེ 	།_ 	སེམས 	ཅན་གྱི 	དོན་ནི 	bstod tshogs ka_.txt	དོན  གཅིག  རྒྱུན་དུ  མཛད་ཅིང་ཞེས  བྱ་བ་ལ  སོགས་པ  སྨོས་ཏེ  །_  སེམས  ཅན་གྱི  དོན་ནི 
འོངས་ལ  སོགས་པ  །_། 	མཆིས་པ 	།_། 	འདས་དང 	མ 	འོངས་ལ 	སོགས་པ 	།_། 	ཉོན་མོངས 	རྣམས་ཀྱང 	དེ་བཞིན་ཏེ 	།_། 	bstod tshogs ka_.txt	མཆིས་པ  །_།  འདས་དང  མ  འོངས་ལ  སོགས་པ  །_།  ཉོན་མོངས  རྣམས་ཀྱང  དེ་བཞིན་ཏེ  །_། 
བུ་ལ  སོགས་པ  -ས་ཀྱང 	།_། 	ཤཱ 	རི 	-འི 	བུ་ལ 	སོགས་པ 	-ས་ཀྱང 	།_། 	ངེས 	པར 	བསྟོད་པ 	bstod tshogs ka_.txt	།_།  ཤཱ  རི  -འི  བུ་ལ  སོགས་པ  -ས་ཀྱང  །_།  ངེས  པར  བསྟོད་པ 
རྨུགས་ལ  སོགས་པ  ཞི་བ 	གནས 	བསྒྲུབ 	སླད་དུ 	།_། 	རྨུགས་ལ 	སོགས་པ 	ཞི་བ 	-འི་ཕྱིར 	།_། 	ཕྱི 	རོལ 	bstod tshogs ka_.txt	གནས  བསྒྲུབ  སླད་དུ  །_།  རྨུགས་ལ  སོགས་པ  ཞི་བ  -འི་ཕྱིར  །_།  ཕྱི  རོལ 
གོས་ལ  སོགས་པ ་ཡི 	ཕྱི་རོལ་གྱི 	།_། 	བཟའ 	བཏུང 	གོས་ལ 	སོགས་པ	་ཡི 	།_། 	ཉོན་མོངས་པ་ཡི 	དབང་གིས་ནི 	།_། 	bstod tshogs ka_.txt	ཕྱི་རོལ་གྱི  །_།  བཟའ  བཏུང  གོས་ལ  སོགས་པ ་ཡི  །_།  ཉོན་མོངས་པ་ཡི  དབང་གིས་ནི  །_། 
བྱ་བ་ལ  སོགས་པ  -འི 	ངན་སོང 	གནས 	ན 	-འང་ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	ཚིགས་སུ 	བཅད་པ 	ལྔ 	བཅུས 	bstod tshogs ka_.txt	ངན་སོང  གནས  ན  -འང་ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  ཚིགས་སུ  བཅད་པ  ལྔ  བཅུས 
སེམས་བསྐྱེད་པ་ལ  སོགས་པ ་ནས 	དེ་ལ 	རྒྱུ 	-འི 	གནས་སྐབས་ནི 	སེམས་བསྐྱེད་པ་ལ 	སོགས་པ	་ནས 	བྱང་ཆུབ་ཀྱི 	སྙིང་པོ་ལ 	འདུག་པ 	-འི 	bstod tshogs ka_.txt	དེ་ལ  རྒྱུ  -འི  གནས་སྐབས་ནི  སེམས་བསྐྱེད་པ་ལ  སོགས་པ ་ནས  བྱང་ཆུབ་ཀྱི  སྙིང་པོ་ལ  འདུག་པ  -འི 
