 དང  བྲལ་བ 						དང 	བྲལ་བ 	-ར 	དགོངས་པ་ཅན 	།_། 	མི 	bstod tshogs ka_.txt	     དང  བྲལ་བ  -ར  དགོངས་པ་ཅན  །_།  མི 
 དང  གནས་པ 						དང 	གནས་པ 	བཤད 	བྱ་དང 	།_། 	ཚིག་དང 	bstod tshogs ka_.txt	     དང  གནས་པ  བཤད  བྱ་དང  །_།  ཚིག་དང 
 དང  དེ་དག་གི 						དང 	དེ་དག་གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	bstod tshogs ka_.txt	     དང  དེ་དག་གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན 
 དང  །_། 						དང 	།_། 	འགྲོ་དང 	ངེས་འབྱུང 	སེམས་ཅན་ལ 	།_། 	bstod tshogs ka_.txt	     དང  །_།  འགྲོ་དང  ངེས་འབྱུང  སེམས་ཅན་ལ  །_། 
 དང  གནས་དང 						དང 	གནས་དང 	གཏོང་བ་དང 	།_། 	སྤྲུལ་པ་དང་ནི 	བསྒྱུར་བ་དང 	bstod tshogs ka_.txt	     དང  གནས་དང  གཏོང་བ་དང  །_།  སྤྲུལ་པ་དང་ནི  བསྒྱུར་བ་དང 
 དང  ཡེ་ཤེས་ལ 						དང 	ཡེ་ཤེས་ལ 	།_། 	མངའ 	བརྙེས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     དང  ཡེ་ཤེས་ལ  །_།  མངའ  བརྙེས  ཁྱོད་ལ 
 དང  སྐྱབས་དང 						དང 	སྐྱབས་དང 	དག་པ་དང 	།_། 	ངེས 	འབྱུང 	bstod tshogs ka_.txt	     དང  སྐྱབས་དང  དག་པ་དང  །_།  ངེས  འབྱུང 
 དང ་ནི 						དང	་ནི 	སྤངས་པ་དང 	།_། 	ངེས 	འབྱུང 	bstod tshogs ka_.txt	     དང ་ནི  སྤངས་པ་དང  །_།  ངེས  འབྱུང 
 དང  ལྡན་པ་པོ 						དང 	ལྡན་པ་པོ 	།_། 	ཕན 	དགོངས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     དང  ལྡན་པ་པོ  །_།  ཕན  དགོངས  ཁྱོད་ལ 
 དང  ཐུགས་སུ 						དང 	ཐུགས་སུ 	ཆུད་པ་དང 	།_། 	མཁྱེན་པ་དང་ནི 	ཕྲིན་ལས་ཀྱིས 	bstod tshogs ka_.txt	     དང  ཐུགས་སུ  ཆུད་པ་དང  །_།  མཁྱེན་པ་དང་ནི  ཕྲིན་ལས་ཀྱིས 
 དང ་ནི 						དང	་ནི 	རང 	སངས་རྒྱས 	།_། 	ཀུན 	bstod tshogs ka_.txt	     དང ་ནི  རང  སངས་རྒྱས  །_།  ཀུན 
 དང  །_ 						དང 	།_ 	ཤཱི་ལེཎྡྲ་བོ་དྷི་དང 	།_ 	ཞུ་ཆེན་གྱི 	ལོ་ཙཱ་བ་བནྡེ 	bstod tshogs ka_.txt	     དང  །_  ཤཱི་ལེཎྡྲ་བོ་དྷི་དང  །_  ཞུ་ཆེན་གྱི  ལོ་ཙཱ་བ་བནྡེ 
 དང  འདྲེས་པས 						དང 	འདྲེས་པས 	།_། 	མར་གྱི 	སྙིང་པོ 	མི 	bstod tshogs ka_.txt	     དང  འདྲེས་པས  །_།  མར་གྱི  སྙིང་པོ  མི 
 དང  འདྲེས་པས 						དང 	འདྲེས་པས 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	མི 	bstod tshogs ka_.txt	     དང  འདྲེས་པས  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང  མི 
 དང ་གང 						དང	་གང 	དག་ནས 	།_། 	བུམ་པ 	བུ་ག 	bstod tshogs ka_.txt	     དང ་གང  དག་ནས  །_།  བུམ་པ  བུ་ག 
 དང ་དེ་ཡི 						དང	་དེ་ཡི 	ཕྱོགས 	ཉིད་ནས 	།_། 	འོད་ཀྱི 	bstod tshogs ka_.txt	     དང ་དེ་ཡི  ཕྱོགས  ཉིད་ནས  །_།  འོད་ཀྱི 
