 དོ མས 						དོ	མས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     དོ མས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 དོ ན་ལ 						དོ	ན་ལ 	མུ་སྟེགས་གཞན 	།_། 	མི 	ཚུགས 	bstod tshogs ka_.txt	     དོ ན་ལ  མུ་སྟེགས་གཞན  །_།  མི  ཚུགས 
ཡང་དག  དོ ན་དུ་ན 	སྤྱོད 	མི་མངའ 	།_། 	ཁྱོད་ནི 	ཡང་དག 	དོ	ན་དུ་ན 	།_། 	ཀུན 	མཁྱེན 	ཁྱོད་ལ 	bstod tshogs ka_.txt	སྤྱོད  མི་མངའ  །_།  ཁྱོད་ནི  ཡང་དག  དོ ན་དུ་ན  །_།  ཀུན  མཁྱེན  ཁྱོད་ལ 
ཀུན་གྱི  དོ ན 	འཚལ་ལོ 	།_། 	སེམས 	ཅན 	ཀུན་གྱི 	དོ	ན 	མཛད་པ 	།_། 	ཁྱོན་ནི 	དུས་ལས 	bstod tshogs ka_.txt	འཚལ་ལོ  །_།  སེམས  ཅན  ཀུན་གྱི  དོ ན  མཛད་པ  །_།  ཁྱོན་ནི  དུས་ལས 
།_།  དོ གས 	།_། 	ཀུན་དུ 	སེམས་ཅན 	ཐམས་ཅད་ཀྱི 	།_། 	དོ	གས 	གཅོད 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	།_།  ཀུན་དུ  སེམས་ཅན  ཐམས་ཅད་ཀྱི  །_།  དོ གས  གཅོད  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
 དོ  །_། 						དོ 	།_། 	ཇི 	ལྟར 	འོ་མ་དང 	འདྲེས་པས 	bstod tshogs ka_.txt	     དོ  །_།  ཇི  ལྟར  འོ་མ་དང  འདྲེས་པས 
 དོ ད་ལྟར 						དོ	ད་ལྟར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	bstod tshogs ka_.txt	     དོ ད་ལྟར  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས 
 དོ ་ཞེས 						དོ	་ཞེས 	།_། 	འཇིག 	རྟེན་ན་ནི 	དཔེ 	bstod tshogs ka_.txt	     དོ ་ཞེས  །_།  འཇིག  རྟེན་ན་ནི  དཔེ 
 དོ ད 						དོ	ད 	།_། 	རིམ་གྱིས 	སྦྱངས་པ 	-ར 	bstod tshogs ka_.txt	     དོ ད  །_།  རིམ་གྱིས  སྦྱངས་པ  -ར 
 དོ ང་དང 						དོ	ང་དང 	རྡུལ་ལ་སོགས 	།_། 	སྒྲིབ་པ 	ལྔ་ཡིས 	bstod tshogs ka_.txt	     དོ ང་དང  རྡུལ་ལ་སོགས  །_།  སྒྲིབ་པ  ལྔ་ཡིས 
 དོ ད་དང 						དོ	ད་དང 	གནོད་སེམས 	ལེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	bstod tshogs ka_.txt	     དོ ད་དང  གནོད་སེམས  ལེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི 
 དོ ད 						དོ	ད 	ཆགས་ལ 	སོགས 	དྲི་མ་ཅན 	།_། 	bstod tshogs ka_.txt	     དོ ད  ཆགས་ལ  སོགས  དྲི་མ་ཅན  །_། 
 དོ  །_། 						དོ 	།_། 	རྒྱལ 	བས 	ཇི་སྙེད 	གསུངས་པ 	bstod tshogs ka_.txt	     དོ  །_།  རྒྱལ  བས  ཇི་སྙེད  གསུངས་པ 
 དོ ད 						དོ	ད 	ཆགས་ཀྱིས 	ལྡོངས 	གདུལ་བྱ 	-འི་ཕྱིར 	bstod tshogs ka_.txt	     དོ ད  ཆགས་ཀྱིས  ལྡོངས  གདུལ་བྱ  -འི་ཕྱིར 
 དོ  །_། 						དོ 	།_། 	སེམས 	ཉིད 	རྣམ་པ་གཉིས་སུ 	མཐོང 	bstod tshogs ka_.txt	     དོ  །_།  སེམས  ཉིད  རྣམ་པ་གཉིས་སུ  མཐོང 
 དོ  །_། 						དོ 	།_། 	འདོད 	ཆགས 	ཟད་པ 	-ས 	bstod tshogs ka_.txt	     དོ  །_།  འདོད  ཆགས  ཟད་པ  -ས 
 དོ  །_། 						དོ 	།_། 	ཤེས་དང 	མི 	ཤེས་པ 	དག་ལས 	bstod tshogs ka_.txt	     དོ  །_།  ཤེས་དང  མི  ཤེས་པ  དག་ལས 
 དོ  སྡེ 						དོ 	སྡེ 	-འི 	ཚོགས་ལས 	གསུངས་པ་ལགས 	།_། 	bstod tshogs ka_.txt	     དོ  སྡེ  -འི  ཚོགས་ལས  གསུངས་པ་ལགས  །_། 
རབ  དོ ན་དུ 	-འི 	བྱེ་བྲག་གིས 	།_། 	ཤེས 	རབ 	དོ	ན་དུ 	རབ་ཏུ་འཇུག 	_། 	བྱང 	ཆུབ 	bstod tshogs ka_.txt	-འི  བྱེ་བྲག་གིས  །_།  ཤེས  རབ  དོ ན་དུ  རབ་ཏུ་འཇུག  _།  བྱང  ཆུབ 
 དོ ར་བ 						དོ	ར་བ 	-ར་བྱེད 	།_། 	བདག་དང 	བདག་གི་ཞེས 	bstod tshogs ka_.txt	     དོ ར་བ  -ར་བྱེད  །_།  བདག་དང  བདག་གི་ཞེས 
སེམས་ཅན  དོ ན 	སྣ་ཚོགས 	སྦྱིན་པ་དང 	_།_། 	ཚུལ་ཁྲིམས 	སེམས་ཅན 	དོ	ན 	སྡུད 	དང 	།_། 	སེམས 	bstod tshogs ka_.txt	སྣ་ཚོགས  སྦྱིན་པ་དང  _།_།  ཚུལ་ཁྲིམས  སེམས་ཅན  དོ ན  སྡུད  དང  །_།  སེམས 
 དོ ད་པ་དེས 						དོ	ད་པ་དེས 	།_། 	བུར་ཤིང 	ས་བོན 	མེད་པ 	bstod tshogs ka_.txt	     དོ ད་པ་དེས  །_།  བུར་ཤིང  ས་བོན  མེད་པ 
 དོ ད 						དོ	ད 	ཆགས་ལ 	སོགས 	སྣ་ཚོགས་པའི 	།_། 	bstod tshogs ka_.txt	     དོ ད  ཆགས་ལ  སོགས  སྣ་ཚོགས་པའི  །_། 
 དོ ད 						དོ	ད 	།_། 	རིག་དང 	སྒྱུ་རྩལ 	བཟོ་གནས་ཀུན 	bstod tshogs ka_.txt	     དོ ད  །_།  རིག་དང  སྒྱུ་རྩལ  བཟོ་གནས་ཀུན 
 དོ ད 						དོ	ད 	།_། 	བྱང 	ཆུབ 	རྣམ་པ་གསུམ་པོ་དང 	bstod tshogs ka_.txt	     དོ ད  །_།  བྱང  ཆུབ  རྣམ་པ་གསུམ་པོ་དང 
 དོ ད 						དོ	ད 	།_། 	འཁོར 	ལོ 	-འི 	bstod tshogs ka_.txt	     དོ ད  །_།  འཁོར  ལོ  -འི 
 དོ ད 						དོ	ད 	།_། 	ཡེ 	ཤེས 	རང་བཞིན 	bstod tshogs ka_.txt	     དོ ད  །_།  ཡེ  ཤེས  རང་བཞིན 
 དོ ད 						དོ	ད 	པར 	བྱ་བ 	-འི 	ཟེ་འབྲུ་ཅན 	bstod tshogs ka_.txt	     དོ ད  པར  བྱ་བ  -འི  ཟེ་འབྲུ་ཅན 
 དོ ད 						དོ	ད 	།_། 	འདིར་ནི 	མྱ་ངན 	འདས་པ་ཉིད 	bstod tshogs ka_.txt	     དོ ད  །_།  འདིར་ནི  མྱ་ངན  འདས་པ་ཉིད 
སེམས་ཅན  དོ ན 	ནོར་བུ 	ཇི་བཞིན་དུ 	།_། 	དེ་ལས 	སེམས་ཅན 	དོ	ན 	རབ་མཛད 	།_། 	ཆོས་ཀྱི 	དབྱིངས་སུ 	bstod tshogs ka_.txt	ནོར་བུ  ཇི་བཞིན་དུ  །_།  དེ་ལས  སེམས་ཅན  དོ ན  རབ་མཛད  །_།  ཆོས་ཀྱི  དབྱིངས་སུ 
-འི  དོ ན 	བརྩོན་ཁྱོད 	།_། 	དངོས་པོ 	མེད་པ 	-འི 	དོ	ན 	རིག་པས 	།_། 	དཔེ 	མེད 	bstod tshogs ka_.txt	བརྩོན་ཁྱོད  །_།  དངོས་པོ  མེད་པ  -འི  དོ ན  རིག་པས  །_།  དཔེ  མེད 
ཉིད  དོ ན་ནི 	གཟིགས་པ 	བླ་མེད་དེ 	།_། 	དེ 	ཉིད 	དོ	ན་ནི 	རིག་པ་ལགས 	།_། 	དོན 	དམ་པ་ཡི 	bstod tshogs ka_.txt	གཟིགས་པ  བླ་མེད་དེ  །_།  དེ  ཉིད  དོ ན་ནི  རིག་པ་ལགས  །_།  དོན  དམ་པ་ཡི 
ཕྱིར  དོ ན་དམ 	མ 	མཆིས་པ 	།_། 	དེ 	ཕྱིར 	དོ	ན་དམ 	རིག་པ 	-འང་ལགས 	།_། 	ཀུན་གྱི 	bstod tshogs ka_.txt	མ  མཆིས་པ  །_།  དེ  ཕྱིར  དོ ན་དམ  རིག་པ  -འང་ལགས  །_།  ཀུན་གྱི 
 དོ ད 						དོ	ད 	།_། 	འབྱུང་བ 	མིག་གིས 	གཟུང 	bstod tshogs ka_.txt	     དོ ད  །_།  འབྱུང་བ  མིག་གིས  གཟུང 
མིང་དང  དོ ན་དག 	-ར 	ཁྱོད 	ཉིད་བཞེད 	།_། 	མིང་དང 	དོ	ན་དག 	ཐ 	དད་མིན 	།_། 	མེ་ཡིས 	bstod tshogs ka_.txt	-ར  ཁྱོད  ཉིད་བཞེད  །_།  མིང་དང  དོ ན་དག  ཐ  དད་མིན  །_།  མེ་ཡིས 
 དོ ད 						དོ	ད 	།_། 	ཁྱོད་ཀྱིས 	རྟེན་ནས 	འབྱུང་བ 	bstod tshogs ka_.txt	     དོ ད  །_།  ཁྱོད་ཀྱིས  རྟེན་ནས  འབྱུང་བ 
།།_༄༅།_།  དོ ན 	སློབ་དཔོན 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	རྫོགས་སོ 	།།_༄༅།_། 	དོ	ན 	དམ་པ 	-ར 	བསྟོད་པ 	།༄༅༅།_། 	bstod tshogs ka_.txt	སློབ་དཔོན  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ  རྫོགས་སོ  །།_༄༅།_།  དོ ན  དམ་པ  -ར  བསྟོད་པ  །༄༅༅།_། 
།_  དོ ན 	ར་མ་ཨརྠ་སྟ་བཾ 	།_ 	བོད 	སྐད་དུ 	།_ 	དོ	ན 	དམ་པ 	-ར 	བསྟོད་པ 	།_ 	bstod tshogs ka_.txt	ར་མ་ཨརྠ་སྟ་བཾ  །_  བོད  སྐད་དུ  །_  དོ ན  དམ་པ  -ར  བསྟོད་པ  །_ 
ཉིད  དོ ན 	གང་འདྲ་བས 	།_། 	དེ 	བཞིན 	ཉིད 	དོ	ན 	སྤྱོད་ཡུལ་གྱི 	།_། 	འཇིག 	རྟེན 	bstod tshogs ka_.txt	གང་འདྲ་བས  །_།  དེ  བཞིན  ཉིད  དོ ན  སྤྱོད་ཡུལ་གྱི  །_།  འཇིག  རྟེན 
 དོ ག་མིན 						དོ	ག་མིན 	།_། 	སེར་དང 	གནག་དང 	དཀའ 	bstod tshogs ka_.txt	     དོ ག་མིན  །_།  སེར་དང  གནག་དང  དཀའ 
ལ་ཁ  དོ ག 	-ར 	མ་ལགས 	།_། 	ཁྱོད 	ལ་ཁ 	དོ	ག 	ཡོང 	མི་དམིགས 	།_། 	མདོག 	bstod tshogs ka_.txt	-ར  མ་ལགས  །_།  ཁྱོད  ལ་ཁ  དོ ག  ཡོང  མི་དམིགས  །_།  མདོག 
_།  དོ ན 	གཤེགས 	གནས་སུ 	འགྲོ་བ 	-ར་ཤོག 	_། 	དོ	ན 	དམ་པ 	-ར 	བསྟོད་པ 	།_ 	bstod tshogs ka_.txt	གཤེགས  གནས་སུ  འགྲོ་བ  -ར་ཤོག  _།  དོ ན  དམ་པ  -ར  བསྟོད་པ  །_ 
སྤྲུལ་སྐུ  དོ ན་ཆེན 	ཆུབ 	མཛད 	ཐུབ་པ 	རྣམས་ཀྱི 	སྤྲུལ་སྐུ 	དོ	ན་ཆེན 	གང་ཡིན་དེ་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	ཆུབ  མཛད  ཐུབ་པ  རྣམས་ཀྱི  སྤྲུལ་སྐུ  དོ ན་ཆེན  གང་ཡིན་དེ་ལ  ཕྱག  འཚལ་ལོ  །_། 
 དོ ན 	སེམས 	ཅན 				དོ	ན 	གཅིག 	རྒྱུན་དུ 	མཛད་ཅིང 	བསོད་ནམས 	bstod tshogs ka_.txt	སེམས  ཅན     དོ ན  གཅིག  རྒྱུན་དུ  མཛད་ཅིང  བསོད་ནམས 
བཤད་པ  དོ ན་མེད 	-ར 	བྱ་བ 	བཤད་དོ 	།_། 	བཤད་པ 	དོ	ན་མེད 	པར 	རྟོག་པ 	དག 	ངེས་པ 	bstod tshogs ka_.txt	-ར  བྱ་བ  བཤད་དོ  །_།  བཤད་པ  དོ ན་མེད  པར  རྟོག་པ  དག  ངེས་པ 
-ར  དོ གས་པ 	བསྟན་ཏོ 	།_། 	ཐབས 	མེད་པ 	-ར 	དོ	གས་པ 	བསལ་བ 	-འི 	ཕྱིར 	འབྲེལ་པ 	bstod tshogs ka_.txt	བསྟན་ཏོ  །_།  ཐབས  མེད་པ  -ར  དོ གས་པ  བསལ་བ  -འི  ཕྱིར  འབྲེལ་པ 
སྐུ་གསུམ་གྱི  དོ ན་དང 	བརྩོན་འགྲུས་དང 	ལྡན་པ 	-ར 	རང་ཉིད་ཀྱིས 	སྐུ་གསུམ་གྱི 	དོ	ན་དང 	བྱ་བ 	མཐའ 	-ར 	ཕྱིན་པ་ནི 	bstod tshogs ka_.txt	བརྩོན་འགྲུས་དང  ལྡན་པ  -ར  རང་ཉིད་ཀྱིས  སྐུ་གསུམ་གྱི  དོ ན་དང  བྱ་བ  མཐའ  -ར  ཕྱིན་པ་ནི 
རེ་ཞིག  དོ ན་གྱི 	-ར 	བྱ་སྟེ 	།_ 	འདི་ནི 	རེ་ཞིག 	དོ	ན་གྱི 	སྤྱི་ཡིན 	ནོ 	།_། 	ད་ནི 	bstod tshogs ka_.txt	-ར  བྱ་སྟེ  །_  འདི་ནི  རེ་ཞིག  དོ ན་གྱི  སྤྱི་ཡིན  ནོ  །_།  ད་ནི 
ཡན་ལག་གི  དོ ན 					ཡན་ལག་གི 	དོ	ན 	བརྗོད་པ 	-ར 	བྱ་སྟེ 	།_ 	bstod tshogs ka_.txt	    ཡན་ལག་གི  དོ ན  བརྗོད་པ  -ར  བྱ་སྟེ  །_ 
 དོ  །_། 						དོ 	།_། 	དུ 	མ་ནི 	མང་པོ 	ཉིད་དེ 	bstod tshogs ka_.txt	     དོ  །_།  དུ  མ་ནི  མང་པོ  ཉིད་དེ 
 དོ  །_། 						དོ 	།_། 	ཆོས 	ཐམས་ཅད་ཀྱང 	དེ་བཞིན 	ཉིད་ལས 	bstod tshogs ka_.txt	     དོ  །_།  ཆོས  ཐམས་ཅད་ཀྱང  དེ་བཞིན  ཉིད་ལས 
-འི  དོ ན་ཏོ 	གཞི 	-ར 	གྱུར་པ་ཞེས 	བྱ་བ 	-འི 	དོ	ན་ཏོ 	།_། 	གང་གི 	ཕྱིར 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	གཞི  -ར  གྱུར་པ་ཞེས  བྱ་བ  -འི  དོ ན་ཏོ  །_།  གང་གི  ཕྱིར  ཆོས་ཀྱི 
-འི  དོ ན 	ཞེ་ན 	།_། 	ཡང 	དག་པ 	-འི 	དོ	ན 	རྟོགས་པ 	ཁོ་ན 	ཙམ་དུ 	ཟད་དེ 	bstod tshogs ka_.txt	ཞེ་ན  །_།  ཡང  དག་པ  -འི  དོ ན  རྟོགས་པ  ཁོ་ན  ཙམ་དུ  ཟད་དེ 
 དོ  །_། 						དོ 	།_། 	དེ 	བས་ན 	གོས་པ 	མེད་པ་སྟེ 	bstod tshogs ka_.txt	     དོ  །_།  དེ  བས་ན  གོས་པ  མེད་པ་སྟེ 
 དོ ད 						དོ	ད 	ཆགས་ལ 	སོགས་པ 	-འི 	ཉེས་པ 	bstod tshogs ka_.txt	     དོ ད  ཆགས་ལ  སོགས་པ  -འི  ཉེས་པ 
 དོ  །_། 						དོ 	།_། 	དེ 	ཉིད་ཀྱིས་ན 	མི་འགྱུར་བ་སྟེ 	རང་གི 	bstod tshogs ka_.txt	     དོ  །_།  དེ  ཉིད་ཀྱིས་ན  མི་འགྱུར་བ་སྟེ  རང་གི 
-འི  དོ ན་ཏོ 	ལུས་དང་ཡིད་ཀྱིས 	ཕྱག 	འཚལ་ལོ་ཞེས 	བྱ་བ 	-འི 	དོ	ན་ཏོ 	།_། 	རང་གི 	འབྱོར་བ་ནི 	ཁམས་གསུམ་པ 	bstod tshogs ka_.txt	ལུས་དང་ཡིད་ཀྱིས  ཕྱག  འཚལ་ལོ་ཞེས  བྱ་བ  -འི  དོ ན་ཏོ  །_།  རང་གི  འབྱོར་བ་ནི  ཁམས་གསུམ་པ 
