 ཏུ ་ཡང 						ཏུ	་ཡང 	།_། 	མཉམ 	པར 	གཞག་ཅིང 	bstod tshogs ka_.txt	     ཏུ ་ཡང  །_།  མཉམ  པར  གཞག་ཅིང 
 ཏུ  བློ་གྲོས 						ཏུ 	བློ་གྲོས 	མི 	ཐོགས་པ 	།_། 	སྟོན 	bstod tshogs ka_.txt	     ཏུ  བློ་གྲོས  མི  ཐོགས་པ  །_།  སྟོན 
 ཏུ  རྟོགས་པ 						ཏུ 	རྟོགས་པ 	-ར་འགྱུར 	།_། 	མཐོང་བ 	ཙམ་གྱིས 	bstod tshogs ka_.txt	     ཏུ  རྟོགས་པ  -ར་འགྱུར  །_།  མཐོང་བ  ཙམ་གྱིས 
 ཏུ  འབྲས་བུ 						ཏུ 	འབྲས་བུ 	ཡོད 	མཛད་པ 	།_། 	མི 	bstod tshogs ka_.txt	     ཏུ  འབྲས་བུ  ཡོད  མཛད་པ  །_།  མི 
 ཏུ ་ནི 						ཏུ	་ནི 	གཟིགས 	མཛད་པ 	།_། 	ཐུགས 	bstod tshogs ka_.txt	     ཏུ ་ནི  གཟིགས  མཛད་པ  །_།  ཐུགས 
 ཏུ ་སྟ་བཾ 						ཏུ	་སྟ་བཾ 	།_ 	བོད 	སྐད་དུ 	།_ 	bstod tshogs ka_.txt	     ཏུ ་སྟ་བཾ  །_  བོད  སྐད་དུ  །_ 
 ཏུ  དྲི་མེད་འགྱུར 						ཏུ 	དྲི་མེད་འགྱུར 	།_། 	ཇི 	ལྟར 	མར་མེ་བུམ 	bstod tshogs ka_.txt	     ཏུ  དྲི་མེད་འགྱུར  །_།  ཇི  ལྟར  མར་མེ་བུམ 
 ཏུ  དྲི་མེད་པ 						ཏུ 	དྲི་མེད་པ 	-འང 	_།_། 	འཁོར་བ 	-ར 	bstod tshogs ka_.txt	     ཏུ  དྲི་མེད་པ  -འང  _།_།  འཁོར་བ  -ར 
 ཏུ ་གསལ 						ཏུ	་གསལ 	།_། 	ཆུ་ཤིང 	སྙིང་པོ 	མེད་དོ་ཞེས 	bstod tshogs ka_.txt	     ཏུ ་གསལ  །_།  ཆུ་ཤིང  སྙིང་པོ  མེད་དོ་ཞེས 
 ཏུ  སེམས་ནི 						ཏུ 	སེམས་ནི 	སྦྱོང་བྱེད་པའི 	།_། 	ཆོས་ནི 	རང་བཞིན 	bstod tshogs ka_.txt	     ཏུ  སེམས་ནི  སྦྱོང་བྱེད་པའི  །_།  ཆོས་ནི  རང་བཞིན 
