 ལ  གནས་པ 						ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
 ལ  གནས་པ 						ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ 	bstod tshogs ka_.txt	     ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ 
 ལ  བསྟོད་པ 						ལ 	བསྟོད་པ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	bstod tshogs ka_.txt	     ལ  བསྟོད་པ  །_  དེ  བཞིན  གཤེགས་པ 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  སེམས  ཅན 
 ལ  ཐུགས 						ལ 	ཐུགས 	བརྩེ་བ 	།_། 	ཕྲད་དང 	བྲལ་བ 	bstod tshogs ka_.txt	     ལ  ཐུགས  བརྩེ་བ  །_།  ཕྲད་དང  བྲལ་བ 
 ལ  དགོངས་ཤིང 						ལ 	དགོངས་ཤིང 	བདེ་བ་ཅན 	།_། 	དགོངས་པ 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     ལ  དགོངས་ཤིང  བདེ་བ་ཅན  །_།  དགོངས་པ  ཁྱོད་ལ 
 ལ ་ལོ 						ལ	་ལོ 	།_། 	སྒྲིབ་པ 	ཀུན་ལས 	ངེས་པ 	bstod tshogs ka_.txt	     ལ ་ལོ  །_།  སྒྲིབ་པ  ཀུན་ལས  ངེས་པ 
 ལ  །_། 						ལ 	།_། 	ཐུབ་པ 	-ས 	འཇིག་རྟེན 	ཀུན 	bstod tshogs ka_.txt	     ལ  །_།  ཐུབ་པ  -ས  འཇིག་རྟེན  ཀུན 
 ལ ་མནན 						ལ	་མནན 	།_། 	ཁྱོད་ཀྱི 	མཁྱེན་པ 	-ས 	bstod tshogs ka_.txt	     ལ ་མནན  །_།  ཁྱོད་ཀྱི  མཁྱེན་པ  -ས 
 ལ  ཁྱོད་ལ 						ལ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	bstod tshogs ka_.txt	     ལ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  སེམས 
མ  ལ ུས་པ 	ཅན 	ཀུན་གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལ	ུས་པ 	དག 	འདུལ 	མཛད་པ 	།_། 	bstod tshogs ka_.txt	ཅན  ཀུན་གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལ ུས་པ  དག  འདུལ  མཛད་པ  །_། 
 ལ ་བ 						ལ	་བ 	ཉོན་མོངས་པ 	།_། 	བརྩེར 	བཅས 	bstod tshogs ka_.txt	     ལ ་བ  ཉོན་མོངས་པ  །_།  བརྩེར  བཅས 
 ལ ྷུན་གྱིས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 		ལ	ྷུན་གྱིས 	གྲུབ་ཅིང 	ཆགས 	མི་མངའ 	།_། 	bstod tshogs ka_.txt	ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།   ལ ྷུན་གྱིས  གྲུབ་ཅིང  ཆགས  མི་མངའ  །_། 
