 ནི  བསྒྱུར་བ་དང 						ནི 	བསྒྱུར་བ་དང 	།_། 	ཏིང་ངེ 	འཛིན་དང 	ཡེ་ཤེས་ལ 	bstod tshogs ka_.txt	     ནི  བསྒྱུར་བ་དང  །_།  ཏིང་ངེ  འཛིན་དང  ཡེ་ཤེས་ལ 
 ནི  སྤངས་པ་དང 						ནི 	སྤངས་པ་དང 	།_། 	ངེས 	འབྱུང 	བགེགས 	bstod tshogs ka_.txt	     ནི  སྤངས་པ་དང  །_།  ངེས  འབྱུང  བགེགས 
 ནི  ཡང་དག 						ནི 	ཡང་དག 	དོན་དུ་ན 	།_། 	ཀུན 	མཁྱེན 	bstod tshogs ka_.txt	     ནི  ཡང་དག  དོན་དུ་ན  །_།  ཀུན  མཁྱེན 
 ནི  དུས་ལས 						ནི 	དུས་ལས 	ཡོང 	མི་འདའ 	།_། 	རྟག་ཏུ 	bstod tshogs ka_.txt	     ནི  དུས་ལས  ཡོང  མི་འདའ  །_།  རྟག་ཏུ 
 ནི  གཟིགས 						ནི 	གཟིགས 	མཛད་པ 	།_། 	ཐུགས 	རྗེ་ཆེ་དང 	bstod tshogs ka_.txt	     ནི  གཟིགས  མཛད་པ  །_།  ཐུགས  རྗེ་ཆེ་དང 
 ནི  ཕྲིན་ལས་ཀྱིས 						ནི 	ཕྲིན་ལས་ཀྱིས 	།_། 	ཉན 	ཐོས་དང་ནི 	རང 	bstod tshogs ka_.txt	     ནི  ཕྲིན་ལས་ཀྱིས  །_།  ཉན  ཐོས་དང་ནི  རང 
 ནི  ཡོངས་སུ 						ནི 	ཡོངས་སུ 	རྫོགས་པ 	-ར་ནི 	།_། 	བདག 	bstod tshogs ka_.txt	     ནི  ཡོངས་སུ  རྫོགས་པ  -ར་ནི  །_།  བདག 
 ནི  གང་དང་གང 						ནི 	གང་དང་གང 	དག་ནས 	།_། 	བུམ་པ 	བུ་ག 	bstod tshogs ka_.txt	     ནི  གང་དང་གང  དག་ནས  །_།  བུམ་པ  བུ་ག 
 ནི  བཅག 						ནི 	བཅག 	གྱུར་པ 	།_། 	དེ 	ཚེ་དེ་ནི 	bstod tshogs ka_.txt	     ནི  བཅག  གྱུར་པ  །_།  དེ  ཚེ་དེ་ནི 
 ནི  སྐྱེ 						ནི 	སྐྱེ 	མ་ཡིན 	།_། 	ནམ་ཡང 	འགག་པ 	bstod tshogs ka_.txt	     ནི  སྐྱེ  མ་ཡིན  །_།  ནམ་ཡང  འགག་པ 
 ནི  གསལ 						ནི 	གསལ 	མ་ཡིན 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     ནི  གསལ  མ་ཡིན  །_།  དེ  བཞིན 
 ནི  གསལ 						ནི 	གསལ 	མ་ཡིན 	།_། 	མྱ་ངན 	འདས་ན 	bstod tshogs ka_.txt	     ནི  གསལ  མ་ཡིན  །_།  མྱ་ངན  འདས་ན 
 ནི ་ལ 	འོད་གསལ་འགྱུར 	།_། 	ཁམས 	ཡོད་ན 		ནི	་ལ 	-ས 	བྱས་པས 	།_། 	ས 	bstod tshogs ka_.txt	འོད་གསལ་འགྱུར  །_།  ཁམས  ཡོད་ན   ནི ་ལ  -ས  བྱས་པས  །_།  ས 
མེད་ན  ནི ་ལ 	མཐོང་བ 	-ར་འགྱུར 	།_། 	ཁམས 	མེད་ན 	ནི	་ལ 	-ས 	བྱས་ན 	།_། 	ཉོན་མོངས 	bstod tshogs ka_.txt	མཐོང་བ  -ར་འགྱུར  །_།  ཁམས  མེད་ན  ནི ་ལ  -ས  བྱས་ན  །_།  ཉོན་མོངས 
 ནི  སངས་རྒྱས་ཞེས 						ནི 	སངས་རྒྱས་ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	bstod tshogs ka_.txt	     ནི  སངས་རྒྱས་ཞེས  མི་བརྟག  _།  ཇི  ལྟར 
 ནི  དཔེ 						ནི 	དཔེ 	-ར 	བྱེད་ཀྱང 	།_། 	དེ་ཡི 	bstod tshogs ka_.txt	     ནི  དཔེ  -ར  བྱེད་ཀྱང  །_།  དེ་ཡི 
 ནི  ཐེ་ཚོམ་སྟེ 						ནི 	ཐེ་ཚོམ་སྟེ 	།_། 	སྒྲིབ་པ 	ལྔ་ཡིས 	བསྒྲིབས་པ 	bstod tshogs ka_.txt	     ནི  ཐེ་ཚོམ་སྟེ  །_།  སྒྲིབ་པ  ལྔ་ཡིས  བསྒྲིབས་པ 
 ནི  སྟོན་པ 						ནི 	སྟོན་པ 	-འི་མདོ 	།_། 	རྒྱལ 	བས 	bstod tshogs ka_.txt	     ནི  སྟོན་པ  -འི་མདོ  །_།  རྒྱལ  བས 
 ནི  སྦྱོང་བྱེད་པའི 						ནི 	སྦྱོང་བྱེད་པའི 	།_། 	ཆོས་ནི 	རང་བཞིན 	མེད་པ་ཡིན 	bstod tshogs ka_.txt	     ནི  སྦྱོང་བྱེད་པའི  །_།  ཆོས་ནི  རང་བཞིན  མེད་པ་ཡིན 
 ནི  རྗོད་པ 						ནི 	རྗོད་པ 	-ར་བྱེད 	།_། 	དེ 	ཉིད 	bstod tshogs ka_.txt	     ནི  རྗོད་པ  -ར་བྱེད  །_།  དེ  ཉིད 
 ནི  །_། 						ནི 	།_། 	གྲང་ངོ་ཞེས་ནི 	བརྗོད་པ་ཡིན 	།_། 	ཉོན་མོངས་དྲྭ 	bstod tshogs ka_.txt	     ནི  །_།  གྲང་ངོ་ཞེས་ནི  བརྗོད་པ་ཡིན  །_།  ཉོན་མོངས་དྲྭ 
 ནི  །_། 						ནི 	།_། 	སེམས 	ཅན་ཞེས་ནི 	བརྗོད་པ 	-ར་བྱ 	bstod tshogs ka_.txt	     ནི  །_།  སེམས  ཅན་ཞེས་ནི  བརྗོད་པ  -ར་བྱ 
 ནི  བརྗོད་པ 						ནི 	བརྗོད་པ 	-ར་བྱ 	།_། 	མིག་དང 	གཟུགས་ལ 	bstod tshogs ka_.txt	     ནི  བརྗོད་པ  -ར་བྱ  །_།  མིག་དང  གཟུགས་ལ 
 ནི  །_། 						ནི 	།_། 	དྲི 	མ 	མེད་པ 	-འི 	bstod tshogs ka_.txt	     ནི  །_།  དྲི  མ  མེད་པ  -འི 
 ནི  རབ་ཏུ་ཤེས 						ནི 	རབ་ཏུ་ཤེས 	།_། 	སྒྲ་དང 	རྣ་བ་ལ 	བརྟེན་ནས 	bstod tshogs ka_.txt	     ནི  རབ་ཏུ་ཤེས  །_།  སྒྲ་དང  རྣ་བ་ལ  བརྟེན་ནས 
 ནི  གཟུགས་སུ 						ནི 	གཟུགས་སུ 	མེད་པ 	-འི་དཔེས 	།_། 	དེ 	bstod tshogs ka_.txt	     ནི  གཟུགས་སུ  མེད་པ  -འི་དཔེས  །_།  དེ 
 ནི  གྲོལ 						ནི 	གྲོལ 	གྱུར་པ 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཞེས 	bstod tshogs ka_.txt	     ནི  གྲོལ  གྱུར་པ  །_།  ཆོས་ཀྱི  དབྱིངས་ཞེས 
